protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,200.32.120.26,999,Argentina,AR,Laferrere,transparent,false,52.75,AS3549,Cirion Technologies Argentina S.A,916.93,1784330201.7062347
http,170.80.95.2,11211,Argentina,AR,Mar del Plata,transparent,false,18.52,AS270089,Fibras Opticas De MAR Del Plata S.A.,1845.67,1784330188.4663792
http,186.125.218.150,999,Argentina,AR,Salta,transparent,true,44.84,AS273974,CARDOZO JAVIER ALEJANDRO (KILLA INTERNET),6459.43,1784330183.8314068
http,181.209.118.250,999,Argentina,AR,General Guemes,transparent,false,7.81,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,8084.48,1784330178.1700468
http,190.122.91.130,999,Argentina,AR,Puerto Vilelas,transparent,true,31.31,AS273096,Insaurralde Claudio Oscar,2058.73,1784330174.94548
http,181.114.61.17,8085,Argentina,AR,Ramallo,elite,false,8.24,AS264831,INTERAIR,13497.5,1784330167.833921
http,138.117.14.237,8090,Argentina,AR,San Miguel de Tucumán,transparent,false,19.67,AS265798,Level Seven SRL,3257.16,1784330161.5187058
http,186.123.26.22,8080,Argentina,AR,Buenos Aires,transparent,false,24.84,AS11664,Techtel LMDS Comunicaciones Interactivas S.A.,8144.61,1784330161.331892
http,138.117.14.250,8090,Argentina,AR,San Miguel de Tucumán,transparent,false,6.85,AS265798,Level Seven SRL,1866.07,1784330155.4216814
http,200.114.81.33,8080,Argentina,AR,Corrientes,transparent,true,26.93,AS273088,SIGOT ALEXIS RAUL (SPEED INTERNET),3390.61,1784330150.7733433
http,190.7.24.103,3129,Argentina,AR,Paraná,transparent,true,35.4,AS20207,Gigared S.A.,8161.71,1784330138.2824903
http,181.209.115.98,999,Argentina,AR,Benavídez,transparent,false,26.08,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,10243.26,1784330124.8958497
http,190.221.139.18,3128,Argentina,AR,Buenos Aires,elite,false,5.91,AS11664,Techtel LMDS Comunicaciones Interactivas S.A.,10065.6,1784330111.7857695
http,200.70.35.2,8080,Argentina,AR,Lomas de Zamora,transparent,false,30.83,AS10834,Telefonica de Argentina,5026.02,1784330111.6493485
http,191.97.96.208,8080,Argentina,AR,General Roca,transparent,false,5.64,AS263213,Vision NET,8063.14,1784330101.9083118
http,45.229.204.122,999,Argentina,AR,Dock Sud,transparent,false,13.17,AS266721,Visio RED SRL,3822.31,1784330085.7678626
http,181.209.125.237,999,Argentina,AR,Yuto,transparent,false,13.69,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,3909.83,1784330077.0765123
http,181.209.78.76,999,Argentina,AR,General Mosconi,transparent,false,8.58,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,10631.28,1784329978.7455053
http,168.196.227.203,999,Argentina,AR,Moreno,transparent,true,11.31,AS264765,Vanet Telecomunicaciones S.R.L.,4680.85,1784330260.9762616
http,201.190.178.191,8080,Argentina,AR,Mendoza,transparent,false,34.49,AS28075,Arlink S.A.,5858.51,1784330243.335416
http,38.226.251.67,999,Argentina,AR,San Juan,transparent,false,25.01,AS272925,SAN JUAN INNOVA S.E.,2038.94,1784330240.577694
