protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,179.51.199.87,8099,Brazil,BR,Teresina,transparent,true,9.82,AS271244,Fortinet Telecomunicacoes Eireli,5037.57,1784330210.4034064
http,201.20.42.46,3128,Brazil,BR,São Paulo,transparent,true,73.06,AS15830,Equinix (EMEA) Acquisition Enterprises B.V.,4697.97,1784330206.6428294
http,186.250.29.230,8080,Brazil,BR,Santa Helena,transparent,false,25.58,AS262966,KDM INTERNET TELECOMUNICACOES LTDA,1851.26,1784330200.3496377
http,177.19.167.242,80,Brazil,BR,Porto Alegre,elite,false,27.07,AS18881,Vivo,5018.79,1784330198.577182
http,138.0.143.120,8080,Brazil,BR,Valparaíso,elite,true,8.86,AS264551,F.B. BABETO ME,5666.72,1784330197.3168683
http,191.252.111.160,7000,Brazil,BR,São Paulo,elite,false,39.24,AS27715,Locaweb Serviços de Internet S/A,4784.37,1784330195.9906397
http,187.62.241.137,8080,Brazil,BR,Rio de Janeiro,transparent,false,6.44,AS262663,Metroflex Telecomunicacoes Ltda,8278.57,1784330192.370681
http,186.250.160.177,8090,Brazil,BR,Natal,transparent,false,15.15,AS262818,g j pereira,3627.03,1784330189.4130971
http,177.221.179.186,8080,Brazil,BR,Formiga,transparent,false,9.24,AS52673,Wi-max Internet Ltda,8480.16,1784330188.3555167
http,179.48.8.1,8088,Brazil,BR,Campo Maior,transparent,false,15.75,AS271113,Carnaubanet Ltda,572.34,1784330185.12406
http,191.252.113.21,3128,Brazil,BR,Itacoatiara,transparent,true,29.47,AS27715,Locaweb Serviços de Internet S/A,8412.66,1784330184.3254356
http,45.71.15.2,8080,Brazil,BR,Penápolis,transparent,false,12.13,AS267595,Milanin NET,18096.08,1784330180.48155
http,191.209.13.252,8085,Brazil,BR,Espírito Santo do Pinhal,transparent,false,44.85,AS27699,Vivo,5220.14,1784330178.7134154
http,45.4.58.223,8080,Brazil,BR,Recife,transparent,false,11.79,AS266038,VN TELECOM PROVEDORES A.R.C EIRELI,5000.89,1784330178.3574746
http,189.27.197.27,3128,Brazil,BR,São Paulo,transparent,true,42.71,AS18881,Vivo,2102.78,1784330176.6684754
