protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,179.51.199.87,8099,Brazil,BR,Teresina,transparent,true,9.82,AS271244,Fortinet Telecomunicacoes Eireli,5037.57,1784330210.4034064
http,201.20.42.46,3128,Brazil,BR,São Paulo,transparent,true,73.06,AS15830,Equinix (EMEA) Acquisition Enterprises B.V.,4697.97,1784330206.6428294
http,138.0.143.120,8080,Brazil,BR,Valparaíso,elite,true,8.86,AS264551,F.B. BABETO ME,5666.72,1784330197.3168683
http,191.252.113.21,3128,Brazil,BR,Itacoatiara,transparent,true,29.47,AS27715,Locaweb Serviços de Internet S/A,8412.66,1784330184.3254356
http,189.27.197.27,3128,Brazil,BR,São Paulo,transparent,true,42.71,AS18881,Vivo,2102.78,1784330176.6684754
http,177.135.190.101,8080,Brazil,BR,Recife,transparent,true,11.45,AS18881,TELEFÔNICA BRASIL S.A,1691.89,1784330154.110546
http,186.235.123.3,8080,Brazil,BR,Guapimirim,transparent,true,17.81,AS264075,K1 Telecom e Multimidia LTDA,2849.9,1784330152.9045775
http,177.139.174.81,8080,Brazil,BR,São Paulo,transparent,true,28.71,AS27699,Vivo,1696.03,1784330149.8411417
http,144.22.165.206,3129,Brazil,BR,São Paulo,elite,true,56.68,AS31898,Oracle Corporation,5645.97,1784330148.3665853
http,179.48.80.9,8085,Brazil,BR,Teresina,transparent,true,20.63,AS271241,Fbnet Telecom,3632.48,1784330145.4734833
http,177.20.167.139,8080,Brazil,BR,Bofete,transparent,true,24.29,AS270814,Zaaz Provedor De Internet E Telecomunicacoes Ltda,10529.92,1784330134.965118
http,45.231.101.97,9999,Brazil,BR,Salvador,transparent,true,8.35,AS267236,Velho Ponto Net -Telecom,5876.78,1784330078.7999537
http,179.124.139.220,80,Brazil,BR,Flores,elite,true,29.93,AS52965,1telecom Servicos De Tecnologia EM Internet Ltda,6184.15,1784330063.5196228
http,189.39.123.155,8083,Brazil,BR,Recife,transparent,true,99.48,AS16735,ALGAR TELECOM S/A,718.89,1784330057.6021821
http,38.60.241.207,3128,Brazil,BR,São Paulo,transparent,true,31.81,AS138915,Kaopu Cloud HK Limited,11717.96,1784330241.2442033
http,168.195.168.182,8080,Brazil,BR,Itaquaquecetuba,transparent,true,44.03,AS265436,SkyNet Telecomunicações,8053.18,1784330230.792057
