protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,143.255.109.76,1080,Brazil,BR,Águas Lindas de Goiás,elite,true,55.58,AS265144,MCD INFORMATICA E TELECOMUNICACOES LTDA - ME,1034.47,1784330214.7998316
socks4,177.74.141.8,5432,Brazil,BR,São Leopoldo,elite,true,53.85,AS263648,PONTOCOMNET SERVIÇOS DE INTERNET LTDA,8210.13,1784330214.0696697
socks4,190.89.104.76,5432,Brazil,BR,São José dos Pinhais,elite,true,53.02,AS262391,Acessoline Telecom,8632.45,1784330212.7951777
socks4,177.131.29.209,4153,Brazil,BR,Macapá,elite,true,13.94,AS262378,Compuservice Empreendimentos Ltda,1029.44,1784330210.6586568
socks4,190.89.104.48,5432,Brazil,BR,Fazenda Rio Grande,elite,true,51.06,AS262391,Acessoline Telecom,2019.34,1784330208.5259788
socks4,170.80.221.192,4153,Brazil,BR,Moreno,elite,true,49.52,AS265274,Fixa Telecomunicações do Brasil Ltda,2029.18,1784330207.6057618
socks4,177.131.119.185,5432,Brazil,BR,Joaçaba,elite,true,49.64,AS262391,Acessoline Telecom,8125.63,1784330200.802802
socks4,189.20.109.147,4145,Brazil,BR,São José do Rio Preto,elite,true,58.37,AS10429,Vivo,8408.47,1784330197.3063543
socks4,189.90.118.105,4153,Brazil,BR,Cantagalo,elite,true,47.55,AS262808,Brasilnet Telecomunicações Ltda ME,2057.6,1784330190.4475546
socks4,147.15.17.132,1088,Brazil,BR,São Paulo,elite,true,82.59,AS31898,Oracle Corporation,3024.97,1784330184.3067977
socks4,147.15.17.132,1082,Brazil,BR,São Paulo,elite,true,83.59,AS31898,Oracle Corporation,1985.56,1784330273.8439708
socks4,147.15.17.132,1081,Brazil,BR,São Paulo,elite,true,83.52,AS31898,Oracle Corporation,5124.39,1784330271.5409997
socks4,147.15.17.132,1092,Brazil,BR,São Paulo,elite,true,77.9,AS31898,Oracle Corporation,2994.69,1784330264.2039797
socks4,147.15.17.132,1085,Brazil,BR,São Paulo,elite,true,81.89,AS31898,Oracle Corporation,4172.0,1784330257.5866008
socks4,167.250.137.129,1080,Brazil,BR,Juazeiro do Norte,elite,true,60.18,AS28598,DB3 SERVICOS DE TELECOMUNICACOES S.A,8082.03,1784330248.8531961
socks4,200.188.246.122,60606,Brazil,BR,São José,elite,true,54.03,AS11844,Empresa Catarinense de Tecnologia em Telecom. Ltda,1116.07,1784330245.8815157
