protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,51.222.12.245,10084,Canada,CA,Beauharnois,elite,true,80.3,AS16276,OVH SAS,501.69,1784330211.6069787
socks5,51.222.12.245,10084,Canada,CA,Beauharnois,elite,true,72.82,AS16276,OVH SAS,664.42,1784330209.270614
socks5,68.233.127.229,1080,Canada,CA,Montreal,elite,true,52.95,AS31898,Oracle Corporation,9324.77,1784330197.2077448
socks5,51.222.13.193,10084,Canada,CA,Beauharnois,elite,true,75.91,AS16276,OVH SAS,4762.18,1784330141.5522828
http,192.99.44.178,3128,Canada,CA,Montreal,transparent,true,21.48,AS16276,OVH SAS,6604.68,1784330135.566621
http,51.222.97.82,8080,Canada,CA,Montreal,elite,false,2.15,AS16276,OVH SAS,4137.27,1784330105.0892875
http,51.79.71.202,8080,Canada,CA,Montreal,transparent,true,26.23,AS16276,OVH SAS,1865.19,1784330026.5273998
socks5,38.49.210.79,40000,Canada,CA,Montreal,elite,true,95.03,AS26832,Rica Web Services,635.1,1784330251.7851458
http,148.113.202.99,3128,Canada,CA,Beauharnois,transparent,false,69.85,AS16276,OVH SAS,3427.23,1784330251.6501536
http,149.56.24.51,3128,Canada,CA,Montreal,transparent,true,22.96,AS16276,OVH SAS,8426.48,1784330249.0839648
http,158.69.49.178,8080,Canada,CA,Montreal,transparent,false,33.16,AS16276,OVH SAS,10740.71,1784330234.365248
http,148.113.167.24,8080,Canada,CA,Montreal,transparent,true,23.04,AS16276,OVH SAS,16248.8,1784330229.5127928
http,158.69.49.180,8080,Canada,CA,Montreal,transparent,true,26.6,AS16276,OVH SAS,8995.87,1784330228.3217943
http,158.69.49.179,8080,Canada,CA,Montreal,transparent,true,21.42,AS16276,OVH SAS,9472.77,1784330220.3460953
http,158.69.60.88,8000,Canada,CA,Montreal,transparent,true,9.4,AS16276,OVH SAS,451.21,1784330218.103185
socks5,185.196.61.251,1080,Canada,CA,Toronto,elite,true,39.25,AS136258,"BrainStorm Network, Inc",4224.36,1784330208.0206952
http,151.243.236.236,80,Canada,CA,Beauharnois,elite,false,72.6,AS16276,OVH SAS,8560.36,1784330202.9789464
http,158.69.60.88,80,Canada,CA,Montreal,anonymous,true,5.01,AS16276,OVH SAS,13479.12,1784330201.8103695
http,185.196.61.251,8081,Canada,CA,Toronto,elite,false,32.4,AS136258,"BrainStorm Network, Inc",7233.53,1784330198.0449893
socks5,167.114.172.208,1088,Canada,CA,Montreal,elite,true,99.84,AS16276,OVH SAS,580.79,1784330187.418574
