protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,223.254.141.102,6611,China,CN,Shenyang,elite,true,18.24,AS40004,"CONRADIT, LLC",1724.47,1784330220.0057828
socks4,115.239.244.142,8310,China,CN,Hangzhou,elite,true,38.62,AS4134,Chinanet,5035.61,1784330217.6755376
http,180.125.216.109,8118,China,CN,Nanjing,elite,false,17.19,AS4134,Chinanet,1190.8,1784330217.5307417
socks4,117.175.168.195,1080,China,CN,Guangzhou,elite,true,81.94,AS9808,China Mobile communications corporation,1507.4,1784330216.2655406
socks4,223.254.141.102,6611,China,CN,Shenyang,elite,true,27.09,AS40004,"CONRADIT, LLC",4410.3,1784330215.754288
http,116.211.236.110,17981,China,CN,Shizishan,elite,true,97.14,AS58563,CHINANET Hubei province network,1167.59,1784330215.450273
http,122.246.3.12,17981,China,CN,Ningbo,elite,true,97.53,AS136188,China Telecom,1651.67,1784330214.2721055
socks5,218.95.39.48,59999,China,CN,Nanchangshi,elite,true,86.63,AS139201,China Telecom,6735.99,1784330213.6475496
socks5,218.95.39.4,59999,China,CN,Nanchangshi,elite,true,86.14,AS139201,China Telecom,4239.13,1784330210.4650996
socks5,218.95.39.28,59999,China,CN,Nanchangshi,elite,true,86.86,AS139201,China Telecom,9999.1,1784330209.3955956
socks5,218.95.39.100,59999,China,CN,Nanchangshi,elite,true,86.11,AS139201,China Telecom,2972.91,1784330209.275612
socks5,218.95.39.54,59999,China,CN,Nanchangshi,elite,true,86.27,AS139201,China Telecom,2864.02,1784330209.013083
socks5,218.95.39.52,59999,China,CN,Nanchangshi,elite,true,86.21,AS139201,China Telecom,4472.44,1784330208.3681805
socks5,120.220.197.200,59999,China,CN,Guangzhou,elite,true,86.04,AS9808,China Mobile communications corporation,4894.89,1784330207.9641514
socks5,218.95.39.5,59999,China,CN,Nanchangshi,elite,true,86.12,AS139201,China Telecom,6818.87,1784330207.9571168
socks5,218.95.39.9,59999,China,CN,Nanchangshi,elite,true,85.58,AS139201,China Telecom,6726.19,1784330206.4652436
http,113.249.101.123,18255,China,CN,Chongqing,elite,true,90.44,AS134420,Chongqing Telecom,2057.49,1784330206.2898693
socks5,218.95.39.114,59999,China,CN,Nanchangshi,elite,true,86.4,AS139201,China Telecom,4929.44,1784330206.1003652
socks4,222.212.85.149,5678,China,CN,Chengdu,elite,true,17.9,AS4134,Chinanet,4444.3,1784330205.3157418
socks5,218.95.39.57,59999,China,CN,Nanchangshi,elite,true,85.9,AS139201,China Telecom,12806.28,1784330205.1830971
http,116.196.150.180,17981,China,CN,Hangzhou,elite,false,89.36,AS131516,JHWA,866.26,1784330205.1518874
http,59.36.239.108,21133,China,CN,Guangzhou,transparent,true,11.07,AS4134,Chinanet,6030.76,1784330203.8278217
socks5,218.95.39.113,59999,China,CN,Nanchangshi,elite,true,87.06,AS139201,China Telecom,8242.53,1784330202.7835615
socks4,58.18.39.58,10800,China,CN,Hohhot,elite,true,19.45,AS4837,CNC Group CHINA169 Neimeng Province Network,8733.99,1784330201.9414902
http,114.94.148.37,18080,China,CN,Hangzhou,elite,true,86.34,AS4812,China Telecom (Group),710.23,1784330201.6466997
http,122.246.3.210,17981,China,CN,Ningbo,elite,true,96.94,AS136188,China Telecom,1998.43,1784330201.1865354
socks5,223.254.141.102,6635,China,CN,Shenyang,elite,true,13.99,AS40004,"CONRADIT, LLC",7141.69,1784330200.5488877
http,175.6.75.144,10064,China,CN,Shanghai,transparent,false,95.49,AS63835,"No.293, Wanbao Avenue",2371.91,1784330200.1540656
http,123.138.24.114,8800,China,CN,Xi'an,elite,true,98.68,AS4837,CNC Group CHINA169 Shanni Province Network,981.26,1784330199.9816213
socks4,180.158.166.144,4145,China,CN,Shanghai,elite,true,40.57,AS4812,China Telecom (Group),4253.02,1784330199.7427282
socks5,218.95.39.105,59999,China,CN,Nanchangshi,elite,true,85.83,AS139201,China Telecom,10435.34,1784330199.2532308
http,220.154.128.91,21033,China,CN,Qingdao,transparent,true,33.02,AS134756,China Telecom,8408.0,1784330198.3407166
