protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,180.125.216.109,8118,China,CN,Nanjing,elite,false,17.19,AS4134,Chinanet,1190.8,1784330217.5307417
http,116.211.236.110,17981,China,CN,Shizishan,elite,true,97.14,AS58563,CHINANET Hubei province network,1167.59,1784330215.450273
http,122.246.3.12,17981,China,CN,Ningbo,elite,true,97.53,AS136188,China Telecom,1651.67,1784330214.2721055
http,113.249.101.123,18255,China,CN,Chongqing,elite,true,90.44,AS134420,Chongqing Telecom,2057.49,1784330206.2898693
http,116.196.150.180,17981,China,CN,Hangzhou,elite,false,89.36,AS131516,JHWA,866.26,1784330205.1518874
http,59.36.239.108,21133,China,CN,Guangzhou,transparent,true,11.07,AS4134,Chinanet,6030.76,1784330203.8278217
http,114.94.148.37,18080,China,CN,Hangzhou,elite,true,86.34,AS4812,China Telecom (Group),710.23,1784330201.6466997
http,122.246.3.210,17981,China,CN,Ningbo,elite,true,96.94,AS136188,China Telecom,1998.43,1784330201.1865354
http,175.6.75.144,10064,China,CN,Shanghai,transparent,false,95.49,AS63835,"No.293, Wanbao Avenue",2371.91,1784330200.1540656
http,123.138.24.114,8800,China,CN,Xi'an,elite,true,98.68,AS4837,CNC Group CHINA169 Shanni Province Network,981.26,1784330199.9816213
http,220.154.128.91,21033,China,CN,Qingdao,transparent,true,33.02,AS134756,China Telecom,8408.0,1784330198.3407166
http,39.172.97.192,8060,China,CN,Jiaxing,elite,false,26.51,AS56041,China Mobile Communications Corporation,795.73,1784330192.4778328
http,113.249.101.105,18255,China,CN,Chongqing,elite,true,94.47,AS134420,Chongqing Telecom,2432.96,1784330191.720385
http,58.254.153.146,17981,China,CN,Shanwei,elite,true,98.27,AS136958,CNC Group CHINA169 Guangdong Province Network,1224.01,1784330191.3346918
http,113.249.103.136,18255,China,CN,Chongqing,elite,true,93.24,AS134420,Chongqing Telecom,1495.16,1784330190.4188778
http,111.74.1.65,13382,China,CN,Taohua,elite,true,85.86,AS4134,Chinanet,1536.52,1784330189.3886726
http,59.36.210.211,13552,China,CN,Guangzhou,elite,true,81.67,AS4134,Chinanet,4641.45,1784330182.6658707
http,113.249.101.171,18255,China,CN,Chongqing,elite,true,92.95,AS134420,Chongqing Telecom,1621.81,1784330179.9033418
http,120.232.115.170,17981,China,CN,Guangzhou,elite,true,96.14,AS9808,China Mobile communications corporation,700.77,1784330176.4743648
http,58.220.83.56,18080,China,CN,Nanjing,transparent,true,43.94,AS137697,"CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou, Jiangsu Province, P.",4201.1,1784330171.4112282
