protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,223.254.141.102,6611,China,CN,Shenyang,elite,true,18.24,AS40004,"CONRADIT, LLC",1724.47,1784330220.0057828
socks5,218.95.39.48,59999,China,CN,Nanchangshi,elite,true,86.63,AS139201,China Telecom,6735.99,1784330213.6475496
socks5,218.95.39.4,59999,China,CN,Nanchangshi,elite,true,86.14,AS139201,China Telecom,4239.13,1784330210.4650996
socks5,218.95.39.28,59999,China,CN,Nanchangshi,elite,true,86.86,AS139201,China Telecom,9999.1,1784330209.3955956
socks5,218.95.39.100,59999,China,CN,Nanchangshi,elite,true,86.11,AS139201,China Telecom,2972.91,1784330209.275612
socks5,218.95.39.54,59999,China,CN,Nanchangshi,elite,true,86.27,AS139201,China Telecom,2864.02,1784330209.013083
socks5,218.95.39.52,59999,China,CN,Nanchangshi,elite,true,86.21,AS139201,China Telecom,4472.44,1784330208.3681805
socks5,120.220.197.200,59999,China,CN,Guangzhou,elite,true,86.04,AS9808,China Mobile communications corporation,4894.89,1784330207.9641514
socks5,218.95.39.5,59999,China,CN,Nanchangshi,elite,true,86.12,AS139201,China Telecom,6818.87,1784330207.9571168
socks5,218.95.39.9,59999,China,CN,Nanchangshi,elite,true,85.58,AS139201,China Telecom,6726.19,1784330206.4652436
socks5,218.95.39.114,59999,China,CN,Nanchangshi,elite,true,86.4,AS139201,China Telecom,4929.44,1784330206.1003652
socks5,218.95.39.57,59999,China,CN,Nanchangshi,elite,true,85.9,AS139201,China Telecom,12806.28,1784330205.1830971
socks5,218.95.39.113,59999,China,CN,Nanchangshi,elite,true,87.06,AS139201,China Telecom,8242.53,1784330202.7835615
socks5,223.254.141.102,6635,China,CN,Shenyang,elite,true,13.99,AS40004,"CONRADIT, LLC",7141.69,1784330200.5488877
socks5,218.95.39.105,59999,China,CN,Nanchangshi,elite,true,85.83,AS139201,China Telecom,10435.34,1784330199.2532308
socks5,218.95.39.8,59999,China,CN,Nanchangshi,elite,true,85.37,AS139201,China Telecom,2769.0,1784330197.6770678
socks5,221.176.85.234,1080,China,CN,Guangzhou,elite,true,19.59,AS9808,China Mobile communications corporation,2258.84,1784330195.2172348
socks5,218.95.39.101,59999,China,CN,Nanchangshi,elite,true,85.82,AS139201,China Telecom,14814.35,1784330192.8848822
socks5,171.213.209.63,10801,China,CN,Chengdu,elite,true,95.3,AS4134,Chinanet,2218.55,1784330192.6833997
socks5,182.18.93.138,19450,China,CN,Zhangjiakou,elite,true,94.13,AS141771,China Telecom,9022.58,1784330192.5497484
socks5,218.95.39.40,59999,China,CN,Nanchangshi,elite,true,52.2,AS139201,China Telecom,11733.23,1784330192.075658
