protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,190.145.54.142,1080,Colombia,CO,Bogotá,elite,true,59.34,AS14080,Telmex Colombia S.A.,754.71,1784330218.2871625
socks4,190.249.137.80,4145,Colombia,CO,Medellín,elite,true,40.43,AS13489,EPM Telecomunicaciones S.A. E.S.P.,884.32,1784330209.9215765
http,181.225.107.53,999,Colombia,CO,Bogotá,transparent,false,30.34,AS262186,TV AZTECA SUCURSAL COLOMBIA,3675.05,1784330204.6054256
http,38.191.212.115,999,Colombia,CO,Cúcuta,transparent,false,45.07,AS273103,TV&MÁS S.A.S,1541.02,1784330204.3398414
socks4,181.49.22.141,1080,Colombia,CO,Bogotá,elite,true,47.65,AS14080,Telmex Colombia S.A.,1810.61,1784330202.780063
http,38.19.43.105,999,Colombia,CO,Pereira,transparent,true,22.56,AS270075,Super Redes,1698.96,1784330201.4534397
http,191.102.76.34,999,Colombia,CO,Ubalá,transparent,false,23.65,AS262186,TV AZTECA SUCURSAL COLOMBIA,4845.28,1784330200.3955054
http,181.49.100.190,8080,Colombia,CO,Funza,elite,false,6.72,AS14080,Telmex Colombia S.A.,3834.4,1784330200.3357644
http,181.78.25.252,999,Colombia,CO,Bogotá,transparent,false,41.33,AS52468,IFX Networks Argentina S.R.L,3607.01,1784330199.9347289
socks4,181.205.113.218,1080,Colombia,CO,Medellín,elite,true,57.28,AS27831,Colombia Móvil,3861.3,1784330197.608858
http,179.1.113.129,999,Colombia,CO,Popayán,transparent,false,70.46,AS18678,Internexa S.a. E.S.P,3997.36,1784330197.1666038
http,181.119.84.115,8080,Colombia,CO,Cali,transparent,true,11.67,AS52468,IFX Networks Argentina S.R.L,4349.64,1784330196.0558784
http,64.204.90.17,999,Colombia,CO,El Carmen,transparent,true,55.8,AS273894,GTT Americas,2719.92,1784330185.9193149
http,38.19.43.108,999,Colombia,CO,Pereira,transparent,false,22.82,AS270075,Super Redes,1388.22,1784330184.2826529
socks4,181.204.39.202,53740,Colombia,CO,Cúcuta,elite,true,51.24,AS13489,EPM Telecomunicaciones S.A. E.S.P.,1880.96,1784330182.9476287
http,186.96.111.214,999,Colombia,CO,Tunja,transparent,false,37.57,AS262186,TV AZTECA SUCURSAL COLOMBIA,9649.15,1784330182.6314828
http,181.225.75.83,999,Colombia,CO,Bogotá,transparent,false,8.84,AS27951,Media Commerce Partners S.A,15030.68,1784330182.0880413
http,181.225.77.101,999,Colombia,CO,Bogotá,transparent,true,20.53,AS27951,Media Commerce Partners S.A,3193.49,1784330179.9638495
http,38.19.41.227,999,Colombia,CO,Pereira,transparent,false,24.19,AS270075,Super Redes,7295.72,1784330179.6882677
http,190.60.50.61,999,Colombia,CO,Cimitarra,transparent,true,15.66,AS52468,IFX NETWORKS COLOMBIA,1198.95,1784330177.8910005
http,179.1.113.113,999,Colombia,CO,Popayán,transparent,true,70.35,AS18678,Internexa S.a. E.S.P,2596.51,1784330175.5201068
http,179.1.236.18,999,Colombia,CO,Santa Rosa del Sur,transparent,false,15.23,AS18678,Internexa S.a. E.S.P,5129.03,1784330175.31918
http,8.243.163.40,999,Colombia,CO,Bogotá,transparent,true,26.83,AS3356,Cirion Technologies Solutions,3681.6,1784330171.9323783
http,38.199.67.10,999,Colombia,CO,Bucaramanga,transparent,false,26.01,AS273953,Cogent Communications,11858.61,1784330164.3651857
http,181.119.86.177,999,Colombia,CO,Medellín,transparent,false,6.67,AS52468,IFX Networks Argentina S.R.L,6270.81,1784330161.3558896
http,179.1.182.28,999,Colombia,CO,Medellín,transparent,false,19.04,AS18678,Internexa S.a. E.S.P,3590.48,1784330159.2607508
http,190.60.34.250,999,Colombia,CO,Andalucía,transparent,false,47.75,AS52468,IFX NETWORKS COLOMBIA,7192.67,1784330155.454571
http,190.60.41.66,999,Colombia,CO,Bogotá,transparent,true,33.76,AS52468,IFX NETWORKS COLOMBIA,1542.87,1784330154.6839044
http,181.174.231.30,9992,Colombia,CO,Pitalito,transparent,false,14.18,AS265688,Sinergy Soluciones Integrales,2260.08,1784330153.8726697
http,186.97.200.210,999,Colombia,CO,Medellín,transparent,false,13.8,AS27831,Colombia Móvil,13711.88,1784330153.6459823
http,179.1.182.19,999,Colombia,CO,Medellín,transparent,false,17.66,AS18678,Internexa S.a. E.S.P,13380.96,1784330151.18787
http,186.31.197.3,8080,Colombia,CO,Bogotá,transparent,true,27.59,AS19429,ETB - Colombia,7753.3,1784330148.4620025
http,186.180.20.18,8080,Colombia,CO,Une,transparent,false,28.25,AS27831,Colombia Móvil,4570.08,1784330148.4464471
http,177.93.49.171,8888,Colombia,CO,Puerto Gaitán,transparent,false,46.13,AS262186,TV AZTECA SUCURSAL COLOMBIA,3450.41,1784330148.1959136
http,181.129.183.19,53281,Colombia,CO,Floridablanca,elite,false,13.11,AS13489,EPM Telecomunicaciones S.A. E.S.P.,2836.32,1784330147.0000386
http,179.1.182.20,999,Colombia,CO,Medellín,transparent,true,20.45,AS18678,Internexa S.a. E.S.P,3631.41,1784330146.6765685
http,190.60.61.202,999,Colombia,CO,Barranquilla,transparent,false,12.95,AS52468,IFX NETWORKS COLOMBIA,1523.47,1784330144.8798068
http,186.148.160.8,999,Colombia,CO,Granada,transparent,false,24.6,AS262186,TV AZTECA SUCURSAL COLOMBIA,599.26,1784330141.4921937
http,190.131.205.150,999,Colombia,CO,Cartagena,transparent,true,12.15,AS262191,Columbus Networks Colombia,1429.44,1784330140.5299618
http,177.93.49.173,8888,Colombia,CO,Puerto Gaitán,transparent,true,46.53,AS262186,TV AZTECA SUCURSAL COLOMBIA,9873.48,1784330140.3358183
http,24.152.58.107,999,Colombia,CO,Bucaramanga,transparent,false,13.67,AS267823,Atenea Telecomunicaciones S.A.S,3577.43,1784330137.2983928
http,190.61.40.85,999,Colombia,CO,Pueblorrico,transparent,false,27.07,AS52468,Ufinet Panama S.A.,1480.67,1784330135.4441853
http,191.102.107.237,999,Colombia,CO,Quibdó,transparent,false,3.5,AS262186,TV AZTECA SUCURSAL COLOMBIA,11067.06,1784330135.2442236
http,8.243.162.35,3128,Colombia,CO,Amagá,transparent,false,31.18,AS3356,Cirion Technologies Solutions,2950.62,1784330129.3878229
http,177.93.49.174,8888,Colombia,CO,Puerto Gaitán,transparent,false,46.29,AS262186,TV AZTECA SUCURSAL COLOMBIA,6303.37,1784330127.6451015
http,190.60.58.236,999,Colombia,CO,Ibague,transparent,false,15.74,AS52468,IFX NETWORKS COLOMBIA,539.33,1784330125.640258
http,190.61.44.179,999,Colombia,CO,Bogotá,transparent,false,24.37,AS52468,,3539.21,1784330119.3630764
http,190.2.209.62,999,Colombia,CO,Mesetas,transparent,false,5.51,AS262186,TV AZTECA SUCURSAL COLOMBIA,7839.33,1784330117.9130201
http,38.191.146.219,999,Colombia,CO,Cali,transparent,false,41.76,AS273132,Valle ISP,3352.3,1784330116.459796
http,179.1.182.27,999,Colombia,CO,Medellín,transparent,false,18.65,AS18678,Internexa S.a. E.S.P,3592.76,1784330114.2801614
http,181.78.0.34,999,Colombia,CO,Sitionuevo,transparent,false,10.1,AS52468,Ufinet Panama S.A.,2081.69,1784330113.4052124
