protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.19.43.105,999,Colombia,CO,Pereira,transparent,true,22.56,AS270075,Super Redes,1698.96,1784330201.4534397
http,181.119.84.115,8080,Colombia,CO,Cali,transparent,true,11.67,AS52468,IFX Networks Argentina S.R.L,4349.64,1784330196.0558784
http,64.204.90.17,999,Colombia,CO,El Carmen,transparent,true,55.8,AS273894,GTT Americas,2719.92,1784330185.9193149
http,181.225.77.101,999,Colombia,CO,Bogotá,transparent,true,20.53,AS27951,Media Commerce Partners S.A,3193.49,1784330179.9638495
http,190.60.50.61,999,Colombia,CO,Cimitarra,transparent,true,15.66,AS52468,IFX NETWORKS COLOMBIA,1198.95,1784330177.8910005
http,179.1.113.113,999,Colombia,CO,Popayán,transparent,true,70.35,AS18678,Internexa S.a. E.S.P,2596.51,1784330175.5201068
http,8.243.163.40,999,Colombia,CO,Bogotá,transparent,true,26.83,AS3356,Cirion Technologies Solutions,3681.6,1784330171.9323783
http,190.60.41.66,999,Colombia,CO,Bogotá,transparent,true,33.76,AS52468,IFX NETWORKS COLOMBIA,1542.87,1784330154.6839044
http,186.31.197.3,8080,Colombia,CO,Bogotá,transparent,true,27.59,AS19429,ETB - Colombia,7753.3,1784330148.4620025
http,179.1.182.20,999,Colombia,CO,Medellín,transparent,true,20.45,AS18678,Internexa S.a. E.S.P,3631.41,1784330146.6765685
http,190.131.205.150,999,Colombia,CO,Cartagena,transparent,true,12.15,AS262191,Columbus Networks Colombia,1429.44,1784330140.5299618
http,177.93.49.173,8888,Colombia,CO,Puerto Gaitán,transparent,true,46.53,AS262186,TV AZTECA SUCURSAL COLOMBIA,9873.48,1784330140.3358183
http,181.119.67.133,999,Colombia,CO,Florida,transparent,true,11.04,AS52468,IFX Networks Argentina S.R.L,3984.47,1784330112.333878
http,181.78.169.74,999,Colombia,CO,Bogotá,transparent,true,43.53,AS52468,IFX Networks Argentina S.R.L,554.22,1784330090.82056
http,24.152.58.100,999,Colombia,CO,Bucaramanga,transparent,true,11.26,AS267823,Atenea Telecomunicaciones S.A.S,525.28,1784330079.0318885
http,24.152.58.108,999,Colombia,CO,Bucaramanga,transparent,true,13.69,AS267823,Atenea Telecomunicaciones S.A.S,1526.38,1784330075.509865
http,38.211.76.161,999,Colombia,CO,Suaza,transparent,true,25.63,AS270062,Cogent Communications,801.62,1784330075.4959285
http,181.204.39.202,26312,Colombia,CO,Cúcuta,elite,true,7.12,AS13489,EPM Telecomunicaciones S.A. E.S.P.,570.46,1784330054.497069
http,181.143.42.138,8080,Colombia,CO,Medellín,transparent,true,10.02,AS13489,EPM Telecomunicaciones S.A. E.S.P.,3589.54,1784330043.7252886
http,190.60.48.214,999,Colombia,CO,Soacha,transparent,true,7.19,AS52468,IFX NETWORKS COLOMBIA,2882.36,1784330041.9889047
http,190.61.61.210,999,Colombia,CO,Villapinzón,transparent,true,6.82,AS52468,Ufinet Panama S.A.,1774.09,1784330023.6115394
http,161.18.226.135,8080,Colombia,CO,Barranquilla,transparent,true,26.53,AS3816,Colombia Telecomunicaciones S.a. ESP,1659.96,1784330234.352322
http,200.10.31.159,999,Colombia,CO,Pereira,transparent,true,8.73,AS270075,Super Redes S.A.S,7419.84,1784330173.4442
