protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,89.191.234.224,1081,Germany,DE,Frankfurt am Main,elite,true,26.46,AS57043,Hostkey B.V.,30.65,1784330221.6217792
socks5,144.76.159.120,1085,Germany,DE,Falkenstein,elite,true,99.83,AS24940,Hetzner Online GmbH,75.85,1784330220.0383108
socks4,72.56.106.48,1080,Germany,DE,Frankfurt am Main,elite,true,43.61,AS210976,"Timeweb, LLP",3610.9,1784330219.481316
socks4,82.22.174.113,1080,Germany,DE,Frankfurt am Main,elite,true,35.87,AS215703,Freakhosting LTD,2701.58,1784330218.9063506
socks5,139.28.241.247,1082,Germany,DE,Frankfurt am Main,elite,true,79.05,AS215540,Global Connectivity Solutions LLP,197.53,1784330214.534137
http,144.31.73.173,3128,Germany,DE,Frankfurt am Main,elite,true,68.04,AS213877,U1 DIGITAL SERVICES LTD,8.55,1784330213.996996
socks5,72.56.114.56,8888,Germany,DE,Frankfurt am Main,elite,true,66.52,AS210976,"Timeweb, LLP",72.86,1784330212.423688
socks4,139.28.241.247,1081,Germany,DE,Frankfurt am Main,elite,true,82.8,AS215540,Global Connectivity Solutions LLP,72.98,1784330209.406968
socks4,139.28.241.247,1082,Germany,DE,Frankfurt am Main,elite,true,83.31,AS215540,Global Connectivity Solutions LLP,7285.09,1784330208.8775811
socks4,144.31.11.58,1085,Germany,DE,Kelsterbach,elite,true,49.7,AS215730,H2nexus LTD,8071.87,1784330207.8054137
socks5,144.76.159.120,1081,Germany,DE,Falkenstein,elite,true,99.53,AS24940,Hetzner Online GmbH,150.48,1784330205.2975383
socks4,185.213.240.125,40001,Germany,DE,Frankfurt am Main,elite,true,63.47,AS215703,Freakhosting LTD,77.13,1784330203.9505785
socks5,144.76.159.120,1090,Germany,DE,Falkenstein,elite,true,99.84,AS24940,Hetzner Online GmbH,425.77,1784330202.1641526
socks4,85.208.139.126,1082,Germany,DE,Frankfurt am Main,elite,true,86.12,AS215540,Global Connectivity Solutions LLP,2085.58,1784330200.78079
socks5,13.140.164.179,3622,Germany,DE,Oberasbach,elite,true,61.63,AS51167,TerraTransit AG,137.66,1784330200.3198843
socks4,87.251.77.60,1080,Germany,DE,Frankfurt Am Main,elite,true,41.61,AS210546,Miglovets Egor Andreevich,2007.71,1784330200.1429083
socks5,109.120.138.241,1080,Germany,DE,Frankfurt am Main,elite,true,64.59,AS210644,Aeza International LTD,5686.27,1784330198.8694758
socks5,51.195.2.39,1080,Germany,DE,Limburg an der Lahn,elite,true,86.64,AS16276,OVH SAS,7946.57,1784330197.2462976
socks4,45.137.43.0,1081,Germany,DE,Frankfurt am Main,elite,true,83.34,,RAPIDSEEDBOX,116.47,1784330196.6821928
socks5,144.76.159.120,1100,Germany,DE,Falkenstein,elite,true,99.81,AS24940,Hetzner Online GmbH,505.89,1784330196.3248951
http,194.180.188.100,8080,Germany,DE,Frankfurt am Main,elite,false,23.38,AS57043,Hostkey B.V.,9593.52,1784330196.289626
socks4,144.31.215.191,1080,Germany,DE,Frankfurt am Main,elite,true,26.72,AS198550,Node Host Limited,15489.46,1784330196.064509
http,47.91.65.23,3128,Germany,DE,Frankfurt am Main,elite,true,74.51,AS45102,Alibaba.com LLC,62.75,1784330193.6642525
http,139.28.241.247,1082,Germany,DE,Frankfurt am Main,elite,true,77.77,AS215540,Global Connectivity Solutions LLP,6862.95,1784330191.8020148
socks5,144.76.159.120,1088,Germany,DE,Falkenstein,elite,true,99.92,AS24940,Hetzner Online GmbH,213.07,1784330191.313742
socks5,116.202.20.234,9082,Germany,DE,Falkenstein,elite,true,71.28,AS24940,Hetzner Online GmbH,18823.2,1784330191.0126421
socks5,138.124.10.104,443,Germany,DE,Frankfurt Am Main,elite,true,39.07,AS41745,Baykov Ilya Sergeevich,7258.64,1784330190.012942
socks4,116.202.20.234,9082,Germany,DE,Falkenstein,elite,true,71.93,AS24940,Hetzner Online GmbH,14400.56,1784330189.4419334
socks5,95.140.154.156,1080,Germany,DE,Frankfurt am Main,elite,true,75.83,AS210976,Mamaev,1307.34,1784330189.3453546
socks4,194.58.33.7,9564,Germany,DE,Frankfurt am Main,elite,true,87.38,AS216127,International Hosting Company Limited,7234.63,1784330189.3334901
socks4,85.208.139.126,1081,Germany,DE,Frankfurt am Main,elite,true,84.95,AS215540,Global Connectivity Solutions LLP,57.97,1784330189.3305817
