protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,144.76.159.120,1085,Germany,DE,Falkenstein,elite,true,99.83,AS24940,Hetzner Online GmbH,75.85,1784330220.0383108
socks5,139.28.241.247,1082,Germany,DE,Frankfurt am Main,elite,true,79.05,AS215540,Global Connectivity Solutions LLP,197.53,1784330214.534137
socks5,72.56.114.56,8888,Germany,DE,Frankfurt am Main,elite,true,66.52,AS210976,"Timeweb, LLP",72.86,1784330212.423688
socks5,144.76.159.120,1081,Germany,DE,Falkenstein,elite,true,99.53,AS24940,Hetzner Online GmbH,150.48,1784330205.2975383
socks5,144.76.159.120,1090,Germany,DE,Falkenstein,elite,true,99.84,AS24940,Hetzner Online GmbH,425.77,1784330202.1641526
socks5,13.140.164.179,3622,Germany,DE,Oberasbach,elite,true,61.63,AS51167,TerraTransit AG,137.66,1784330200.3198843
socks5,109.120.138.241,1080,Germany,DE,Frankfurt am Main,elite,true,64.59,AS210644,Aeza International LTD,5686.27,1784330198.8694758
socks5,51.195.2.39,1080,Germany,DE,Limburg an der Lahn,elite,true,86.64,AS16276,OVH SAS,7946.57,1784330197.2462976
socks5,144.76.159.120,1100,Germany,DE,Falkenstein,elite,true,99.81,AS24940,Hetzner Online GmbH,505.89,1784330196.3248951
socks5,144.76.159.120,1088,Germany,DE,Falkenstein,elite,true,99.92,AS24940,Hetzner Online GmbH,213.07,1784330191.313742
socks5,116.202.20.234,9082,Germany,DE,Falkenstein,elite,true,71.28,AS24940,Hetzner Online GmbH,18823.2,1784330191.0126421
socks5,138.124.10.104,443,Germany,DE,Frankfurt Am Main,elite,true,39.07,AS41745,Baykov Ilya Sergeevich,7258.64,1784330190.012942
socks5,95.140.154.156,1080,Germany,DE,Frankfurt am Main,elite,true,75.83,AS210976,Mamaev,1307.34,1784330189.3453546
socks5,144.76.159.120,1082,Germany,DE,Falkenstein,elite,true,99.88,AS24940,Hetzner Online GmbH,159.66,1784330186.9573817
socks5,185.213.240.125,40001,Germany,DE,Frankfurt am Main,elite,true,55.89,AS215703,Freakhosting LTD,91.11,1784330181.1442485
socks5,144.76.159.120,1080,Germany,DE,Falkenstein,elite,true,99.79,AS24940,Hetzner Online GmbH,231.26,1784330180.5222716
socks5,13.140.164.179,3505,Germany,DE,Oberasbach,elite,true,54.54,AS51167,TerraTransit AG,744.7,1784330179.9365253
socks5,139.28.241.247,1081,Germany,DE,Frankfurt am Main,elite,true,77.81,AS215540,Global Connectivity Solutions LLP,3218.43,1784330175.277451
socks5,87.106.173.248,1080,Germany,DE,Berlin,elite,true,17.08,AS8560,IONOS SE,69.74,1784330174.060763
socks5,88.99.82.67,443,Germany,DE,Falkenstein,elite,true,40.11,AS24940,Hetzner Online GmbH,7016.64,1784330173.2243314
socks5,144.31.11.58,1085,Germany,DE,Kelsterbach,elite,true,44.35,AS215730,H2nexus LTD,4111.98,1784330170.2995641
socks5,188.68.57.86,9050,Germany,DE,Nuremberg,elite,true,27.32,AS197540,netcup GmbH,4687.41,1784330164.8611267
socks5,89.168.67.102,1080,Germany,DE,Frankfurt am Main,elite,true,28.75,AS31898,Oracle Corporation,4331.0,1784330161.4533718
socks5,185.204.168.242,1080,Germany,DE,Frankfurt am Main,elite,true,67.33,AS57568,Arvancloud Global Technologies L.L.C,1549.55,1784330139.944843
socks5,144.76.159.120,1083,Germany,DE,Falkenstein,elite,true,99.92,AS24940,Hetzner Online GmbH,768.27,1784330124.0570757
socks5,8.211.42.167,81,Germany,DE,Frankfurt am Main,elite,true,1.41,AS45102,"Alibaba (US) Technology Co., Ltd.",6648.6,1784330122.5605273
socks5,8.211.42.167,8087,Germany,DE,Frankfurt am Main,elite,true,1.31,AS45102,"Alibaba (US) Technology Co., Ltd.",7994.99,1784330121.2656481
socks5,8.211.42.167,8443,Germany,DE,Frankfurt am Main,elite,true,1.19,AS45102,"Alibaba (US) Technology Co., Ltd.",10147.06,1784330118.9978988
socks5,8.211.42.167,8008,Germany,DE,Frankfurt am Main,elite,true,1.24,AS45102,"Alibaba (US) Technology Co., Ltd.",13272.94,1784330116.0466025
socks5,109.120.138.144,1080,Germany,DE,Frankfurt am Main,elite,true,33.09,AS210644,Aeza International LTD,1028.77,1784330113.7082164
socks5,109.120.138.62,443,Germany,DE,Frankfurt am Main,elite,true,25.53,AS210644,Aeza International LTD,7281.92,1784330110.9786592
socks5,91.107.228.234,22183,Germany,DE,Frankfurt Am Main,elite,true,47.67,AS24940,Hetzner Online AG,7939.66,1784330106.8031561
socks5,159.195.49.27,1080,Germany,DE,Nuremberg,elite,true,92.32,AS197540,netcup GmbH,253.83,1784330273.3257196
socks5,168.119.173.104,47486,Germany,DE,Nuremberg,elite,true,43.52,AS24940,Hetzner Online GmbH,2967.25,1784330266.139223
socks5,13.140.164.179,3746,Germany,DE,Oberasbach,elite,true,39.71,AS51167,TerraTransit AG,604.59,1784330262.293736
socks5,41.216.188.132,9050,Germany,DE,Düsseldorf,elite,true,48.69,AS30823,Web,2031.67,1784330259.4676757
socks5,185.133.239.244,32784,Germany,DE,Erfurt,elite,true,47.1,AS202252,OCKNet GmbH,2581.18,1784330250.345971
socks5,147.45.66.116,1082,Germany,DE,Frankfurt am Main,elite,true,71.36,AS215540,Global Connectivity Solutions LLP,267.54,1784330243.8297994
socks5,212.227.186.120,5678,Germany,DE,Berlin,elite,true,22.91,AS8560,IONOS SE,18649.99,1784330239.398707
socks5,167.86.79.35,1080,Germany,DE,Nuremberg,elite,true,61.86,AS51167,Contabo GmbH,718.74,1784330234.0734303
socks5,94.159.106.252,1080,Germany,DE,Frankfurt am Main,elite,true,35.77,AS215730,H2nexus LTD,9560.08,1784330231.6212347
socks5,159.195.61.240,1080,Germany,DE,Nuremberg,elite,true,93.68,AS197540,netcup GmbH,6028.18,1784330227.6192706
socks5,147.45.66.115,1082,Germany,DE,Frankfurt am Main,elite,true,57.04,AS215540,Global Connectivity Solutions LLP,8457.83,1784330224.1779077
socks5,89.191.234.224,1081,Germany,DE,Frankfurt am Main,elite,true,25.06,AS57043,Hostkey B.V.,80.55,1784330214.7892904
socks5,147.45.66.115,1081,Germany,DE,Frankfurt am Main,elite,true,56.77,AS215540,Global Connectivity Solutions LLP,11393.96,1784330214.2886052
socks5,91.98.161.17,1080,Germany,DE,Nuremberg,elite,true,79.85,AS24940,Hetzner Online GmbH,168.2,1784330209.7367518
socks5,157.90.234.5,443,Germany,DE,Nuremberg,elite,true,37.74,AS24940,Hetzner Online GmbH,13454.13,1784330205.7326567
socks5,147.45.66.116,1081,Germany,DE,Frankfurt am Main,elite,true,71.71,AS215540,Global Connectivity Solutions LLP,3280.11,1784330202.5026653
socks5,147.45.66.117,1081,Germany,DE,Frankfurt am Main,elite,true,56.37,AS215540,Global Connectivity Solutions LLP,1315.31,1784330201.3985462
socks5,147.45.178.104,1081,Germany,DE,Frankfurt am Main,elite,true,61.57,AS215540,Global Connectivity Solutions LLP,4215.61,1784330190.0595388
socks5,168.119.173.104,41346,Germany,DE,Nuremberg,elite,true,46.44,AS24940,Hetzner Online GmbH,12169.97,1784330188.7021267
