protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.156.236.83,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,18.93,AS272882,"BITNET DOMINICANA, S.R.L",1478.3,1784330191.7238479
http,38.156.14.132,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,55.41,AS273224,Cogent Communications,467.12,1784330160.6209316
http,190.93.191.20,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,4.74,AS269908,Jose Digital Media Dominicana SRL,7582.66,1784330152.0411944
http,190.94.102.251,999,Dominican Republic,DO,Santo Domingo,transparent,true,27.21,AS28118,Altice Dominicana S.A.,3349.09,1784330149.0619943
http,38.156.233.78,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,1.87,AS272882,"BITNET DOMINICANA, S.R.L",2246.1,1784330269.828331
http,204.157.251.213,999,Dominican Republic,DO,El Factor,transparent,true,24.75,AS272868,Sequre Networks SRL,9401.56,1784330258.4224813
http,38.156.14.131,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,56.7,AS273224,Cogent Communications,6873.67,1784330252.9490423
http,154.88.132.50,8080,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,27.06,AS64126,"DOMINICAN CABLE GROUP DCG, S.R.L.",454.68,1784330241.8340304
http,168.243.77.81,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,29.27,AS271968,"CENTRIC MOBILITY (CEMO), S.R.L",441.91,1784330224.8216624
http,149.2.82.218,999,Dominican Republic,DO,Santo Domingo,transparent,true,20.0,AS272112,"TELECABLE DOMINICANO, S.A.",1404.19,1784330148.0007732
http,38.156.233.219,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,17.48,AS272882,"BITNET DOMINICANA, S.R.L",7741.61,1784330102.3319042
