protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.12.150.244,999,Ecuador,EC,Quininde,transparent,true,68.46,AS271795,Servitelconet Cia. Ltda.,583.52,1784330207.802037
http,177.234.211.175,999,Ecuador,EC,Naranjito,transparent,false,14.35,AS272954,VUELATECHNOLOGY,3485.75,1784330200.310155
http,66.231.77.62,999,Ecuador,EC,Cuenca,transparent,false,14.94,AS267699,Cubotelecom Cia. Ltda.,1653.15,1784330196.497314
http,181.224.175.200,999,Ecuador,EC,Naranjal,transparent,false,26.0,AS273141,Micarmita S.A.S,5327.54,1784330195.261235
http,45.70.236.194,999,Ecuador,EC,Portoviejo,transparent,true,40.76,AS52468,Ufinet Panama S.A.,2121.88,1784330194.836806
http,186.3.76.228,999,Ecuador,EC,Guayaquil,transparent,false,7.3,AS27947,Telconet S.A,4751.2,1784330193.6574674
http,45.225.105.172,8080,Ecuador,EC,Machala,transparent,false,20.15,AS52468,Ufinet Panama S.A.,12387.33,1784330187.009744
http,181.39.25.196,8118,Ecuador,EC,Quito,elite,true,99.77,AS27947,Telconet S.A,641.55,1784330186.470471
http,45.71.186.213,999,Ecuador,EC,Yaguachi Nuevo,transparent,true,36.09,AS52468,Ufinet Panama S.A.,9107.74,1784330185.260725
http,45.225.105.173,8080,Ecuador,EC,Machala,transparent,true,22.17,AS52468,Ufinet Panama S.A.,7657.58,1784330182.04143
http,177.234.217.237,999,Ecuador,EC,Quito,transparent,true,30.77,AS52468,Ufinet Panama S.A.,1540.44,1784330181.910672
http,181.119.184.38,999,Ecuador,EC,Guayaquil,transparent,false,12.39,AS52468,IFX Networks Argentina S.R.L,628.89,1784330181.4793537
http,177.234.217.85,999,Ecuador,EC,Quito,transparent,false,27.52,AS52468,Ufinet Panama S.A.,4509.6,1784330172.4539614
http,177.234.217.235,999,Ecuador,EC,Quito,transparent,true,36.4,AS52468,Ufinet Panama S.A.,2836.32,1784330166.4142628
http,186.33.40.133,999,Ecuador,EC,Ventura,transparent,false,37.49,AS52468,Ufinet Panama S.A.,5549.35,1784330158.3774035
http,66.231.77.130,8080,Ecuador,EC,Cuenca,transparent,false,4.8,AS267699,Cubotelecom Cia. Ltda.,3560.93,1784330153.0035443
http,181.188.203.112,999,Ecuador,EC,Montalvo,transparent,true,53.6,AS52468,Ufinet Panama S.A.,4670.75,1784330151.005247
http,45.236.107.106,808,Ecuador,EC,Quito,transparent,false,30.91,AS263238,Eliana Vanessa Morocho Oña,1527.62,1784330148.6428888
http,181.78.194.249,999,Ecuador,EC,Milagro,transparent,true,43.13,AS52468,Ufinet Panama S.A.,9389.26,1784330145.4808114
http,177.234.211.31,999,Ecuador,EC,Naranjito,transparent,false,8.84,AS272954,VUELATECHNOLOGY,12654.28,1784330137.673656
http,181.78.203.148,999,Ecuador,EC,Rosa Zarate,transparent,true,13.78,AS52468,Ufinet Panama S.A.,9965.21,1784330113.3981519
http,181.224.175.240,999,Ecuador,EC,Naranjal,transparent,false,9.53,AS273141,Micarmita S.A.S,3613.62,1784330105.3803868
http,177.234.194.173,999,Ecuador,EC,Guayaquil,transparent,true,5.15,AS52468,Ufinet Panama S.A.,7635.51,1784330099.6398504
http,177.234.211.63,999,Ecuador,EC,Naranjito,transparent,false,5.93,AS272954,VUELATECHNOLOGY,8201.71,1784330091.2359211
http,179.60.51.210,999,Ecuador,EC,Nueva Loja,transparent,true,42.55,AS265799,Expertservi S.A.,9855.18,1784330084.4788253
http,45.4.202.147,999,Ecuador,EC,Quito,transparent,true,14.07,AS263238,Eliana Vanessa Morocho Oña,509.6,1784330045.5981524
http,190.95.132.190,999,Ecuador,EC,Ambato,transparent,false,10.7,AS27947,Telconet S.A,16568.8,1784330043.9638007
http,45.4.200.67,999,Ecuador,EC,Jipijapa,transparent,false,11.35,AS263238,GEDATECU SA,1540.95,1784330032.8518388
http,45.229.17.17,999,Ecuador,EC,Baba,transparent,false,19.24,AS271967,Turbonet S.A.,1565.17,1784330017.3055127
http,177.234.211.79,999,Ecuador,EC,Naranjito,transparent,false,6.5,AS272954,VUELATECHNOLOGY,3584.82,1784330012.621869
http,181.78.203.3,999,Ecuador,EC,Quito,transparent,true,15.26,AS52468,Ufinet Panama S.A.,7893.59,1784330262.7280576
http,66.231.77.68,999,Ecuador,EC,Cuenca,transparent,false,10.35,AS267699,Cubotelecom Cia. Ltda.,1688.31,1784330253.5649326
http,205.235.1.38,999,Ecuador,EC,Guayaquil,transparent,false,36.54,AS23031,Telecu Telecomunicaciones Del Ecuador Telecusa S.A.S.,3145.08,1784330250.5450099
http,205.235.1.39,999,Ecuador,EC,Guayaquil,transparent,true,31.75,AS23031,Telecu Telecomunicaciones Del Ecuador Telecusa S.A.S.,14291.86,1784330239.1489906
http,157.100.26.250,999,Ecuador,EC,Guayaquil,transparent,false,14.56,AS27947,Telconet S.A,7862.41,1784330231.3639452
http,200.63.107.118,8089,Ecuador,EC,Quito,transparent,true,11.12,AS263238,Eliana Vanessa Morocho Oña,9150.86,1784330222.7112975
