protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.12.150.244,999,Ecuador,EC,Quininde,transparent,true,68.46,AS271795,Servitelconet Cia. Ltda.,583.52,1784330207.802037
http,45.70.236.194,999,Ecuador,EC,Portoviejo,transparent,true,40.76,AS52468,Ufinet Panama S.A.,2121.88,1784330194.836806
http,181.39.25.196,8118,Ecuador,EC,Quito,elite,true,99.77,AS27947,Telconet S.A,641.55,1784330186.470471
http,45.71.186.213,999,Ecuador,EC,Yaguachi Nuevo,transparent,true,36.09,AS52468,Ufinet Panama S.A.,9107.74,1784330185.260725
http,45.225.105.173,8080,Ecuador,EC,Machala,transparent,true,22.17,AS52468,Ufinet Panama S.A.,7657.58,1784330182.04143
http,177.234.217.237,999,Ecuador,EC,Quito,transparent,true,30.77,AS52468,Ufinet Panama S.A.,1540.44,1784330181.910672
http,177.234.217.235,999,Ecuador,EC,Quito,transparent,true,36.4,AS52468,Ufinet Panama S.A.,2836.32,1784330166.4142628
http,181.188.203.112,999,Ecuador,EC,Montalvo,transparent,true,53.6,AS52468,Ufinet Panama S.A.,4670.75,1784330151.005247
http,181.78.194.249,999,Ecuador,EC,Milagro,transparent,true,43.13,AS52468,Ufinet Panama S.A.,9389.26,1784330145.4808114
http,181.78.203.148,999,Ecuador,EC,Rosa Zarate,transparent,true,13.78,AS52468,Ufinet Panama S.A.,9965.21,1784330113.3981519
http,177.234.194.173,999,Ecuador,EC,Guayaquil,transparent,true,5.15,AS52468,Ufinet Panama S.A.,7635.51,1784330099.6398504
http,179.60.51.210,999,Ecuador,EC,Nueva Loja,transparent,true,42.55,AS265799,Expertservi S.A.,9855.18,1784330084.4788253
http,45.4.202.147,999,Ecuador,EC,Quito,transparent,true,14.07,AS263238,Eliana Vanessa Morocho Oña,509.6,1784330045.5981524
http,181.78.203.3,999,Ecuador,EC,Quito,transparent,true,15.26,AS52468,Ufinet Panama S.A.,7893.59,1784330262.7280576
http,205.235.1.39,999,Ecuador,EC,Guayaquil,transparent,true,31.75,AS23031,Telecu Telecomunicaciones Del Ecuador Telecusa S.A.S.,14291.86,1784330239.1489906
http,200.63.107.118,8089,Ecuador,EC,Quito,transparent,true,11.12,AS263238,Eliana Vanessa Morocho Oña,9150.86,1784330222.7112975
