protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,195.114.209.50,80,Spain,ES,Alcobendas,elite,false,66.53,AS57286,Gigas Hosting SL,5129.68,1784330179.352783
http,81.0.49.104,19775,Spain,ES,Valencia,transparent,false,17.19,AS15704,MasMovil Access Network,4027.1,1784330150.2690725
http,85.85.186.84,8080,Spain,ES,Barcelona,transparent,true,45.84,AS15704,Xtra Telecom S.A.,645.85,1784330144.2840745
http,83.45.172.130,8080,Spain,ES,Alella,transparent,false,46.92,AS3352,Telefonica de Espana SAU,157.38,1784330131.7524378
http,85.85.179.233,8080,Spain,ES,Barcelona,transparent,false,34.08,AS15704,Xtra Telecom S.A.,3189.29,1784330123.042232
http,141.227.128.55,3128,Spain,ES,Madrid,transparent,false,32.72,AS16276,OVH SAS,18203.93,1784330115.879247
http,185.44.232.30,53281,Spain,ES,Fuengirola,elite,false,4.54,AS200845,"AVATEL TELECOM, SA",9579.42,1784330100.6439555
http,90.174.128.42,3128,Spain,ES,Madrid,transparent,false,11.21,AS12479,Uni2,1160.5,1784330034.8902638
http,95.60.60.204,3128,Spain,ES,Ibiza Town,transparent,false,34.6,AS12430,Vodafone Espana S.A.U.,15816.01,1784330187.8599017
http,212.231.191.23,80,Spain,ES,Madrid,elite,false,76.39,AS15704,Xtra Telecom S.A,139.2,1784330249.016653
