protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,65.21.61.221,8080,Finland,FI,Helsinki,elite,true,40.83,AS24940,Hetzner Online GmbH,205.53,1784330222.4964383
socks4,185.230.190.195,1080,Finland,FI,Helsinki,elite,true,88.69,AS212706,Livi Hosting LTD,1351.94,1784330214.8524172
socks4,132.243.23.194,8888,Finland,FI,Helsinki,elite,true,42.72,AS204339,First Server Limited,2208.44,1784330213.0498502
socks4,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,88.09,AS209847,WorkTitans B.V.,1893.0,1784330205.4365299
socks4,37.27.245.106,1080,Finland,FI,Helsinki,elite,true,87.53,AS24940,Hetzner Online GmbH,12849.56,1784330203.6173928
http,178.17.61.129,3128,Finland,FI,Helsinki,elite,true,25.04,AS213887,WAIcore Ltd,7065.0,1784330200.6654701
socks5,193.221.203.14,1080,Finland,FI,Helsinki,elite,true,32.31,AS41745,Baykov Ilya Sergeevich,1513.98,1784330199.7525175
socks4,46.62.246.93,9050,Finland,FI,Helsinki,elite,true,29.52,AS24940,Hetzner Online GmbH,9360.48,1784330189.3423922
socks5,185.230.190.195,1080,Finland,FI,Helsinki,elite,true,86.25,AS212706,Livi Hosting LTD,1716.16,1784330181.2741246
http,109.120.184.202,1080,Finland,FI,Helsinki,elite,true,87.58,AS210644,Aeza International LTD,150.08,1784330167.293864
http,46.62.189.77,8888,Finland,FI,Helsinki,elite,true,99.6,AS24940,Hetzner Online GmbH,178.57,1784330154.468935
http,31.57.27.86,8081,Finland,FI,Helsinki,elite,true,16.72,AS56971,CGI GLOBAL LIMITED,12040.7,1784330119.4786737
http,144.31.52.77,3128,Finland,FI,Helsinki,transparent,true,20.63,AS215590,DpkgSoft International Limited,11229.95,1784330114.906033
http,78.17.15.154,443,Finland,FI,Helsinki,anonymous,true,12.27,AS57043,Hostkey B.V.,6585.71,1784330091.8416557
