protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,178.17.61.129,3128,Finland,FI,Helsinki,elite,true,25.04,AS213887,WAIcore Ltd,7065.0,1784330200.6654701
http,109.120.184.202,1080,Finland,FI,Helsinki,elite,true,87.58,AS210644,Aeza International LTD,150.08,1784330167.293864
http,46.62.189.77,8888,Finland,FI,Helsinki,elite,true,99.6,AS24940,Hetzner Online GmbH,178.57,1784330154.468935
http,31.57.27.86,8081,Finland,FI,Helsinki,elite,true,16.72,AS56971,CGI GLOBAL LIMITED,12040.7,1784330119.4786737
http,144.31.52.77,3128,Finland,FI,Helsinki,transparent,true,20.63,AS215590,DpkgSoft International Limited,11229.95,1784330114.906033
http,78.17.15.154,443,Finland,FI,Helsinki,anonymous,true,12.27,AS57043,Hostkey B.V.,6585.71,1784330091.8416557
http,185.230.190.195,3128,Finland,FI,Helsinki,elite,true,68.43,AS212706,Livi Hosting LTD,1508.23,1784330037.561178
http,65.108.159.129,3128,Finland,FI,Helsinki,elite,true,1.21,AS24940,Hetzner Online GmbH,165.54,1784330265.4780066
http,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,81.78,AS209847,WorkTitans B.V.,2874.17,1784330259.796056
http,135.87.39.23,80,Finland,FI,Helsinki,elite,true,99.8,AS8983,Nokia Solutions and Networks Oy,121.87,1784330254.2513547
http,135.181.113.216,16379,Finland,FI,Helsinki,elite,true,28.08,AS24940,Hetzner Online GmbH,8231.55,1784330250.052407
http,94.156.180.137,3128,Finland,FI,Helsinki,transparent,true,67.02,AS207957,SERV.HOST GROUP LTD,118.46,1784330241.913435
http,135.87.39.23,443,Finland,FI,Helsinki,elite,true,99.87,AS8983,Nokia Solutions and Networks Oy,113.46,1784330213.8291595
http,62.60.237.112,3128,Finland,FI,Helsinki,transparent,true,33.07,AS210644,Aeza International LTD,174.7,1784330205.2997787
http,65.109.191.98,3080,Finland,FI,Helsinki,elite,true,98.34,AS24940,Hetzner Online GmbH,170.31,1784330194.9400942
