protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,193.221.203.14,1080,Finland,FI,Helsinki,elite,true,32.31,AS41745,Baykov Ilya Sergeevich,1513.98,1784330199.7525175
socks5,185.230.190.195,1080,Finland,FI,Helsinki,elite,true,86.25,AS212706,Livi Hosting LTD,1716.16,1784330181.2741246
socks5,95.216.117.50,9050,Finland,FI,Helsinki,elite,true,28.48,AS24940,Hetzner Online GmbH,10764.45,1784330265.0142782
socks5,95.216.170.155,9093,Finland,FI,Helsinki,elite,true,47.51,AS24940,Hetzner Online GmbH,11218.38,1784330254.2659302
socks5,95.216.170.155,9081,Finland,FI,Helsinki,elite,true,98.77,AS24940,Hetzner Online GmbH,23889.52,1784330245.831488
socks5,132.243.23.194,8888,Finland,FI,Helsinki,elite,true,34.22,AS204339,First Server Limited,4736.73,1784330242.2684646
socks5,65.109.191.98,3080,Finland,FI,Helsinki,elite,true,98.54,AS24940,Hetzner Online GmbH,702.46,1784330235.8212314
socks5,95.217.167.252,11116,Finland,FI,Helsinki,elite,true,26.41,AS24940,Hetzner Online GmbH,886.44,1784330228.0058804
socks5,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,83.25,AS209847,WorkTitans B.V.,997.92,1784330211.3886034
socks5,95.216.170.155,9091,Finland,FI,Helsinki,elite,true,68.98,AS24940,Hetzner Online GmbH,13005.83,1784330207.0695453
socks5,65.108.216.128,9050,Finland,FI,Helsinki,elite,true,32.56,AS24940,Hetzner Online GmbH,14440.78,1784330184.1531477
socks5,93.123.30.53,1080,Finland,FI,Helsinki,elite,true,46.63,AS41745,Baykov Ilya Sergeevich,4267.4,1784330166.6011028
