protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,5.250.181.197,3128,France,FR,Paris,transparent,true,38.85,AS8560,IONOS SE,40.94,1784330199.1538143
http,173.212.246.157,3128,France,FR,Lauterbourg,transparent,true,45.84,AS51167,Contabo GmbH,13652.9,1784330190.4383922
http,37.59.110.73,80,France,FR,Roubaix,elite,true,9.86,AS16276,OVH SAS,7965.52,1784330184.3694656
http,173.212.245.136,8888,France,FR,Lauterbourg,elite,true,90.05,AS51167,Contabo GmbH,91.39,1784330179.230721
http,87.106.120.212,3128,France,FR,Paris,transparent,true,35.84,AS8560,IONOS SE,5586.95,1784330179.0413437
http,217.182.195.221,30004,France,FR,Roubaix,elite,true,49.11,AS16276,OVH SAS,424.38,1784330172.4040878
http,62.133.62.17,1081,France,FR,Paris,elite,true,61.85,AS215540,Global Connectivity Solutions LLP,55.64,1784330160.1005123
http,185.87.150.37,80,France,FR,Paris,elite,true,97.08,AS9009,Managed by IROKO Networks,74.82,1784330154.6149635
http,75.119.140.151,3128,France,FR,Lauterbourg,transparent,true,47.78,AS51167,BroadbandONE,4652.22,1784330153.4049585
http,89.168.55.104,8888,France,FR,Paris,elite,true,99.8,AS31898,Oracle Corporation,167.61,1784330151.9683268
http,130.49.218.165,1082,France,FR,Paris,elite,true,70.72,AS215540,Global Connectivity Solutions LLP,326.19,1784330148.360718
http,62.133.62.184,1081,France,FR,Paris,elite,true,61.74,AS215540,Global Connectivity Solutions LLP,5137.57,1784330140.0078957
http,51.77.148.27,3128,France,FR,Roubaix,transparent,true,33.09,AS16276,OVH SAS,7171.36,1784330137.6230304
http,62.133.62.249,1081,France,FR,Paris,elite,true,62.07,AS215540,Global Connectivity Solutions LLP,6184.73,1784330134.2288618
http,173.249.37.45,5005,France,FR,Lauterbourg,elite,true,7.14,AS51167,Contabo GmbH,22118.28,1784330117.6354067
http,62.133.62.207,1081,France,FR,Paris,elite,true,64.69,AS215540,Global Connectivity Solutions LLP,13341.43,1784330117.4384432
http,109.199.125.66,3128,France,FR,Lauterbourg,transparent,true,8.11,AS51167,Contabo GmbH,12049.24,1784330102.4047081
http,45.13.116.196,21537,France,FR,Mathay,elite,true,15.18,AS47484,ABJP,14330.68,1784330099.3746207
http,51.159.66.158,3128,France,FR,Paris,transparent,true,12.53,AS12876,SCALEWAY,4203.15,1784330092.6772754
http,45.95.233.237,1082,France,FR,Paris,elite,true,62.08,AS215540,Global Connectivity Solutions LLP,5059.66,1784330092.6754973
http,51.159.156.201,3128,France,FR,Paris,transparent,true,30.06,AS12876,SCALEWAY,12605.9,1784330075.4598422
http,37.59.125.131,8888,France,FR,Roubaix,elite,true,98.59,AS16276,OVH SAS,171.03,1784330063.7447166
http,173.212.222.244,8888,France,FR,Lauterbourg,transparent,true,14.75,AS51167,Contabo GmbH,10559.57,1784330056.4698577
http,54.38.35.209,3128,France,FR,Roubaix,transparent,true,33.56,AS16276,OVH SAS,7337.23,1784330039.7930334
http,45.13.116.130,21537,France,FR,Mathay,elite,true,20.47,AS47484,ABJP,20424.63,1784330246.409345
http,45.13.116.193,21537,France,FR,Mathay,elite,true,20.78,AS47484,ABJP,16406.64,1784330246.2848794
http,62.133.62.207,1082,France,FR,Paris,elite,true,64.51,AS215540,Global Connectivity Solutions LLP,11095.61,1784330240.2746375
http,62.84.181.67,9090,France,FR,Lauterbourg,elite,true,23.62,AS51167,Contabo GmbH,7956.99,1784330239.7811818
http,213.199.40.138,8080,France,FR,Lauterbourg,transparent,true,27.56,AS51167,Contabo GmbH,3137.42,1784330239.440789
http,45.13.116.225,21537,France,FR,Mathay,elite,true,21.98,AS47484,ABJP,11900.07,1784330238.2390087
http,163.172.129.144,3128,France,FR,Paris,transparent,true,24.78,AS12876,Scaleway SAS,7722.73,1784330235.3552763
http,62.133.62.17,1082,France,FR,Paris,elite,true,61.52,AS215540,Global Connectivity Solutions LLP,70.53,1784330233.6142948
http,161.97.131.23,8899,France,FR,Lauterbourg,anonymous,true,19.51,AS51167,Contabo GmbH,15574.74,1784330228.5479498
http,157.173.123.247,3128,France,FR,Lauterbourg,elite,true,52.21,AS51167,Contabo GmbH,14446.48,1784330227.7400446
http,207.180.228.55,80,France,FR,Lauterbourg,elite,true,7.02,AS51167,Contabo GmbH,381.87,1784330216.6368983
http,130.49.218.166,1081,France,FR,Paris,elite,true,73.63,AS215540,Global Connectivity Solutions LLP,7294.81,1784330175.3087993
http,45.13.116.220,21537,France,FR,Mathay,elite,true,23.53,AS47484,ABJP,9361.63,1784330168.5923934
http,130.49.218.165,1081,France,FR,Paris,elite,true,70.39,AS215540,Global Connectivity Solutions LLP,4202.0,1784330167.7915053
http,45.13.116.235,21537,France,FR,Mathay,elite,true,23.33,AS47484,ABJP,7853.24,1784330155.0482183
http,62.133.62.3,1082,France,FR,Paris,elite,true,64.28,AS215540,Global Connectivity Solutions LLP,12245.54,1784330148.656326
http,152.228.145.27,8080,France,FR,Paris,transparent,true,36.23,AS16276,OVH SAS,3529.06,1784330148.1880553
http,92.205.186.129,1080,France,FR,Strasbourg,elite,true,73.38,AS21499,Host Europe GmbH,269.76,1784330144.2382936
http,45.13.116.170,21537,France,FR,Mathay,elite,true,17.69,AS47484,ABJP,7712.66,1784330120.3362536
http,45.13.116.212,21537,France,FR,Mathay,elite,true,18.16,AS47484,ABJP,2676.34,1784330092.6896253
http,62.133.62.3,1081,France,FR,Paris,elite,true,64.45,AS215540,Global Connectivity Solutions LLP,12112.31,1784330039.7357974
