protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,31.220.81.59,9050,France,FR,Lauterbourg,elite,true,33.5,AS51167,OWS,147.68,1784330218.6418402
socks4,62.133.62.17,1081,France,FR,Paris,elite,true,66.93,AS215540,Global Connectivity Solutions LLP,5165.48,1784330212.2301676
socks4,45.95.233.237,1082,France,FR,Paris,elite,true,67.18,AS215540,Global Connectivity Solutions LLP,11238.01,1784330211.9869585
socks4,62.133.62.184,1082,France,FR,Paris,elite,true,67.42,AS215540,Global Connectivity Solutions LLP,11285.82,1784330211.5565963
socks4,62.133.62.12,1081,France,FR,Paris,elite,true,67.01,AS215540,Global Connectivity Solutions LLP,8317.57,1784330194.63214
socks4,144.91.83.56,9050,France,FR,Lauterbourg,elite,true,15.64,AS51167,Contabo GmbH,13604.73,1784330190.6596768
socks4,144.91.82.219,9050,France,FR,Lauterbourg,elite,true,32.57,AS51167,Contabo GmbH,18086.99,1784330164.8376033
socks4,38.242.156.163,9050,France,FR,Lauterbourg,elite,true,21.08,AS51167,Contabo GmbH,4318.48,1784330138.5459607
socks4,62.133.62.3,1082,France,FR,Paris,elite,true,69.66,AS215540,Global Connectivity Solutions LLP,38.42,1784330275.5635111
socks4,62.133.62.17,1082,France,FR,Paris,elite,true,66.87,AS215540,Global Connectivity Solutions LLP,38.48,1784330274.724407
socks4,62.133.62.187,1081,France,FR,Paris,elite,true,68.58,AS215540,Global Connectivity Solutions LLP,1075.0,1784330274.2478285
socks4,62.133.62.3,1081,France,FR,Paris,elite,true,69.62,AS215540,Global Connectivity Solutions LLP,38.04,1784330272.4880714
socks4,62.133.62.231,1081,France,FR,Paris,elite,true,68.25,AS215540,Global Connectivity Solutions LLP,6170.45,1784330269.21354
socks4,62.133.62.187,1082,France,FR,Paris,elite,true,68.63,AS215540,Global Connectivity Solutions LLP,8302.6,1784330267.789486
socks4,62.133.62.249,1082,France,FR,Paris,elite,true,68.28,AS215540,Global Connectivity Solutions LLP,7287.02,1784330265.9641583
socks4,130.49.218.166,1081,France,FR,Paris,elite,true,78.26,AS215540,Global Connectivity Solutions LLP,8387.89,1784330262.3933427
socks4,130.49.218.165,1082,France,FR,Paris,elite,true,75.54,AS215540,Global Connectivity Solutions LLP,37.92,1784330259.3493402
socks4,130.49.218.165,1081,France,FR,Paris,elite,true,75.9,AS215540,Global Connectivity Solutions LLP,41.19,1784330258.5493114
socks4,130.49.218.166,1082,France,FR,Paris,elite,true,77.11,AS215540,Global Connectivity Solutions LLP,5159.83,1784330257.1614304
socks4,62.133.62.231,1082,France,FR,Paris,elite,true,68.31,AS215540,Global Connectivity Solutions LLP,3085.91,1784330256.3719535
socks4,95.178.108.189,5678,France,FR,Lyon,elite,true,13.46,AS200780,Eurofiber France SAS,7325.68,1784330247.3543715
socks4,161.97.153.238,9050,France,FR,Lauterbourg,elite,true,31.94,AS51167,Contabo GmbH,9105.56,1784330241.4780512
socks4,38.242.158.117,9050,France,FR,Lauterbourg,elite,true,23.77,AS51167,Contabo GmbH,6454.87,1784330238.2603698
socks4,62.133.62.207,1082,France,FR,Paris,elite,true,69.84,AS215540,Global Connectivity Solutions LLP,3085.14,1784330237.3742805
socks4,62.133.62.184,1081,France,FR,Paris,elite,true,67.31,AS215540,Global Connectivity Solutions LLP,8241.17,1784330232.840651
socks4,161.97.95.124,9050,France,FR,Lauterbourg,elite,true,32.8,AS51167,Contabo GmbH,7672.71,1784330208.8692927
socks4,161.97.106.223,9050,France,FR,Lauterbourg,elite,true,24.2,AS51167,Contabo GmbH,13887.18,1784330207.349462
socks4,151.80.33.14,9050,France,FR,Roubaix,elite,true,31.16,AS16276,OVH SAS,20273.45,1784330201.401479
