protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,138.124.125.198,1080,United Kingdom,GB,Coventry,elite,true,11.08,AS41745,Baykov Ilya Sergeevich,91.79,1784330219.1727831
http,141.147.70.238,3128,United Kingdom,GB,London,transparent,true,85.8,AS31898,Oracle Corporation,82.34,1784330208.5583007
socks4,130.49.187.61,1082,United Kingdom,GB,London,elite,true,65.95,AS215540,Global Connectivity Solutions LLP,64.14,1784330205.5327518
socks4,81.168.119.85,443,United Kingdom,GB,Maidenhead,elite,true,91.57,AS20860,Iomart Cloud Services Limited,14498.46,1784330205.2517643
socks5,192.252.210.233,4145,United Kingdom,GB,London,elite,true,78.72,AS46562,Performive LLC,1333.53,1784330193.306717
socks4,88.80.186.173,19100,United Kingdom,GB,London,elite,true,37.24,AS63949,"Akamai Technologies, Inc.",8351.71,1784330189.2926261
http,130.49.187.61,1081,United Kingdom,GB,London,elite,false,70.76,AS215540,Global Connectivity Solutions LLP,317.7,1784330187.7710826
socks5,8.211.194.85,3333,United Kingdom,GB,London,elite,true,1.05,AS45102,"Alibaba (US) Technology Co., Ltd.",6073.96,1784330187.7327228
socks5,81.168.119.85,443,United Kingdom,GB,Maidenhead,elite,true,88.81,AS20860,Iomart Cloud Services Limited,131.23,1784330185.9785254
socks5,8.211.194.85,1080,United Kingdom,GB,London,elite,true,1.24,AS45102,"Alibaba (US) Technology Co., Ltd.",6071.48,1784330185.5117717
socks5,8.211.194.85,1081,United Kingdom,GB,London,elite,true,1.38,AS45102,"Alibaba (US) Technology Co., Ltd.",6040.73,1784330184.8406582
socks5,8.211.194.85,4002,United Kingdom,GB,London,elite,true,1.39,AS45102,"Alibaba (US) Technology Co., Ltd.",6070.06,1784330184.8377123
http,86.21.235.43,995,United Kingdom,GB,Bracknell,transparent,false,50.43,AS5089,Virgin Media Limited,10638.93,1784330181.4656096
socks5,8.211.194.85,4444,United Kingdom,GB,London,elite,true,1.33,AS45102,"Alibaba (US) Technology Co., Ltd.",13265.08,1784330176.7519433
http,57.128.159.156,21,United Kingdom,GB,Erith,elite,true,24.82,AS16276,OVH SAS,13222.27,1784330149.5811017
socks5,80.79.123.97,9050,United Kingdom,GB,London,elite,true,35.86,AS34702,Aktsiaselts WaveCom,14307.71,1784330141.7040138
socks5,172.236.14.204,1080,United Kingdom,GB,London,elite,true,29.64,AS63949,"Akamai Technologies, Inc.",6134.2,1784330124.011827
http,130.49.187.63,1082,United Kingdom,GB,London,elite,false,74.12,AS215540,Global Connectivity Solutions LLP,3087.89,1784330082.4410183
http,198.244.254.77,3128,United Kingdom,GB,London,elite,true,11.67,AS16276,OVH SAS,7447.44,1784330022.4863365
socks5,206.123.156.209,4068,United Kingdom,GB,City of London,elite,true,25.64,AS213790,Limited Network LTD,1112.27,1784330275.313576
socks5,206.123.156.228,5729,United Kingdom,GB,City of London,elite,true,25.96,AS213790,Limited Network LTD,1705.46,1784330274.4202206
