protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,47.82.66.101,1011,Hong Kong,HK,Hong Kong,elite,true,61.46,AS45102,"Alibaba (US) Technology Co., Ltd.",3171.24,1784330217.2959375
socks4,47.57.242.244,5080,Hong Kong,HK,Hong Kong,elite,true,59.59,AS45102,"Alibaba (US) Technology Co., Ltd.",10311.06,1784330209.7566578
socks4,47.86.234.70,9898,Hong Kong,HK,Hong Kong,elite,true,48.76,AS45102,Alibaba Cloud LLC,8628.12,1784330205.3532546
socks4,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,true,67.15,AS45102,Alibaba Cloud LLC,2069.05,1784330204.6819189
socks4,103.144.246.2,8888,Hong Kong,HK,Mong Kok,elite,true,22.38,AS138152,Yisu Cloud LTD,804.51,1784330204.1946483
http,34.96.238.40,8080,Hong Kong,HK,Hong Kong,elite,true,23.7,AS396982,Google LLC,610.24,1784330200.4003904
socks5,47.86.234.70,9898,Hong Kong,HK,Hong Kong,elite,true,41.67,AS45102,Alibaba Cloud LLC,4504.12,1784330200.1377175
http,139.198.113.42,10023,Hong Kong,HK,Hong Kong,anonymous,false,41.62,AS134366,Yunify Technologies Inc,8455.74,1784330199.9115067
socks5,47.238.203.170,50000,Hong Kong,HK,Hong Kong,elite,true,52.3,AS45102,Alibaba Cloud LLC,2353.73,1784330196.3157947
socks5,8.217.84.233,1011,Hong Kong,HK,Hong Kong,elite,true,18.17,AS45102,"Alibaba (US) Technology Co., Ltd.",1218.48,1784330192.765863
socks5,119.28.64.217,58367,Hong Kong,HK,Hong Kong,elite,true,26.64,AS132203,ComsenzNet,1539.67,1784330190.873451
socks5,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,true,59.07,AS45102,Alibaba Cloud LLC,2547.08,1784330187.844219
socks5,119.28.13.138,1080,Hong Kong,HK,Hong Kong,elite,true,99.9,AS132203,ComsenzNet,1473.47,1784330179.7616727
socks5,34.150.27.141,20016,Hong Kong,HK,Hong Kong,elite,true,97.06,AS396982,Google LLC,11021.18,1784330179.3717277
socks5,47.57.242.244,5080,Hong Kong,HK,Hong Kong,elite,true,57.52,AS45102,"Alibaba (US) Technology Co., Ltd.",15405.8,1784330177.635667
http,183.178.50.58,8080,Hong Kong,HK,Kwai Chung,transparent,true,7.24,AS9269,Hong Kong Broadband Network Limited,9547.06,1784330171.7765048
http,47.239.140.6,80,Hong Kong,HK,Hong Kong,elite,true,53.19,AS45102,Alibaba Cloud LLC,602.56,1784330166.3493295
http,220.241.20.97,3129,Hong Kong,HK,Central,anonymous,true,23.56,AS4515,PCCW IMS Ltd (PCCW Business Internet Access),635.04,1784330160.869557
http,8.217.64.30,11080,Hong Kong,HK,Hong Kong,elite,true,41.86,AS45102,"Alibaba (US) Technology Co., Ltd.",720.57,1784330160.2949595
socks5,47.238.60.156,8181,Hong Kong,HK,Hong Kong,elite,true,1.33,AS45102,Alibaba Cloud LLC,6377.25,1784330155.741479
http,47.243.92.199,3128,Hong Kong,HK,Hong Kong,elite,true,84.67,AS45102,Alibaba Cloud LLC,612.01,1784330155.0189319
http,14.199.167.175,3128,Hong Kong,HK,Wong Tai Sin,transparent,true,31.6,AS9269,Hong Kong Broadband Network Limited,548.68,1784330146.1405025
socks5,172.81.111.156,10001,Hong Kong,HK,Hong Kong,elite,true,43.55,AS400618,Prime Security Corp.,776.25,1784330144.381435
http,103.167.61.162,3128,Hong Kong,HK,Mid Levels,elite,true,87.67,AS398704,Stacks Inc,12535.22,1784330140.7807488
socks5,47.238.60.156,1081,Hong Kong,HK,Hong Kong,elite,true,1.27,AS45102,Alibaba Cloud LLC,13640.04,1784330139.116788
http,34.150.27.141,20001,Hong Kong,HK,Hong Kong,elite,false,87.41,AS396982,Google LLC,17549.07,1784330135.3053598
http,47.242.243.198,2233,Hong Kong,HK,Hong Kong,elite,true,95.23,AS45102,Alibaba.com LLC,862.32,1784330135.26746
socks5,47.86.42.224,1011,Hong Kong,HK,Hong Kong,elite,true,51.87,AS45102,Alibaba Cloud LLC,13339.71,1784330118.8128288
http,101.36.109.77,8118,Hong Kong,HK,Hong Kong,elite,true,94.71,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1949.38,1784330118.3227758
http,118.193.37.78,3128,Hong Kong,HK,Hong Kong,transparent,true,27.1,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,21192.28,1784330115.1845691
http,193.239.86.180,80,Hong Kong,HK,Hong Kong,elite,false,92.59,AS9009,M247 Europe SRL,1383.16,1784330115.1619928
http,8.210.93.183,8213,Hong Kong,HK,Hong Kong,transparent,true,61.51,AS45102,Alibaba.com LLC,620.59,1784330114.6412144
socks5,123.58.219.171,10808,Hong Kong,HK,Hong Kong,elite,true,53.77,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1227.38,1784330114.2027717
http,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,false,67.58,AS45102,Alibaba Cloud LLC,1181.65,1784330092.832888
http,47.238.203.170,50000,Hong Kong,HK,Hong Kong,elite,true,32.3,AS45102,Alibaba Cloud LLC,2340.86,1784330070.9652846
http,223.197.178.186,3128,Hong Kong,HK,Central,transparent,false,7.14,AS4760,PCCW IMSBiz,16233.15,1784330046.3332772
http,165.154.7.156,8888,Hong Kong,HK,Hong Kong,elite,true,54.38,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,883.89,1784330268.0819151
socks5,45.194.33.12,30001,Hong Kong,HK,Hong Kong,elite,true,99.38,AS138995,Antbox Network Limited,1601.83,1784330267.2901342
http,43.255.159.94,3129,Hong Kong,HK,Kwun Tong,elite,true,24.37,AS42960,VH Global Limited,11725.04,1784330254.4623723
socks5,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,67.66,AS132203,Shenzhen Tencent Computer Systems Company Limited,12657.54,1784330251.502796
http,129.226.127.245,18080,Hong Kong,HK,Hong Kong,elite,true,75.83,AS132203,Tencent Cloud Computing (Beijing) Co,630.11,1784330250.0801945
socks4,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,77.94,AS132203,Shenzhen Tencent Computer Systems Company Limited,12915.48,1784330246.2254026
http,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,75.56,AS132203,Shenzhen Tencent Computer Systems Company Limited,1702.38,1784330243.9798303
http,20.2.221.52,3456,Hong Kong,HK,Hong Kong,transparent,true,18.07,AS8075,Microsoft Corporation,11492.96,1784330243.743216
socks4,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,87.37,AS401739,Yancy Limited,13508.13,1784330242.9782028
socks5,183.90.187.248,9050,Hong Kong,HK,Tseung Kwan O,elite,true,27.47,AS400619,Arosscloud Sdn. BHD,17327.29,1784330236.9321642
http,103.69.129.89,24444,Hong Kong,HK,Hong Kong,transparent,false,89.31,AS63473,"HostHatch, LLC",16377.56,1784330231.713272
http,39.109.113.97,4090,Hong Kong,HK,Kwai Chung,elite,false,74.1,AS142403,Yisu Cloud LTD,5504.0,1784330229.9062688
socks5,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,86.05,AS401739,Yancy Limited,13728.56,1784330222.3993096
socks5,45.125.32.64,5555,Hong Kong,HK,Mong Kok,elite,true,92.38,AS55933,Cloudie Limited,1814.76,1784330214.2875946
http,103.43.191.71,8888,Hong Kong,HK,Kwai Chung,elite,true,95.92,AS139021,West263 International Limited,780.92,1784330209.9446576
http,203.19.38.114,1080,Hong Kong,HK,Hong Kong,elite,false,75.42,AS23764,China Telecom Global networks,527.71,1784330207.698072
http,43.155.20.204,3128,Hong Kong,HK,Hong Kong,elite,false,53.37,AS132203,Shenzhen Tencent Computer Systems Company Limited,15073.01,1784330205.2286503
socks5,124.156.185.140,1080,Hong Kong,HK,Hong Kong,elite,true,99.9,AS132203,Tencent Cloud Computing (Beijing) Co,2143.51,1784330197.9545562
http,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,70.99,AS401739,Yancy Limited,14898.07,1784330197.1794279
socks5,154.209.4.204,38080,Hong Kong,HK,Chai Wan,elite,true,22.35,AS142403,Yisu Cloud LTD,7211.45,1784330187.0654905
socks5,43.161.217.219,1080,Hong Kong,HK,Hong Kong,elite,true,99.98,AS132203,Aceville Pte.ltd,1439.7,1784330179.357385
http,103.226.127.3,10080,Hong Kong,HK,San Po Kong,elite,false,18.35,AS5065,Bunny Communications,4979.16,1784330131.019513
