protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,34.96.238.40,8080,Hong Kong,HK,Hong Kong,elite,true,23.7,AS396982,Google LLC,610.24,1784330200.4003904
http,183.178.50.58,8080,Hong Kong,HK,Kwai Chung,transparent,true,7.24,AS9269,Hong Kong Broadband Network Limited,9547.06,1784330171.7765048
http,47.239.140.6,80,Hong Kong,HK,Hong Kong,elite,true,53.19,AS45102,Alibaba Cloud LLC,602.56,1784330166.3493295
http,220.241.20.97,3129,Hong Kong,HK,Central,anonymous,true,23.56,AS4515,PCCW IMS Ltd (PCCW Business Internet Access),635.04,1784330160.869557
http,8.217.64.30,11080,Hong Kong,HK,Hong Kong,elite,true,41.86,AS45102,"Alibaba (US) Technology Co., Ltd.",720.57,1784330160.2949595
http,47.243.92.199,3128,Hong Kong,HK,Hong Kong,elite,true,84.67,AS45102,Alibaba Cloud LLC,612.01,1784330155.0189319
http,14.199.167.175,3128,Hong Kong,HK,Wong Tai Sin,transparent,true,31.6,AS9269,Hong Kong Broadband Network Limited,548.68,1784330146.1405025
http,103.167.61.162,3128,Hong Kong,HK,Mid Levels,elite,true,87.67,AS398704,Stacks Inc,12535.22,1784330140.7807488
http,47.242.243.198,2233,Hong Kong,HK,Hong Kong,elite,true,95.23,AS45102,Alibaba.com LLC,862.32,1784330135.26746
http,101.36.109.77,8118,Hong Kong,HK,Hong Kong,elite,true,94.71,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1949.38,1784330118.3227758
http,118.193.37.78,3128,Hong Kong,HK,Hong Kong,transparent,true,27.1,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,21192.28,1784330115.1845691
http,8.210.93.183,8213,Hong Kong,HK,Hong Kong,transparent,true,61.51,AS45102,Alibaba.com LLC,620.59,1784330114.6412144
http,47.238.203.170,50000,Hong Kong,HK,Hong Kong,elite,true,32.3,AS45102,Alibaba Cloud LLC,2340.86,1784330070.9652846
http,165.154.7.156,8888,Hong Kong,HK,Hong Kong,elite,true,54.38,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,883.89,1784330268.0819151
http,43.255.159.94,3129,Hong Kong,HK,Kwun Tong,elite,true,24.37,AS42960,VH Global Limited,11725.04,1784330254.4623723
http,129.226.127.245,18080,Hong Kong,HK,Hong Kong,elite,true,75.83,AS132203,Tencent Cloud Computing (Beijing) Co,630.11,1784330250.0801945
http,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,75.56,AS132203,Shenzhen Tencent Computer Systems Company Limited,1702.38,1784330243.9798303
http,20.2.221.52,3456,Hong Kong,HK,Hong Kong,transparent,true,18.07,AS8075,Microsoft Corporation,11492.96,1784330243.743216
http,103.43.191.71,8888,Hong Kong,HK,Kwai Chung,elite,true,95.92,AS139021,West263 International Limited,780.92,1784330209.9446576
http,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,70.99,AS401739,Yancy Limited,14898.07,1784330197.1794279
