protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,47.82.66.101,1011,Hong Kong,HK,Hong Kong,elite,true,61.46,AS45102,"Alibaba (US) Technology Co., Ltd.",3171.24,1784330217.2959375
socks5,47.86.234.70,9898,Hong Kong,HK,Hong Kong,elite,true,41.67,AS45102,Alibaba Cloud LLC,4504.12,1784330200.1377175
socks5,47.238.203.170,50000,Hong Kong,HK,Hong Kong,elite,true,52.3,AS45102,Alibaba Cloud LLC,2353.73,1784330196.3157947
socks5,8.217.84.233,1011,Hong Kong,HK,Hong Kong,elite,true,18.17,AS45102,"Alibaba (US) Technology Co., Ltd.",1218.48,1784330192.765863
socks5,119.28.64.217,58367,Hong Kong,HK,Hong Kong,elite,true,26.64,AS132203,ComsenzNet,1539.67,1784330190.873451
socks5,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,true,59.07,AS45102,Alibaba Cloud LLC,2547.08,1784330187.844219
socks5,119.28.13.138,1080,Hong Kong,HK,Hong Kong,elite,true,99.9,AS132203,ComsenzNet,1473.47,1784330179.7616727
socks5,34.150.27.141,20016,Hong Kong,HK,Hong Kong,elite,true,97.06,AS396982,Google LLC,11021.18,1784330179.3717277
socks5,47.57.242.244,5080,Hong Kong,HK,Hong Kong,elite,true,57.52,AS45102,"Alibaba (US) Technology Co., Ltd.",15405.8,1784330177.635667
socks5,47.238.60.156,8181,Hong Kong,HK,Hong Kong,elite,true,1.33,AS45102,Alibaba Cloud LLC,6377.25,1784330155.741479
socks5,172.81.111.156,10001,Hong Kong,HK,Hong Kong,elite,true,43.55,AS400618,Prime Security Corp.,776.25,1784330144.381435
socks5,47.238.60.156,1081,Hong Kong,HK,Hong Kong,elite,true,1.27,AS45102,Alibaba Cloud LLC,13640.04,1784330139.116788
socks5,47.86.42.224,1011,Hong Kong,HK,Hong Kong,elite,true,51.87,AS45102,Alibaba Cloud LLC,13339.71,1784330118.8128288
socks5,123.58.219.171,10808,Hong Kong,HK,Hong Kong,elite,true,53.77,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1227.38,1784330114.2027717
socks5,45.194.33.12,30001,Hong Kong,HK,Hong Kong,elite,true,99.38,AS138995,Antbox Network Limited,1601.83,1784330267.2901342
socks5,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,67.66,AS132203,Shenzhen Tencent Computer Systems Company Limited,12657.54,1784330251.502796
socks5,183.90.187.248,9050,Hong Kong,HK,Tseung Kwan O,elite,true,27.47,AS400619,Arosscloud Sdn. BHD,17327.29,1784330236.9321642
socks5,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,86.05,AS401739,Yancy Limited,13728.56,1784330222.3993096
socks5,45.125.32.64,5555,Hong Kong,HK,Mong Kok,elite,true,92.38,AS55933,Cloudie Limited,1814.76,1784330214.2875946
socks5,124.156.185.140,1080,Hong Kong,HK,Hong Kong,elite,true,99.9,AS132203,Tencent Cloud Computing (Beijing) Co,2143.51,1784330197.9545562
socks5,154.209.4.204,38080,Hong Kong,HK,Chai Wan,elite,true,22.35,AS142403,Yisu Cloud LTD,7211.45,1784330187.0654905
socks5,43.161.217.219,1080,Hong Kong,HK,Hong Kong,elite,true,99.98,AS132203,Aceville Pte.ltd,1439.7,1784330179.357385
