protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.168.44.215,3125,Indonesia,ID,South Jakarta,anonymous,true,7.77,AS142307,PT CYB Media Group,516.23,1784330214.5427008
http,103.189.249.140,1111,Indonesia,ID,Jatiroto,transparent,false,12.88,AS149888,PT Berkah Media Kusuma Vision,3873.54,1784330213.900391
http,8.215.3.250,19,Indonesia,ID,Jakarta,elite,false,0.97,AS45102,Alibaba Cloud (Singapore) Private Limited,9583.89,1784330213.4307075
http,121.101.129.131,8080,Indonesia,ID,Wonosobo,transparent,true,25.38,AS131706,PT SELARAS CITRA TERABIT,7873.44,1784330212.3723505
http,103.160.205.51,8080,Indonesia,ID,Pendaleman,transparent,true,29.99,AS141595,PRIME,1572.49,1784330211.3554075
http,103.173.162.61,8080,Indonesia,ID,Cangkuang,transparent,true,32.83,AS141077,Paket Data Andal,6491.41,1784330208.4559553
http,103.173.140.145,8080,Indonesia,ID,Kroya,transparent,false,18.58,AS58485,WIFIAN ID,478.77,1784330207.57292
http,103.125.36.120,8080,Indonesia,ID,South Tangerang,transparent,true,24.92,AS63859,PT. Eka Mas Republik,544.99,1784330205.2421396
http,103.184.67.115,8181,Indonesia,ID,Cisaat,transparent,false,17.52,AS149670,PT Siber Tech Indonesia,439.55,1784330202.639778
http,103.174.122.173,8085,Indonesia,ID,Sumedang,transparent,false,26.46,AS147096,PT Jaya Sejahtra Nugraha,5030.27,1784330200.3722367
http,103.169.255.205,8080,Indonesia,ID,Banyuwangi,elite,true,26.86,AS142370,PT Master Star Network,10448.11,1784330200.3318903
http,101.255.137.2,80,Indonesia,ID,Tangerang,elite,false,7.15,AS38511,PT Remala Abadi,3517.35,1784330200.1566784
http,101.255.209.158,8181,Indonesia,ID,Bekasi,transparent,false,41.33,AS38511,PT Remala Abadi,4433.37,1784330199.9598374
http,103.165.157.37,3125,Indonesia,ID,Taman,transparent,false,11.27,AS136873,MEGADATA-ISP,1530.07,1784330199.6798408
http,103.183.8.185,8080,Indonesia,ID,Jakarta,transparent,true,31.44,AS149404,PT Cepat Multi Data,7557.92,1784330198.2198927
http,112.78.141.79,9091,Indonesia,ID,Jakarta,transparent,false,26.18,AS38482,BIZNET,6392.67,1784330197.4585319
http,103.166.33.88,8080,Indonesia,ID,Pamotan,transparent,false,24.15,AS141929,PT Daniswara Citra Informatika,5327.38,1784330197.4500086
http,103.126.87.175,53934,Indonesia,ID,Trucuk,transparent,false,27.96,AS138109,PT. Rasi Bintang Perkasa,3569.91,1784330197.4257033
http,103.133.27.229,8080,Indonesia,ID,Bekasi,transparent,false,13.05,AS138130,PT PHATRIA INTI PERSADA,7618.12,1784330196.667846
http,103.178.88.102,8080,Indonesia,ID,Jakarta,transparent,false,10.9,AS138854,PT INTER MEDIALINK SOLUSI,9884.21,1784330196.2998817
http,103.18.77.69,1080,Indonesia,ID,Bogor,elite,false,45.59,AS55701,PT Usaha Adi Sanggoro,12708.72,1784330195.481176
http,36.94.185.122,60080,Indonesia,ID,East Jakarta,elite,true,5.55,AS7713,PT. Telekomunikasi Indonesia,5044.89,1784330195.4158225
http,103.133.25.119,8080,Indonesia,ID,Bekasi,transparent,false,11.96,AS138130,PT PHATRIA INTI PERSADA,468.19,1784330195.2534077
http,103.177.199.69,1111,Indonesia,ID,Lebaksiu,transparent,false,5.6,AS147113,PT Eyza Kausa Sinergi Abadi,8443.4,1784330194.3311908
http,192.188.80.38,3128,Indonesia,ID,Siak Sri Indrapura,transparent,false,36.46,AS154123,PT Rayunet Broadcast Solution,9447.2,1784330193.823944
http,103.177.8.119,10103,Indonesia,ID,Rengasdengklok,elite,false,29.65,AS147137,PT Helium Sinergi Telekomunikasi,5376.25,1784330193.3050978
http,103.153.149.18,8181,Indonesia,ID,Kendal,transparent,false,23.6,AS64300,JARINGANKU,5764.65,1784330192.9527788
http,103.170.22.145,8080,Indonesia,ID,Banyumas,transparent,false,21.73,AS141123,PT Puskomedia Indonesia Kreatif,503.78,1784330192.3580673
http,114.141.54.221,8080,Indonesia,ID,Bekasi,transparent,false,12.53,AS38771,PT Cyberplus Media Pratama,1506.19,1784330192.0754383
http,103.203.233.162,8080,Indonesia,ID,Malang,transparent,false,26.54,AS151600,PT Inti Data Guna,5808.14,1784330191.7479389
http,103.15.214.225,8080,Indonesia,ID,Gresik,anonymous,true,24.72,AS135477,PT. Java Digital Nusantara,521.14,1784330191.5758502
http,103.144.18.33,9000,Indonesia,ID,Bondowoso,transparent,true,28.58,AS139418,PT Gasatek Bintang Nusantara,645.88,1784330191.2598875
http,103.155.167.237,8080,Indonesia,ID,Oganlima,elite,false,6.62,AS141064,PT Network Lintas Fiberindo,8641.81,1784330190.931167
http,103.175.202.163,8090,Indonesia,ID,Loklaga,transparent,false,12.4,AS147118,PT Ameera Mega Buana,3029.93,1784330190.8995752
http,103.153.63.150,8080,Indonesia,ID,Temanggung,transparent,true,11.15,AS140457,PT Ikhlas Cipta Teknologi,18243.98,1784330190.3738668
http,103.126.87.82,8084,Indonesia,ID,Trucuk,transparent,true,32.77,AS138109,PT. Rasi Bintang Perkasa,568.93,1784330189.5744398
http,103.210.35.183,8080,Indonesia,ID,Yogyakarta,anonymous,false,8.42,AS59151,Diskominfo DIY,10381.93,1784330189.1924832
http,103.173.141.10,8080,Indonesia,ID,Ngawi,transparent,false,10.64,AS58485,DIAZANETWORKS,536.54,1784330188.9317944
http,103.153.62.155,8080,Indonesia,ID,Batang,transparent,true,10.31,AS140457,PT Ikhlas Cipta Teknologi,3515.14,1784330188.1639836
http,103.181.255.105,8080,Indonesia,ID,Kunden,transparent,false,15.86,AS141145,PT Giga Digital Nusantara,3507.3,1784330187.9812336
http,103.13.204.84,8082,Indonesia,ID,Guyangan,transparent,false,22.0,AS64300,PT JARINGANKU SARANA NUSANTARA,11199.73,1784330187.4038537
http,103.119.67.27,8080,Indonesia,ID,Bekasi,transparent,false,22.68,AS63859,MYREPUBLIC,9038.02,1784330187.2909768
http,103.159.195.193,3125,Indonesia,ID,Rogotrunan,transparent,false,25.44,AS141145,PT Giga Digital Nusantara,12855.29,1784330186.8930724
http,103.156.15.103,3125,Indonesia,ID,Cilegon,transparent,false,26.48,AS58821,PT Lintas Jaringan Nusantara,7694.37,1784330186.851826
http,103.155.168.157,8299,Indonesia,ID,Karawang,transparent,false,8.24,AS141065,PT Arozak Bima Yudho Sangkara,1492.42,1784330186.844266
http,103.18.78.37,3125,Indonesia,ID,Bogor,transparent,false,9.27,AS55701,PT Usaha Adi Sanggoro,7409.64,1784330186.6759043
http,36.50.56.146,8080,Indonesia,ID,Caringin,transparent,false,33.94,AS152029,PT Andromega Data Nusantara,7596.67,1784330186.2118688
http,103.247.21.83,8446,Indonesia,ID,Bekasi,transparent,false,20.96,AS58485,PT wifian Solution,7549.17,1784330185.407223
http,121.101.131.102,8080,Indonesia,ID,Wonosobo,transparent,true,22.47,AS131706,PT SELARAS CITRA TERABIT,1567.61,1784330185.3324487
http,36.92.61.75,8080,Indonesia,ID,Jakarta,transparent,false,29.07,AS7713,Telekomunikasi Indonesia,13628.64,1784330184.7358918
http,103.156.17.161,8818,Indonesia,ID,Jatibarang,transparent,true,25.8,AS141077,RSTNET,486.96,1784330184.6439815
http,103.177.176.62,8080,Indonesia,ID,Tangerang,transparent,false,7.67,AS141898,PT Milenial Inti Telekomunikasi,3126.81,1784330184.5798519
http,36.95.169.154,8080,Indonesia,ID,South Tangerang,transparent,false,12.57,AS7713,PT. Telekomunikasi Indonesia,1589.62,1784330184.3573334
http,36.67.194.162,8042,Indonesia,ID,West Jakarta,transparent,false,7.81,AS7713,PT. Telekomunikasi Indonesia,3347.64,1784330184.339815
http,103.154.230.33,3125,Indonesia,ID,Lamongan,transparent,false,5.43,AS136121,DIGITNET,11384.07,1784330183.4442286
http,103.145.146.3,3125,Indonesia,ID,Pekanbaru,transparent,false,2.71,AS140008,PT INTI MEDIA TEKNOLOGI,11255.11,1784330182.95572
http,101.255.209.93,8090,Indonesia,ID,Bekasi,transparent,false,21.02,AS38511,PT Remala Abadi,4893.63,1784330182.8688066
http,103.175.240.42,3128,Indonesia,ID,Comal,transparent,false,26.59,AS45305,LDP,574.35,1784330182.5358489
http,103.165.151.22,1111,Indonesia,ID,Bengkalis,transparent,false,37.81,AS141922,PT Agsa Global Network,3455.14,1784330182.2775693
http,113.192.12.4,3333,Indonesia,ID,Cikarang,transparent,true,38.05,AS58495,PT Parsaoran Global Datatrans,1467.78,1784330181.9008029
http,103.156.17.232,8818,Indonesia,ID,Jatibarang,transparent,true,37.71,AS141077,RSTNET,3509.7,1784330180.0559018
http,180.211.93.104,8080,Indonesia,ID,Bekasi,anonymous,false,36.31,AS45725,"Kings Network Indonesia, PT",1700.54,1784330179.951408
http,103.165.128.171,8080,Indonesia,ID,Jakarta,transparent,false,11.73,AS17995,PT iForte Global Internet,4524.33,1784330179.574065
http,103.188.168.69,8082,Indonesia,ID,Banjar Tandangbuanasari,transparent,false,19.31,AS149725,PT Lintas Jaringan Nusantara,1554.81,1784330179.3526917
http,103.147.247.169,8080,Indonesia,ID,Sepatan,transparent,false,30.06,AS139972,PLBNET,7810.88,1784330179.3434138
