protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,103.153.40.194,4145,Indonesia,ID,Bekasi,elite,true,21.3,AS140454,Persada Nayaka Infotama,855.82,1784330216.962316
socks4,103.172.71.204,1080,Indonesia,ID,Karawang,elite,true,49.59,AS142386,AZNET,8064.36,1784330214.3894112
socks4,103.101.218.113,8080,Indonesia,ID,Krajan,elite,true,17.76,AS142347,PT Sarana Media Cemerlang,1963.09,1784330211.25617
socks4,103.102.141.39,4145,Indonesia,ID,Jakarta,elite,true,16.35,AS136854,PT. PALAPA RING BARAT,3914.58,1784330199.3995569
socks4,103.146.185.81,1081,Indonesia,ID,Wonogiri,elite,true,23.21,AS139967,YAMNET,927.71,1784330196.93139
socks4,222.165.234.147,52667,Indonesia,ID,West Jakarta,elite,true,12.97,AS24207,PT NettoCyber Indonesia,1883.53,1784330194.0361474
socks4,115.85.86.114,5678,Indonesia,ID,Jakarta,elite,true,16.62,AS23953,Sudirman Central Business District,1869.93,1784330188.1802776
socks4,36.95.235.18,3629,Indonesia,ID,South Tangerang,elite,true,3.88,AS7713,PT. Telekomunikasi Indonesia,8213.19,1784330182.78398
socks4,103.169.189.155,36473,Indonesia,ID,Ponorogo,elite,true,78.51,AS142347,Sarana Media Cemerlang,960.67,1784330177.6006937
socks4,43.248.27.11,54730,Indonesia,ID,Jakarta,elite,true,15.76,AS18103,Neuviz,1994.7,1784330175.0979643
socks4,103.169.188.14,8080,Indonesia,ID,Sumbertimo,elite,true,16.99,AS142347,Sarana Media Cemerlang,954.09,1784330173.2839031
socks4,203.174.15.83,36439,Indonesia,ID,Jakarta,elite,true,64.09,AS24523,PT Orion Cyber Internet,2121.65,1784330268.3088753
socks4,203.77.239.219,50574,Indonesia,ID,Bekasi,elite,true,46.12,AS9228,PT. Total Info Kharisma,8137.74,1784330266.715554
socks4,157.10.97.83,2021,Indonesia,ID,Palembang,elite,true,45.11,AS58821,PT Lintas Jaringan Nusantara,949.27,1784330253.8037846
socks4,203.160.61.103,4145,Indonesia,ID,Jakarta,elite,true,3.48,AS24527,PT Hanastar dakara,1873.33,1784330232.5794213
