protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,139.59.59.122,8118,India,IN,Bengaluru,elite,true,22.51,AS14061,"DigitalOcean, LLC",1189.14,1784330198.8750422
http,140.245.238.56,53,India,IN,Hyderabad,elite,true,56.63,AS31898,Oracle Corporation,5717.43,1784330197.649306
http,143.244.140.119,3128,India,IN,Bengaluru,transparent,true,8.27,AS14061,"DigitalOcean, LLC",8766.64,1784330191.3106666
http,103.227.210.95,8443,India,IN,Bengaluru,elite,true,99.52,AS44259,"Ultahost, Inc.",325.86,1784330170.9007952
http,35.207.215.39,8899,India,IN,Mumbai,anonymous,true,6.13,AS15169,Google LLC,543.24,1784330167.1907656
http,103.135.189.146,83,India,IN,Manapparai,transparent,true,36.04,AS138782,Swibi Airnet Broadband Services Pvt Ltd,3600.79,1784330166.3852932
http,111.92.88.27,3128,India,IN,Kochi,transparent,true,59.85,AS17465,Asianet Satellite Communications Pvt Ltd,5132.88,1784330156.4569755
http,117.236.124.166,3128,India,IN,Gandhinagar,elite,true,81.53,AS9829,BSNL Internet,357.72,1784330154.9030118
http,103.138.185.81,83,India,IN,Rāwatbhāta,transparent,true,13.0,AS138772,Mahrth Internet Service Private Limited,2517.86,1784330149.084057
http,103.174.145.46,82,India,IN,Gandhinagar,transparent,true,2.6,AS147195,Vaidik Netsol OPC PVT LTD,618.87,1784330147.8250804
http,3.111.120.235,3128,India,IN,Mumbai,transparent,true,71.33,AS16509,Amazon Technologies Inc.,1768.28,1784330136.6740787
http,103.48.68.126,83,India,IN,Hyderabad,transparent,true,9.86,AS136290,Country Online Services PVT LTD,2060.92,1784330258.3994691
http,45.127.56.194,83,India,IN,Hyderabad,transparent,true,6.05,AS150008,Pioneer Elabs Ltd,1840.55,1784330254.2503262
http,164.52.194.17,8002,India,IN,Noida,transparent,true,70.54,AS132420,E2E Networks Limited,7280.4,1784330249.85398
http,103.230.150.58,8080,India,IN,Ulhasnagar,transparent,true,23.06,AS133720,Zess Networks Private Limited,1340.84,1784330249.4529588
http,103.177.235.194,84,India,IN,Bengaluru,transparent,true,10.15,AS141329,Coastal Live Channel,2865.61,1784330243.2281303
http,103.177.235.194,82,India,IN,Bengaluru,transparent,true,7.34,AS141329,Coastal Live Channel,7071.44,1784330220.4740844
http,103.41.97.225,83,India,IN,Hyderabad,transparent,true,37.69,AS150008,Pioneer Elabs Ltd.,2471.72,1784330216.2534413
http,103.49.166.193,84,India,IN,Pune,transparent,true,13.83,AS150572,Nettvox Private Limited,14910.47,1784330208.3438182
http,103.74.146.1,83,India,IN,New Delhi,transparent,true,13.78,AS58965,Airmax Internet Private Limited,1704.88,1784330132.6178734
