protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,5.200.72.62,3128,Iran,IR,Vaḩīdīyeh,elite,false,50.51,AS24631,Bahar Samaneh Shargh,352.61,1784330215.0462527
http,178.252.171.226,8080,Iran,IR,Tehran,transparent,true,29.5,AS51074,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock),4167.32,1784330199.7037942
http,46.209.15.187,8080,Iran,IR,Tehran,transparent,false,21.17,AS42337,Respina Networks & Beyond PJSC,1701.88,1784330196.4192724
http,185.208.175.194,8090,Iran,IR,Tehran,elite,true,85.3,AS60631,Pars Parva System Ltd,1726.52,1784330193.1295686
http,81.90.144.170,9000,Iran,IR,Tehran,transparent,false,37.12,AS25184,Afranet Co,12397.19,1784330191.3223748
http,85.133.162.66,10808,Iran,IR,Isfahan,elite,false,56.58,AS204834,Shabakieh Isfahan Co PJSC,437.7,1784330183.8294182
http,195.158.230.93,10808,Iran,IR,Isfahan,elite,false,53.44,AS49556,Web Dadeh Paydar Co (Ltd),8265.74,1784330181.7192888
http,85.9.87.26,8080,Iran,IR,Tehran,transparent,false,18.94,AS47376,Web Gostaran Bandar Company,10533.4,1784330173.121578
http,81.12.70.99,8080,Iran,IR,Tajrīsh,transparent,false,28.69,AS42337,Respina Networks & Beyond PJSC,2158.92,1784330147.9958973
http,2.188.210.83,4443,Iran,IR,Tabriz,elite,true,52.96,AS42337,Respina Networks & Beyond PJSC,1380.52,1784330140.951764
http,79.175.188.203,443,Iran,IR,Tehran,elite,true,26.15,AS25184,AFranet Co,14760.05,1784330119.532091
http,185.214.39.2,9944,Iran,IR,Shiraz,transparent,false,56.82,AS48944,Khalij Fars Ettela Resan LTD,1851.99,1784330111.9766307
http,185.212.195.34,8085,Iran,IR,Tehran,elite,false,82.7,AS48359,HESABGAR-T,657.42,1784330084.4230366
http,31.25.92.114,8080,Iran,IR,Mashhad,transparent,false,20.52,AS202391,Cooperative Afra ertebatat-e-sabet-e Rasa Co,10348.57,1784330081.018204
http,5.202.52.103,6220,Iran,IR,Tehran,transparent,false,54.4,AS49100,PTE Network,2347.73,1784330059.8198657
http,185.60.59.245,10808,Iran,IR,Meshkīn Dasht,elite,false,39.57,AS216054,Taymaz Gostaran Naghshe Almas Co. ( Ltd ),256.47,1784330033.0485628
http,84.241.29.213,8080,Iran,IR,Tehran,elite,false,39.28,AS31549,SHATEL Network,5266.4,1784330025.2921247
http,185.140.232.54,8080,Iran,IR,Shiraz,transparent,false,13.49,AS43395,Pooya Parto Qeshm Cooperative Company,4227.3,1784330210.7720451
http,185.129.213.210,8080,Iran,IR,Tehran,transparent,false,27.66,AS49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),3462.63,1784330117.7246182
http,87.107.184.182,8080,Iran,IR,Tehran,elite,true,36.37,AS42337,Respina Networks & Beyond PJSC,11788.95,1784330090.437614
