protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,2.115.212.62,48293,Italy,IT,Furnari,elite,true,48.58,AS3269,Telecom Italia S.p.A,2521.53,1784330194.8196177
http,93.55.126.184,8080,Italy,IT,Marsala,transparent,false,34.23,AS12874,Fastweb Networks,11682.8,1784330169.8606033
http,87.121.148.126,49200,Italy,IT,Palazzago,elite,false,68.76,AS210218,Open Fiber S.P.A.,75.26,1784330137.790915
http,188.217.172.202,8080,Italy,IT,Altamura,transparent,false,40.11,AS30722,VODAFONE,14034.65,1784330126.6779292
socks4,149.62.186.244,1080,Italy,IT,Milan,elite,true,87.13,AS47242,Host SpA,829.96,1784330275.846647
socks5,149.62.186.244,1080,Italy,IT,Milan,elite,true,85.59,AS47242,Host SpA,890.93,1784330275.7367702
http,93.187.26.134,58080,Italy,IT,Siena,transparent,true,31.67,AS43960,Consorzio Terrecablate,7449.38,1784330262.3142393
http,185.191.106.0,8081,Italy,IT,Milan,transparent,false,23.34,AS44092,Mywic Costumers,9276.05,1784330174.820968
http,212.77.75.25,3129,Italy,IT,Empoli,elite,true,29.03,AS15691,Leonet srl Empoli,4923.21,1784330265.6522467
socks5,212.77.75.25,1088,Italy,IT,Empoli,elite,true,99.87,AS15691,Leonet srl Empoli,193.96,1784330246.3986588
