protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,34.84.162.206,38081,Japan,JP,Tokyo,elite,true,73.12,AS396982,Google LLC,1473.81,1784330210.9183426
socks4,8.216.32.38,1080,Japan,JP,Tokyo,elite,true,89.27,AS45102,"Alibaba (US) Technology Co., Ltd.",1001.78,1784330210.3203356
socks5,193.111.30.139,2080,Japan,JP,Tokyo,elite,true,88.05,AS3258,xTom Japan Corporation,1782.37,1784330208.073971
socks5,8.216.32.38,1080,Japan,JP,Tokyo,elite,true,88.12,AS45102,"Alibaba (US) Technology Co., Ltd.",1229.33,1784330205.7481267
http,180.34.117.197,8080,Japan,JP,Yokohama,transparent,true,96.24,AS4713,NTT Communications Corporation,994.08,1784330205.0526335
socks5,101.36.104.239,10808,Japan,JP,Tokyo,elite,true,67.18,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1534.98,1784330204.704608
http,34.84.162.206,38080,Japan,JP,Tokyo,elite,false,45.16,AS396982,Google LLC,3237.22,1784330203.8978028
socks4,31.57.172.220,10808,Japan,JP,Tokyo,elite,true,44.8,AS212336,ByteVirt LLC,18947.68,1784330203.8210764
socks5,140.238.43.53,54322,Japan,JP,Tokyo,elite,true,28.48,AS31898,Oracle Corporation,4372.34,1784330201.7236269
socks5,47.74.24.121,1080,Japan,JP,Tokyo,elite,true,91.22,AS45102,Alibaba Cloud LLC,5225.58,1784330199.6089141
socks4,64.176.44.31,7890,Japan,JP,Osaka,elite,true,45.73,AS20473,The Constant Company,4999.0,1784330197.795758
socks5,138.3.218.141,54261,Japan,JP,Tokyo,elite,true,31.66,AS31898,Oracle Corporation,12125.72,1784330195.710356
socks5,101.36.104.46,10808,Japan,JP,Tokyo,elite,true,60.1,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2144.36,1784330182.5904553
socks4,45.76.223.103,1080,Japan,JP,Minamishinagawa,elite,true,33.36,AS20473,The Constant Company,1726.86,1784330178.4445405
http,5.104.81.13,8118,Japan,JP,Chiyoda City,elite,false,18.82,AS141995,Contabo Asia Private Limited,8081.86,1784330161.4563618
http,140.238.32.108,3128,Japan,JP,Tokyo,elite,true,87.42,AS31898,Oracle Corporation,11781.46,1784330122.4827073
http,140.227.202.251,3128,Japan,JP,Hyakuninchō,elite,false,37.4,AS2514,InfoSphere,1760.55,1784330117.8201394
http,61.118.38.234,60808,Japan,JP,Honchō,elite,false,7.96,AS4713,Open Computer Network,9268.94,1784330104.3679097
http,140.245.85.78,3128,Japan,JP,Tokyo,transparent,false,4.3,AS31898,Oracle Corporation,10878.11,1784330017.6300426
socks4,64.176.44.31,1080,Japan,JP,Osaka,elite,true,49.07,AS20473,The Constant Company,1914.11,1784330267.257297
socks5,152.32.203.130,10808,Japan,JP,Tokyo,elite,true,94.43,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,5601.48,1784330265.1904483
socks4,38.54.51.14,30001,Japan,JP,Tokyo,elite,true,87.44,AS138915,Kaopu Cloud HK Limited,10463.58,1784330265.1851985
http,168.138.202.218,3128,Japan,JP,Tokyo,transparent,true,12.47,AS31898,Oracle Corporation,837.64,1784330261.7703953
socks5,38.54.51.14,30001,Japan,JP,Tokyo,elite,true,88.9,AS138915,Kaopu Cloud HK Limited,12731.38,1784330242.742245
http,158.101.89.163,3123,Japan,JP,Tokyo,transparent,true,17.68,AS31898,Oracle Corporation,6571.68,1784330242.4231277
socks5,156.225.20.83,1080,Japan,JP,Chiyoda City,elite,true,95.92,AS401696,Vapeline Technology,5617.11,1784330242.2783782
socks5,64.176.44.31,7890,Japan,JP,Osaka,elite,true,39.68,AS20473,The Constant Company,7616.45,1784330206.8800635
socks5,132.226.7.23,30277,Japan,JP,Tokyo,elite,true,46.88,AS31898,Oracle Corporation,19189.09,1784330200.3063536
http,160.251.171.151,8080,Japan,JP,Chiyoda City,transparent,false,20.88,AS58791,"GMO Internet, Inc",12019.23,1784330188.6273613
socks5,168.138.210.69,1080,Japan,JP,Tokyo,elite,true,74.11,AS31898,Oracle Corporation,1887.72,1784330178.91227
socks5,152.69.205.252,1021,Japan,JP,Osaka,elite,true,32.37,AS31898,Oracle Corporation,14599.58,1784330153.3490853
http,40.81.205.181,1080,Japan,JP,Tokyo,transparent,true,99.23,AS8075,Microsoft Corporation,770.85,1784330153.246233
http,133.232.90.85,80,Japan,JP,Chiyoda City,elite,false,5.86,AS2514,"NTT PC Communications, Inc.",12037.91,1784330115.559934
