protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,34.84.162.206,38081,Japan,JP,Tokyo,elite,true,73.12,AS396982,Google LLC,1473.81,1784330210.9183426
socks5,193.111.30.139,2080,Japan,JP,Tokyo,elite,true,88.05,AS3258,xTom Japan Corporation,1782.37,1784330208.073971
socks5,8.216.32.38,1080,Japan,JP,Tokyo,elite,true,88.12,AS45102,"Alibaba (US) Technology Co., Ltd.",1229.33,1784330205.7481267
socks5,101.36.104.239,10808,Japan,JP,Tokyo,elite,true,67.18,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1534.98,1784330204.704608
socks5,140.238.43.53,54322,Japan,JP,Tokyo,elite,true,28.48,AS31898,Oracle Corporation,4372.34,1784330201.7236269
socks5,47.74.24.121,1080,Japan,JP,Tokyo,elite,true,91.22,AS45102,Alibaba Cloud LLC,5225.58,1784330199.6089141
socks5,138.3.218.141,54261,Japan,JP,Tokyo,elite,true,31.66,AS31898,Oracle Corporation,12125.72,1784330195.710356
socks5,101.36.104.46,10808,Japan,JP,Tokyo,elite,true,60.1,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2144.36,1784330182.5904553
socks5,152.32.203.130,10808,Japan,JP,Tokyo,elite,true,94.43,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,5601.48,1784330265.1904483
socks5,38.54.51.14,30001,Japan,JP,Tokyo,elite,true,88.9,AS138915,Kaopu Cloud HK Limited,12731.38,1784330242.742245
socks5,156.225.20.83,1080,Japan,JP,Chiyoda City,elite,true,95.92,AS401696,Vapeline Technology,5617.11,1784330242.2783782
socks5,64.176.44.31,7890,Japan,JP,Osaka,elite,true,39.68,AS20473,The Constant Company,7616.45,1784330206.8800635
socks5,132.226.7.23,30277,Japan,JP,Tokyo,elite,true,46.88,AS31898,Oracle Corporation,19189.09,1784330200.3063536
socks5,168.138.210.69,1080,Japan,JP,Tokyo,elite,true,74.11,AS31898,Oracle Corporation,1887.72,1784330178.91227
socks5,152.69.205.252,1021,Japan,JP,Osaka,elite,true,32.37,AS31898,Oracle Corporation,14599.58,1784330153.3490853
