protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,219.249.37.107,8380,South Korea,KR,Buk-gu,elite,false,77.37,AS9318,SK Broadband Co Ltd,801.74,1784330217.859149
http,1.231.81.166,3128,South Korea,KR,Jongno-gu,transparent,true,95.66,AS9318,SK Broadband Co Ltd,840.28,1784330199.2577121
http,8.213.151.128,3128,South Korea,KR,Seoul,elite,true,91.56,AS45102,"Alibaba (US) Technology Co., Ltd.",771.39,1784330195.9418204
http,183.110.216.159,8091,South Korea,KR,Seongnam-si,anonymous,false,59.13,AS4766,Korea Telecom,2062.0,1784330190.3318515
http,8.220.204.92,55443,South Korea,KR,Seoul,elite,false,1.3,AS45102,"Alibaba (US) Technology Co., Ltd.",5587.26,1784330173.9813843
http,8.220.204.92,8081,South Korea,KR,Seoul,elite,false,0.86,AS45102,"Alibaba (US) Technology Co., Ltd.",9601.24,1784330171.3765993
http,8.220.204.92,8080,South Korea,KR,Seoul,elite,false,0.82,AS45102,"Alibaba (US) Technology Co., Ltd.",9687.52,1784330171.343153
http,14.53.55.217,3128,South Korea,KR,Uijeongbu-si,elite,true,34.36,AS4766,Korea Telecom,3021.18,1784330169.571515
http,58.180.17.51,3128,South Korea,KR,Gwacheon-si,transparent,false,94.92,AS4670,Shinbiro,3776.22,1784330160.3522487
http,183.110.216.128,8091,South Korea,KR,Seongnam-si,anonymous,false,59.02,AS4766,Korea Telecom,2096.63,1784330143.503904
http,175.194.173.105,3128,South Korea,KR,Goyang-si,elite,true,15.76,AS4766,Korea Telecom,14316.91,1784330141.3853838
http,47.80.60.84,3128,South Korea,KR,Seoul,transparent,false,34.23,AS45102,Alibaba.com LLC,10900.65,1784330141.2680168
http,112.186.12.207,3128,South Korea,KR,Yongin-si,transparent,false,15.66,AS4766,Korea Telecom,18968.56,1784330132.7903345
http,140.245.66.105,8081,South Korea,KR,Chuncheon,transparent,false,11.43,AS31898,Oracle Corporation,12934.58,1784330128.5320778
http,219.249.37.107,8197,South Korea,KR,Buk-gu,elite,false,75.9,AS9318,SK Broadband Co Ltd,795.96,1784330098.7922726
http,219.249.37.107,8382,South Korea,KR,Buk-gu,elite,false,51.87,AS9318,SK Broadband Co Ltd,797.46,1784330028.911247
http,8.220.216.57,3128,South Korea,KR,Seoul,elite,false,28.36,AS45102,"Alibaba (US) Technology Co., Ltd.",12596.22,1784330028.6405337
http,106.10.55.212,1121,South Korea,KR,Seongnam-si,transparent,true,35.45,AS135354,Naver Business Platform Asia Pacific Pte. Ltd.,7925.86,1784330251.309746
http,43.131.224.66,80,South Korea,KR,Seoul,transparent,true,46.13,AS132203,Shenzhen Tencent Computer Systems Company Limited,5585.56,1784330241.7246757
http,168.126.169.198,808,South Korea,KR,Yongin-si,transparent,true,65.0,AS4766,Korea Telecom,9146.75,1784330204.8062773
http,183.110.216.128,8090,South Korea,KR,Seongnam-si,anonymous,false,59.04,AS4766,Korea Telecom,4078.72,1784330201.5509064
http,43.164.129.36,3128,South Korea,KR,Seoul,elite,false,30.72,AS132203,Shenzhen Tencent Computer Systems Company Limited,12548.48,1784330195.794619
http,43.155.222.216,3128,South Korea,KR,Seoul,elite,true,24.09,AS132203,Shenzhen Tencent Computer Systems Company Limited,10815.11,1784330167.6746213
http,211.188.65.185,80,South Korea,KR,Seongnam-si,elite,true,10.26,AS135354,NBP,660.65,1784330269.3624613
