protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,94.74.66.91,7890,Mexico,MX,Ciudad De México,elite,true,91.43,AS136907,Huawei International Pte. LTD,796.19,1784330221.532747
socks4,189.202.204.53,1080,Mexico,MX,San Luis Potosí City,elite,true,67.37,AS18734,"Operbes, S.A. de C.V.",7897.81,1784330211.8123624
http,189.137.80.194,8080,Mexico,MX,Toluca,transparent,true,38.69,AS8151,UNINET,3547.31,1784330198.7040143
http,189.193.225.86,999,Mexico,MX,Santo Domingo Tehuantepec,transparent,false,24.95,AS13999,"Mega Cable, S.A. de C.V.",4484.61,1784330195.9400752
http,177.240.3.194,999,Mexico,MX,San Francisco Ixhuatan,transparent,false,12.94,AS13999,"Mega Cable, S.A. de C.V.",551.85,1784330193.4867892
http,189.203.181.34,8080,Mexico,MX,Cuauhtémoc,transparent,false,7.15,AS22884,Total Play Telecomunicaciones SA De CV,4341.08,1784330192.32443
http,187.190.58.152,8081,Mexico,MX,Mazatlán,transparent,true,17.67,AS22884,Total Play Telecomunicaciones SA De CV,7619.72,1784330192.0780325
http,201.159.99.193,8081,Mexico,MX,General Escobedo,transparent,false,7.1,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,11029.61,1784330189.9144456
http,187.251.224.167,80,Mexico,MX,León,transparent,false,16.57,AS22884,Total Play Telecomunicaciones SA De CV,3573.17,1784330187.2900236
http,187.188.15.249,8080,Mexico,MX,Benito Juarez,transparent,false,12.45,AS22884,Total Play Telecomunicaciones SA De CV,1533.76,1784330185.2479267
http,189.51.170.74,999,Mexico,MX,Mérida,transparent,true,30.25,AS270111,Comunicación por Fibra SA de CV,7627.45,1784330175.7159443
http,189.238.243.22,6000,Mexico,MX,Centro,elite,true,39.45,AS8151,Uninet S.A. de C.V.,601.17,1784330170.8475542
http,38.123.220.105,999,Mexico,MX,San Francisco de Guzmán,transparent,false,20.12,AS174,Cogent Communications,480.98,1784330170.4016423
http,38.210.201.144,999,Mexico,MX,Villa García,transparent,true,19.97,AS273250,Soluciones de Tecnologia Jah sa de Cv,7513.06,1784330169.5319877
http,38.123.220.152,999,Mexico,MX,Ejido de Santa María Nativitas,transparent,true,38.74,AS174,Cogent Communications,4692.5,1784330167.79877
http,38.224.221.34,999,Mexico,MX,Paraiso,transparent,false,17.28,AS28435,Cogent Communications,1502.09,1784330163.4375288
http,187.190.58.124,8080,Mexico,MX,Ahome,transparent,false,30.61,AS22884,Total Play Telecomunicaciones SA De CV,6760.8,1784330161.272069
http,187.243.251.254,999,Mexico,MX,Ahome,transparent,false,27.13,AS13999,"Mega Cable, S.A. de C.V.",12206.98,1784330159.2566235
http,189.51.170.70,999,Mexico,MX,Mérida,transparent,true,31.66,AS270111,Comunicación por Fibra SA de CV,1996.51,1784330156.343867
http,187.251.230.15,8080,Mexico,MX,Dos Ríos,transparent,true,13.34,AS22884,Total Play Telecomunicaciones SA De CV,503.87,1784330154.108618
http,187.245.214.8,999,Mexico,MX,Las Margaritas,transparent,false,36.66,AS13999,"Mega Cable, S.A. de C.V.",8842.34,1784330149.98002
http,187.190.58.152,80,Mexico,MX,Mazatlán,transparent,true,17.63,AS22884,Total Play Telecomunicaciones SA De CV,7781.02,1784330146.3425024
http,38.7.16.194,999,Mexico,MX,Lázaro Cárdenas,transparent,false,18.41,AS28398,Internet Telefonia Y TV De Michoacan SA De CV,3172.41,1784330145.5912116
http,38.19.36.56,999,Mexico,MX,Pánuco,transparent,false,40.73,AS265525,TV CABLE DEL GUADIANA S.A DE C.V.,9137.36,1784330143.4358037
http,38.19.111.74,8080,Mexico,MX,Tehuacán,transparent,false,44.75,AS273300,Tecnologias FEM S.a.s De C.V,1574.42,1784330132.25985
http,38.123.220.194,999,Mexico,MX,Santa Cruz,transparent,false,19.35,AS174,Cogent Communications,4052.53,1784330125.6195185
http,38.19.36.86,999,Mexico,MX,Pánuco,transparent,false,33.7,AS265525,TV CABLE DEL GUADIANA S.A DE C.V.,6503.07,1784330124.687782
http,201.159.111.121,8081,Mexico,MX,General Escobedo,transparent,false,16.87,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,1406.82,1784330121.3049495
http,38.123.220.175,999,Mexico,MX,San Francisco de Guzmán,transparent,true,25.42,AS174,Cogent Communications,718.84,1784330104.5878892
