protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,189.137.80.194,8080,Mexico,MX,Toluca,transparent,true,38.69,AS8151,UNINET,3547.31,1784330198.7040143
http,187.190.58.152,8081,Mexico,MX,Mazatlán,transparent,true,17.67,AS22884,Total Play Telecomunicaciones SA De CV,7619.72,1784330192.0780325
http,189.51.170.74,999,Mexico,MX,Mérida,transparent,true,30.25,AS270111,Comunicación por Fibra SA de CV,7627.45,1784330175.7159443
http,189.238.243.22,6000,Mexico,MX,Centro,elite,true,39.45,AS8151,Uninet S.A. de C.V.,601.17,1784330170.8475542
http,38.210.201.144,999,Mexico,MX,Villa García,transparent,true,19.97,AS273250,Soluciones de Tecnologia Jah sa de Cv,7513.06,1784330169.5319877
http,38.123.220.152,999,Mexico,MX,Ejido de Santa María Nativitas,transparent,true,38.74,AS174,Cogent Communications,4692.5,1784330167.79877
http,189.51.170.70,999,Mexico,MX,Mérida,transparent,true,31.66,AS270111,Comunicación por Fibra SA de CV,1996.51,1784330156.343867
http,187.251.230.15,8080,Mexico,MX,Dos Ríos,transparent,true,13.34,AS22884,Total Play Telecomunicaciones SA De CV,503.87,1784330154.108618
http,187.190.58.152,80,Mexico,MX,Mazatlán,transparent,true,17.63,AS22884,Total Play Telecomunicaciones SA De CV,7781.02,1784330146.3425024
http,38.123.220.175,999,Mexico,MX,San Francisco de Guzmán,transparent,true,25.42,AS174,Cogent Communications,718.84,1784330104.5878892
http,38.65.174.107,999,Mexico,MX,Amealco de Bonfil,transparent,true,15.84,AS270158,Wantelco SAS de CV,4857.92,1784330096.3371575
http,38.49.142.174,999,Mexico,MX,Noria de Camarena,transparent,true,20.23,AS28458,IENTC S de RL de CV,2525.7,1784330269.4461699
http,147.78.1.53,8081,Mexico,MX,Mexico City,transparent,true,87.82,AS136258,ONEPROVIDER,4962.55,1784330261.5132418
http,45.174.108.141,999,Mexico,MX,Texcalyacac,transparent,true,49.86,AS265574,Iptvtel Comunicaciones S De RL De CV,9280.84,1784330257.5946684
http,201.46.85.20,8080,Mexico,MX,Culiacán,anonymous,true,38.31,AS265621,Comunicacion Digital De Sinaloa SA De CV,1996.3,1784330257.0756853
http,45.174.168.3,999,Mexico,MX,Tulancingo,transparent,true,15.64,AS265579,Telecomunicaciones Otomies,887.89,1784330256.642085
http,201.159.102.17,8081,Mexico,MX,General Escobedo,transparent,true,7.88,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,9004.54,1784330251.2194817
http,45.174.108.142,999,Mexico,MX,Texcalyacac,transparent,true,42.65,AS265574,Iptvtel Comunicaciones S De RL De CV,3572.77,1784330231.349453
http,45.174.168.44,999,Mexico,MX,Tulancingo,transparent,true,28.3,AS265579,Telecomunicaciones Otomies,1789.82,1784330227.6900756
http,131.196.254.36,8080,Mexico,MX,Mérida,transparent,true,31.15,AS28423,Truxgo S. de R.L de C.V,10482.68,1784330202.7484038
http,148.224.12.234,8080,Mexico,MX,Uruapan,transparent,true,30.42,AS270186,Jorge Luis Torres Fernandez,1505.72,1784330156.3980927
