protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,47.254.235.222,909,Malaysia,MY,Kuala Lumpur,elite,true,98.52,AS45102,Alibaba Cloud LLC,868.05,1784330204.4542792
socks5,47.254.235.222,909,Malaysia,MY,Kuala Lumpur,elite,true,97.74,AS45102,Alibaba Cloud LLC,1016.45,1784330201.441626
socks5,47.250.115.134,1080,Malaysia,MY,Kuala Lumpur,elite,true,79.31,AS45102,Alibaba Cloud LLC,1114.12,1784330194.3625214
http,60.53.38.230,8080,Malaysia,MY,Cyberjaya,transparent,false,37.33,AS4788,TM TECHNOLOGY SERVICES SDN BHD,11045.67,1784330190.5602727
http,175.136.215.4,18080,Malaysia,MY,Kuala Lumpur,elite,false,62.04,AS4788,Telekom Malaysia Berhad,3477.71,1784330173.4522219
http,219.93.101.60,80,Malaysia,MY,Kota Kinabalu,anonymous,false,83.4,AS4788,ADSL Streamyx Telekom Malaysia,2480.0,1784330166.2975755
http,175.139.255.25,8181,Malaysia,MY,Kuala Lumpur,transparent,true,99.87,AS4788,TM TECHNOLOGY SERVICES SDN BHD,461.26,1784330163.738913
http,219.93.101.63,80,Malaysia,MY,Kota Kinabalu,anonymous,false,83.21,AS4788,ADSL Streamyx Telekom Malaysia,1881.49,1784330158.489917
http,219.93.101.62,80,Malaysia,MY,Kota Kinabalu,anonymous,false,90.76,AS4788,ADSL Streamyx Telekom Malaysia,1329.3,1784330053.6502223
http,150.129.185.3,80,Malaysia,MY,Putrajaya,transparent,true,31.17,AS24514,Multimedia Development Corporation,410.43,1784330274.3471293
