protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,143.105.102.145,8080,Nigeria,NG,Lagos,elite,false,26.7,AS14593,Space Exploration Technologies Corporation,5354.87,1784330187.847067
socks5,102.69.146.59,7080,Nigeria,NG,Lagos,elite,true,46.3,AS328451,IP Express Ltd,12771.24,1784330176.5416853
http,197.253.23.4,8080,Nigeria,NG,Lagos,transparent,true,31.42,AS37282,Main one Cable Company Nigeria Limited,3521.08,1784330145.796841
socks4,154.113.170.1,5678,Nigeria,NG,Benin City,elite,true,11.46,AS37282,Main one Cable Company Nigeria Limited,3623.49,1784330260.6133437
socks4,41.75.84.86,4153,Nigeria,NG,Lagos,elite,true,46.93,AS37282,Main one Cable Company Nigeria Limited,593.76,1784330257.5738375
http,155.93.96.210,8080,Nigeria,NG,Abuja,transparent,true,14.33,AS16284,Vodacom Business Nigeria,6859.22,1784330256.2843988
http,154.113.147.14,8080,Nigeria,NG,Lagos,transparent,true,33.7,AS37282,Main one Cable Company Nigeria Limited,9342.1,1784330243.3239994
http,41.184.92.219,80,Nigeria,NG,Abuja,anonymous,false,54.99,AS29091,ipNX Nigeria Limited,629.49,1784330216.4095476
http,129.222.204.27,10000,Nigeria,NG,Lagos,transparent,false,29.65,AS14593,Space Exploration Technologies Corporation,2834.78,1784330122.1783113
http,154.113.209.162,8082,Nigeria,NG,Abuja,transparent,false,22.72,AS37282,Main one Cable Company Nigeria Limited,3535.88,1784330114.2548735
