protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,145.220.226.133,8080,The Netherlands,NL,Utrecht,elite,true,88.31,AS1101,SURFnet III d,289.47,1784330198.9064982
http,145.220.226.130,8080,The Netherlands,NL,Utrecht,elite,true,88.06,AS1101,SURFnet III d,286.98,1784330198.641251
http,145.220.226.53,8080,The Netherlands,NL,Utrecht,elite,true,88.09,AS1101,SURFnet III d,276.61,1784330198.5812047
http,145.220.226.167,8080,The Netherlands,NL,Utrecht,elite,true,88.26,AS1101,SURFnet III d,388.35,1784330198.0452483
http,145.220.226.191,8080,The Netherlands,NL,Utrecht,elite,true,88.05,AS1101,SURFnet III d,1060.39,1784330197.6664596
http,145.220.226.249,8080,The Netherlands,NL,Utrecht,elite,true,88.21,AS1101,SURFnet III d,633.3,1784330197.4246132
http,77.163.47.213,3128,The Netherlands,NL,Krimpen aan den IJssel,elite,true,26.27,AS1136,KPN B.V.,4554.59,1784330195.8670304
http,145.220.226.27,8080,The Netherlands,NL,Utrecht,elite,true,88.06,AS1101,SURFnet III d,1383.32,1784330195.680432
http,145.220.226.74,8080,The Netherlands,NL,Utrecht,elite,true,88.56,AS1101,SURFnet III d,397.43,1784330192.3441615
http,145.220.226.200,8080,The Netherlands,NL,Utrecht,elite,true,88.34,AS1101,SURFnet III d,118.02,1784330191.741149
http,145.220.226.236,8080,The Netherlands,NL,Utrecht,elite,true,88.38,AS1101,SURFnet III d,235.86,1784330191.6782694
http,191.44.125.3,8080,The Netherlands,NL,Amsterdam,transparent,true,35.32,AS216472,High Speed For Internet Services L.L.C,228.25,1784330191.340539
http,145.220.226.142,8080,The Netherlands,NL,Utrecht,elite,true,88.2,AS1101,SURFnet III d,457.41,1784330190.300195
http,145.220.226.163,8080,The Netherlands,NL,Utrecht,elite,true,88.38,AS1101,SURFnet III d,1523.26,1784330188.8519895
http,145.220.226.188,8080,The Netherlands,NL,Utrecht,elite,true,88.23,AS1101,SURFnet III d,3310.99,1784330188.5290148
http,145.220.226.112,8080,The Netherlands,NL,Utrecht,elite,true,88.38,AS1101,SURFnet III d,141.36,1784330186.9254577
http,145.220.226.203,8080,The Netherlands,NL,Utrecht,elite,true,88.26,AS1101,SURFnet III d,193.31,1784330186.8509054
http,85.158.145.47,8080,The Netherlands,NL,Meppel,elite,true,83.04,AS212025,Cukman Kresimir,4152.58,1784330186.8246188
http,145.220.226.238,8080,The Netherlands,NL,Utrecht,elite,true,88.58,AS1101,SURFnet III d,446.96,1784330185.8586206
http,145.220.226.180,8080,The Netherlands,NL,Utrecht,elite,true,88.27,AS1101,SURFnet III d,375.16,1784330185.3337097
http,145.220.226.110,8080,The Netherlands,NL,Utrecht,elite,true,88.4,AS1101,SURFnet III d,519.12,1784330185.128196
http,145.220.226.195,8080,The Netherlands,NL,Utrecht,elite,true,88.29,AS1101,SURFnet III d,601.27,1784330184.4571297
http,81.90.29.194,10808,The Netherlands,NL,Amsterdam,elite,true,94.19,AS215540,Global Connectivity Solutions LLP,688.01,1784330183.8646505
http,145.220.226.182,8080,The Netherlands,NL,Utrecht,elite,true,87.84,AS1101,SURFnet III d,1011.14,1784330182.7294075
http,145.220.226.183,8080,The Netherlands,NL,Utrecht,elite,true,88.45,AS1101,SURFnet III d,1847.69,1784330182.3108866
http,145.220.226.117,8080,The Netherlands,NL,Utrecht,elite,true,88.44,AS1101,SURFnet III d,2678.68,1784330181.982231
http,145.220.226.145,8080,The Netherlands,NL,Utrecht,elite,true,88.29,AS1101,SURFnet III d,3582.57,1784330181.6888497
http,77.73.132.138,8443,The Netherlands,NL,Amsterdam,elite,true,36.33,AS210976,"Timeweb, LLP",4206.26,1784330180.9429393
http,145.220.226.17,8080,The Netherlands,NL,Utrecht,elite,true,88.36,AS1101,SURFnet III d,239.78,1784330179.3302686
http,144.124.227.88,3128,The Netherlands,NL,Amsterdam,elite,true,22.95,AS216071,Servers Tech Fzco,87.42,1784330179.1121032
http,145.220.226.120,8080,The Netherlands,NL,Utrecht,elite,true,87.97,AS1101,SURFnet III d,260.9,1784330178.9641066
