protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,91.202.5.45,1080,The Netherlands,NL,Haarlem,elite,true,35.8,AS43641,SOLLUTIUM EU Sp z.o.o.,1707.49,1784330219.3999398
socks5,5.255.113.177,1080,The Netherlands,NL,Dronten,elite,true,96.15,AS60404,The Infrastructure Group B.V.,3930.33,1784330218.8453827
socks5,89.110.66.128,4143,The Netherlands,NL,Amsterdam,elite,true,11.92,AS216071,Servers Tech Fzco,1429.06,1784330217.6136284
socks5,82.97.246.229,1080,The Netherlands,NL,Amsterdam,elite,true,87.62,AS210976,"Timeweb, LLP",198.77,1784330216.7763991
socks5,46.30.41.59,9956,The Netherlands,NL,Amsterdam,elite,true,22.14,AS216139,EUROBYTE,6061.87,1784330216.688628
socks5,144.124.232.204,1080,The Netherlands,NL,Amsterdam,elite,true,61.42,AS216071,Servers Tech Fzco,141.42,1784330215.3880272
socks5,194.58.57.52,1080,The Netherlands,NL,Amsterdam,elite,true,70.76,AS210976,"Timeweb, LLP",56.2,1784330212.6284149
socks5,5.255.117.127,1080,The Netherlands,NL,Dronten,elite,true,94.87,AS60404,The Infrastructure Group B.V.,4617.48,1784330210.96903
socks5,144.124.227.88,3129,The Netherlands,NL,Amsterdam,elite,true,66.24,AS216071,Servers Tech Fzco,549.92,1784330208.4627917
socks5,91.84.125.92,1080,The Netherlands,NL,Amsterdam,elite,true,35.82,AS216071,Servers Tech Fzco,1069.66,1784330207.8465474
socks5,2.27.21.152,8888,The Netherlands,NL,Amsterdam,elite,true,61.09,AS215439,Play2go International Limited,4963.01,1784330205.9360297
socks5,5.255.117.250,1080,The Netherlands,NL,Dronten,elite,true,96.5,AS60404,The Infrastructure Group B.V.,3318.1,1784330205.547256
socks5,77.105.142.165,1080,The Netherlands,NL,Amsterdam,elite,true,32.14,AS216071,Servers Tech Fzco,439.57,1784330205.0135038
socks5,139.28.240.202,1082,The Netherlands,NL,Amsterdam,elite,true,66.15,AS215540,Global Connectivity Solutions LLP,3088.86,1784330204.788078
