protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,120.28.216.197,8082,Philippines,PH,Cagayan de Oro,transparent,false,12.77,AS132199,Globe Telecom,2628.94,1784330199.8956196
http,139.135.160.13,8083,Philippines,PH,San Fernando,transparent,true,31.25,AS17639,ComClark Network & Technology Corp,9407.08,1784330198.1444302
http,123.253.136.159,1256,Philippines,PH,Barcelona,elite,false,31.33,AS17639,ComClark Network & Technology Corp,5357.45,1784330196.3044145
http,49.144.25.241,8082,Philippines,PH,Bacoor,transparent,false,39.07,AS9299,Philippine Long Distance Telephone Co.,2150.97,1784330195.9599922
http,180.191.233.145,8080,Philippines,PH,Pangantocan,transparent,true,18.24,AS4775,Globe Telecom,3994.71,1784330193.587856
http,222.127.53.72,8082,Philippines,PH,Lahug,transparent,true,36.93,AS132199,INNOVE,1749.4,1784330193.3124156
http,180.190.189.248,8082,Philippines,PH,Lahug,transparent,false,19.43,AS132199,Globe Telecom,3881.65,1784330191.3306472
http,126.209.16.133,8082,Philippines,PH,Manila,transparent,false,39.94,AS135607,Infinivan Incorporated,1834.79,1784330190.8580105
http,49.148.4.172,8081,Philippines,PH,Cebu City,transparent,false,27.68,AS9299,Philippine Long Distance Telephone Co.,1706.1,1784330189.3558679
http,222.127.169.27,8086,Philippines,PH,Iloilo City,transparent,true,24.37,AS132199,Globe Telecom Inc.,1707.18,1784330186.8437858
http,27.49.68.66,9999,Philippines,PH,Cebu City,transparent,false,22.36,AS17639,Converge ICT,594.49,1784330186.5678723
http,58.69.124.137,8080,Philippines,PH,Manila,transparent,true,43.77,AS9299,Philippine Long Distance Telephone Co.,636.48,1784330185.5977497
http,119.93.153.10,8087,Philippines,PH,Danao,transparent,false,28.2,AS9299,Philippine Long Distance Telephone Co.,7761.94,1784330184.13984
http,119.93.172.135,8080,Philippines,PH,Makati City,transparent,false,22.24,AS9299,Philippine Long Distance Telephone Co.,7856.77,1784330183.3345394
http,180.191.2.165,8081,Philippines,PH,Cabanatuan City,transparent,false,7.89,AS132199,Globe Telecom,6068.07,1784330178.4838316
http,112.210.138.160,8081,Philippines,PH,Bacoor,transparent,false,33.55,AS9299,Philippine Long Distance Telephone Co.,7947.49,1784330169.174813
http,122.52.157.209,8081,Philippines,PH,Malolos,transparent,true,16.0,AS9299,Philippine Long Distance Telephone Co.,3692.66,1784330162.8558583
http,180.191.252.107,8082,Philippines,PH,General Trias,transparent,false,20.89,AS132199,Globe Telecom,663.21,1784330156.2677426
http,49.157.158.178,8084,Philippines,PH,Makati City,transparent,true,32.25,AS9658,Eastern Telecommunications Philippines,2122.49,1784330154.8563795
http,180.191.233.68,9090,Philippines,PH,Pangantocan,transparent,true,21.82,AS4775,Globe Telecom,3042.36,1784330154.530728
http,222.127.232.128,9999,Philippines,PH,Lahug,transparent,false,23.37,AS132199,GLBB,801.22,1784330154.4766154
http,49.146.211.128,8081,Philippines,PH,Candelaria,transparent,true,48.69,AS9299,Philippine Long Distance Telephone Co.,3252.34,1784330154.171069
