protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,139.135.160.13,8083,Philippines,PH,San Fernando,transparent,true,31.25,AS17639,ComClark Network & Technology Corp,9407.08,1784330198.1444302
http,180.191.233.145,8080,Philippines,PH,Pangantocan,transparent,true,18.24,AS4775,Globe Telecom,3994.71,1784330193.587856
http,222.127.53.72,8082,Philippines,PH,Lahug,transparent,true,36.93,AS132199,INNOVE,1749.4,1784330193.3124156
http,222.127.169.27,8086,Philippines,PH,Iloilo City,transparent,true,24.37,AS132199,Globe Telecom Inc.,1707.18,1784330186.8437858
http,58.69.124.137,8080,Philippines,PH,Manila,transparent,true,43.77,AS9299,Philippine Long Distance Telephone Co.,636.48,1784330185.5977497
http,122.52.157.209,8081,Philippines,PH,Malolos,transparent,true,16.0,AS9299,Philippine Long Distance Telephone Co.,3692.66,1784330162.8558583
http,49.157.158.178,8084,Philippines,PH,Makati City,transparent,true,32.25,AS9658,Eastern Telecommunications Philippines,2122.49,1784330154.8563795
http,180.191.233.68,9090,Philippines,PH,Pangantocan,transparent,true,21.82,AS4775,Globe Telecom,3042.36,1784330154.530728
http,49.146.211.128,8081,Philippines,PH,Candelaria,transparent,true,48.69,AS9299,Philippine Long Distance Telephone Co.,3252.34,1784330154.171069
http,49.151.104.143,8082,Philippines,PH,Baguio City,transparent,true,32.16,AS9299,Philippine Long Distance Telephone Co.,1689.08,1784330151.5422847
http,120.28.192.179,5050,Philippines,PH,Cagayan de Oro,transparent,true,19.67,AS132199,Globe Telecom,3564.31,1784330145.403984
http,124.107.173.219,8082,Philippines,PH,Bacolod City,transparent,true,22.38,AS9299,Philippine Long Distance Telephone Co.,5794.23,1784330144.5530593
http,180.191.1.195,8081,Philippines,PH,Cabanatuan City,transparent,true,22.05,AS132199,Globe Telecom,865.11,1784330137.7088141
http,180.191.255.138,8090,Philippines,PH,General Trias,transparent,true,57.56,AS132199,Globe Telecom,1757.94,1784330117.567219
http,115.147.32.198,8082,Philippines,PH,Makati City,transparent,true,5.97,AS9299,Philippine Long Distance Telephone Co.,685.12,1784330113.7686994
http,123.253.137.173,8082,Philippines,PH,Tigbinan,transparent,true,16.68,AS17639,ComClark Network & Technology Corp,7703.92,1784330099.9297311
http,180.190.187.41,5050,Philippines,PH,Lahug,transparent,true,15.45,AS132199,Globe Telecom,8144.37,1784330098.842321
http,122.53.52.196,8087,Philippines,PH,Quezon City,transparent,true,22.76,AS9299,Philippine Long Distance Telephone Co.,584.5,1784330080.9740818
http,58.69.175.135,8080,Philippines,PH,Makati City,transparent,true,19.52,AS9299,Philippine Long Distance Telephone Co.,3646.75,1784330077.6918216
http,58.69.125.145,8081,Philippines,PH,Makati City,transparent,true,9.97,AS9299,Philippine Long Distance Telephone Co.,4048.16,1784330050.902986
http,180.191.228.36,8082,Philippines,PH,Palompon,transparent,true,34.96,AS4775,Globe Telecom,1867.38,1784330019.2900894
http,203.177.237.138,8282,Philippines,PH,Iloilo City,transparent,true,13.57,AS132199,Globe Telecom,7945.82,1784330264.423236
http,161.248.190.82,8080,Philippines,PH,Trento,transparent,true,11.91,AS135028,Gemstar Cable TV - Agusan Del SUR,7995.41,1784330260.522736
http,180.191.34.229,8081,Philippines,PH,Cabanatuan City,transparent,true,10.8,AS132199,Globe Telecom,3655.97,1784330254.3478348
http,122.3.87.41,8080,Philippines,PH,Angeles City,transparent,true,11.88,AS9299,Philippine Long Distance Telephone Co.,5268.58,1784330225.4958885
http,165.101.102.199,8088,Philippines,PH,Quezon City,transparent,true,8.51,AS154002,iRateNet Solutions,1570.4,1784330223.702205
http,165.101.102.26,8084,Philippines,PH,Quezon City,transparent,true,28.68,AS154002,iRateNet Solutions,10626.14,1784330222.4976604
http,165.101.102.255,8083,Philippines,PH,Quezon City,transparent,true,12.07,AS154002,iRateNet Solutions,7676.7,1784330220.4609716
http,126.209.84.5,8082,Philippines,PH,Cebu City,transparent,true,47.67,AS135607,Infinivan Incorporated,2410.72,1784330187.4058754
http,161.49.215.28,10101,Philippines,PH,Clark,transparent,true,7.09,AS17639,Converge Information and Communications Technology Solutions,1658.4,1784330150.5078826
http,154.18.196.153,8083,Philippines,PH,Quezon City,transparent,true,43.96,AS142271,Cogent Communications,546.08,1784330083.779238
