protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,221.120.218.66,8080,Pakistan,PK,Tandlianwala,transparent,false,27.3,AS17557,PTCL ITI Lahore 11,1304.56,1784330167.9813116
http,72.255.29.169,1975,Pakistan,PK,Bahawalpur,transparent,true,21.36,AS9541,Cyber Internet Services Pakistan,1768.21,1784330157.6094983
http,121.91.60.68,8080,Pakistan,PK,Daultala,transparent,false,12.36,AS138423,CMPak Limited,3264.81,1784330147.7799106
socks5,103.121.120.242,1080,Pakistan,PK,Karachi,elite,true,67.64,AS131275,Logon Broadband Pvt. Limited,8068.23,1784330141.3640215
socks4,202.142.169.142,1080,Pakistan,PK,Lahore,elite,true,58.11,AS9260,ITI Karachi Multinet,6415.97,1784330259.5667717
socks5,103.236.134.210,1080,Pakistan,PK,Karachi,elite,true,73.07,AS38193,TRANSWORLD ASSOCIATES (PVT) LIMITED,2137.21,1784330257.2688503
http,202.83.174.147,443,Pakistan,PK,Islamabad,transparent,true,43.68,AS23888,National Telecom Corporation,4105.66,1784330246.9077885
http,202.83.174.147,8080,Pakistan,PK,Islamabad,transparent,false,22.38,AS23888,National Telecom Corporation,18333.25,1784330216.6841896
http,103.79.16.44,50009,Pakistan,PK,Karachi,transparent,true,50.21,AS131275,Logon Broadband Pvt Ltd,7776.82,1784330147.4905958
http,154.208.58.89,8080,Pakistan,PK,Lahore,elite,true,10.52,AS150750,IN CABLE INTERNET PRIVATE LIMITED,3617.78,1784330083.7118936
