protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,192.144.15.110,1080,Russia,RU,Moscow,elite,true,26.58,AS208677,"""Cloud Technologies"" LLC trading as Cloud.ru",333.82,1784330222.8448076
socks5,178.216.152.110,1337,Russia,RU,Tyumen,elite,true,46.28,AS51028,Zummer LLC,1322.64,1784330221.3253691
http,91.233.223.147,3128,Russia,RU,Sochi,transparent,true,57.71,AS57753,Radist LTD,378.53,1784330220.0183392
http,109.172.116.18,7890,Russia,RU,Moscow,elite,true,69.91,AS29182,JSC IOT,399.98,1784330219.005346
socks5,178.216.152.110,1562,Russia,RU,Tyumen,elite,true,42.77,AS51028,Zummer LLC,1317.06,1784330216.9394743
socks5,85.198.81.83,1080,Russia,RU,Moscow,elite,true,79.47,AS9123,"JSC ""TIMEWEB""",6845.21,1784330215.9785867
socks4,89.169.168.25,6101,Russia,RU,Moscow,elite,true,81.55,AS200350,Yandex.Cloud LLC,4304.08,1784330215.9237788
socks5,178.46.155.107,1080,Russia,RU,Tyumen,elite,true,50.33,AS12389,OJSC uralsvyazinform,7677.23,1784330215.5427842
socks5,178.216.152.110,1888,Russia,RU,Tyumen,elite,true,37.73,AS51028,Zummer LLC,1307.71,1784330214.882818
socks4,89.237.33.126,51549,Russia,RU,Novotroitsk,elite,true,8.87,AS20485,multi-origin SUTTK,426.46,1784330211.6161585
socks4,85.198.81.83,1080,Russia,RU,Moscow,elite,true,82.52,AS9123,"JSC ""TIMEWEB""",6947.68,1784330211.300893
socks5,81.177.165.209,10808,Russia,RU,Ryazan,elite,true,91.64,AS8342,RTCOMM,1555.52,1784330210.8038692
socks5,178.216.152.110,1965,Russia,RU,Tyumen,elite,true,23.77,AS51028,Zummer LLC,2544.45,1784330209.7940955
socks5,178.216.152.110,1528,Russia,RU,Tyumen,elite,true,32.29,AS51028,Zummer LLC,1398.21,1784330209.6683896
socks5,178.216.152.110,1735,Russia,RU,Tyumen,elite,true,43.08,AS51028,Zummer LLC,1329.28,1784330209.614166
socks5,178.216.152.110,1285,Russia,RU,Tyumen,elite,true,32.81,AS51028,Zummer LLC,1394.83,1784330209.3817952
