protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,192.144.15.110,1080,Russia,RU,Moscow,elite,true,26.58,AS208677,"""Cloud Technologies"" LLC trading as Cloud.ru",333.82,1784330222.8448076
socks4,89.169.168.25,6101,Russia,RU,Moscow,elite,true,81.55,AS200350,Yandex.Cloud LLC,4304.08,1784330215.9237788
socks4,89.237.33.126,51549,Russia,RU,Novotroitsk,elite,true,8.87,AS20485,multi-origin SUTTK,426.46,1784330211.6161585
socks4,85.198.81.83,1080,Russia,RU,Moscow,elite,true,82.52,AS9123,"JSC ""TIMEWEB""",6947.68,1784330211.300893
socks4,45.91.55.95,443,Russia,RU,Moscow,elite,true,67.57,AS213220,Delta Ltd,1365.8,1784330197.7564936
socks4,193.233.129.235,1080,Russia,RU,St Petersburg,elite,true,71.52,AS210644,Aeza International LTD,10662.02,1784330194.6384215
socks4,188.113.174.12,3629,Russia,RU,Yuzhno-Sakhalinsk,elite,true,14.12,AS51004,Sakhalin Cable Telesystems Ltd,783.54,1784330189.9824274
socks4,176.12.65.24,443,Russia,RU,Khimki,elite,true,87.17,AS29182,WEBDC,331.35,1784330182.567405
socks4,89.250.148.158,1080,Russia,RU,Tyumen,elite,true,39.82,AS41682,"JSC ""ER-Telecom Holding""",307.6,1784330272.1961243
socks4,147.45.215.249,8443,Russia,RU,Novosibirsk,elite,true,13.82,AS57494,Adman LLC,406.95,1784330270.638755
socks4,45.131.46.106,1080,Russia,RU,Moscow,elite,true,63.06,AS212913,Time-host LTD,222.39,1784330268.964283
socks4,95.46.105.163,4145,Russia,RU,Grozny,elite,true,16.38,AS207320,Kompleks Media LLC,1339.47,1784330265.801269
socks4,185.103.109.59,9050,Russia,RU,Moscow,elite,true,25.16,AS205090,First Server Limited,10940.82,1784330262.5379927
socks4,159.194.228.26,1080,Russia,RU,St Petersburg,elite,true,98.25,AS198610,Beget LLC,8596.56,1784330251.8892076
socks4,213.248.39.166,4153,Russia,RU,Moscow,elite,true,28.93,AS12695,Digital Network JSC,1247.51,1784330274.9429424
socks4,213.87.101.134,1080,Russia,RU,Blagoveshchensk,elite,true,48.48,AS8359,PJSC Mobile TeleSystems Buryatiya Ulan-Ude branch,609.71,1784330274.8914797
