protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,128.199.247.154,8080,Singapore,SG,Singapore,transparent,true,3.04,AS14061,"DigitalOcean, LLC",668.3,1784330219.3089144
socks5,45.76.183.4,10080,Singapore,SG,Singapore,elite,true,88.82,AS20473,The Constant Company,7335.89,1784330215.4908106
socks5,178.128.59.180,40001,Singapore,SG,Singapore,elite,true,84.85,AS14061,"DigitalOcean, LLC",4020.08,1784330213.7988544
socks5,140.245.99.105,7890,Singapore,SG,Singapore,elite,true,91.24,AS31898,Oracle Corporation,1823.4,1784330205.9187295
http,139.59.103.183,80,Singapore,SG,Singapore,elite,false,53.69,AS14061,DIGITALOCEAN,951.71,1784330205.9094117
http,45.77.246.231,80,Singapore,SG,Singapore,elite,true,14.82,AS20473,The Constant Company,7272.99,1784330199.6882815
socks5,47.237.67.253,1011,Singapore,SG,Singapore,elite,true,55.73,AS45102,"Alibaba (US) Technology Co., Ltd.",1726.91,1784330199.493015
socks4,140.245.99.105,7890,Singapore,SG,Singapore,elite,true,94.95,AS31898,Oracle Corporation,2649.51,1784330199.368344
socks4,45.76.182.157,1081,Singapore,SG,Singapore,elite,true,89.18,AS20473,The Constant Company,7880.02,1784330198.3419054
socks4,139.59.122.219,9050,Singapore,SG,Singapore,elite,true,20.5,AS14061,DIGITALOCEAN,13910.36,1784330195.5136225
socks5,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,89.47,AS396982,Google LLC,16862.71,1784330195.4217563
http,129.226.217.225,3128,Singapore,SG,Singapore,transparent,true,56.15,AS132203,Tencent Cloud Computing (Beijing) Co,5920.97,1784330193.778198
socks5,8.219.87.219,10801,Singapore,SG,Singapore,elite,true,27.93,AS45102,"Alibaba (US) Technology Co., Ltd.",1358.17,1784330193.2613823
http,109.123.236.214,8080,Singapore,SG,Singapore,transparent,false,27.06,AS141995,Contabo Asia Private Limited,7480.26,1784330189.819896
http,188.166.198.82,3128,Singapore,SG,Singapore,elite,true,92.2,AS14061,"DigitalOcean, LLC",8659.78,1784330189.7413442
http,68.183.178.217,3128,Singapore,SG,Singapore,elite,true,50.46,AS14061,"DigitalOcean, LLC",5712.57,1784330189.4795082
socks4,178.128.59.180,40001,Singapore,SG,Singapore,elite,true,81.89,AS14061,"DigitalOcean, LLC",842.18,1784330187.5493526
socks5,139.59.122.219,9050,Singapore,SG,Singapore,elite,true,18.01,AS14061,DIGITALOCEAN,13937.98,1784330186.692025
socks5,47.236.177.236,1080,Singapore,SG,Singapore,elite,true,78.05,AS45102,"Alibaba (US) Technology Co., Ltd.",1024.62,1784330184.4659162
socks5,45.76.182.157,1081,Singapore,SG,Singapore,elite,true,87.92,AS20473,The Constant Company,9191.55,1784330181.1978235
http,178.128.223.15,3128,Singapore,SG,Singapore,elite,true,28.57,AS14061,"DigitalOcean, LLC",3531.4,1784330178.4398646
socks5,47.79.253.110,3080,Singapore,SG,Singapore,elite,true,100.0,AS45102,"Alibaba (US) Technology Co., Ltd.",1151.46,1784330176.4919536
socks5,45.43.63.37,10808,Singapore,SG,Singapore,elite,true,83.63,AS135377,Zenlayer Inc,998.95,1784330176.1613963
socks5,178.128.106.142,1080,Singapore,SG,Singapore,elite,true,99.97,AS14061,"DigitalOcean, LLC",1548.15,1784330172.0615463
http,34.87.80.221,30000,Singapore,SG,Singapore,elite,true,32.31,AS396982,Google LLC,562.11,1784330169.552807
socks5,139.162.36.238,1080,Singapore,SG,Singapore,elite,true,12.15,AS63949,"Akamai Technologies, Inc.",8291.66,1784330169.0925148
http,178.128.59.180,18080,Singapore,SG,Singapore,elite,true,85.18,AS14061,"DigitalOcean, LLC",14379.21,1784330168.7398934
http,140.245.99.105,7890,Singapore,SG,Singapore,elite,true,92.93,AS31898,Oracle Corporation,399.51,1784330163.5288916
http,129.212.224.122,3128,Singapore,SG,Singapore,anonymous,true,18.27,AS14061,"DigitalOcean, LLC",12919.77,1784330157.995286
socks5,8.219.87.219,10802,Singapore,SG,Singapore,elite,true,66.82,AS45102,"Alibaba (US) Technology Co., Ltd.",1706.59,1784330156.4669812
http,144.48.6.42,80,Singapore,SG,Singapore,transparent,true,93.87,AS997,Singapore  Beyotta Network LLP,396.72,1784330151.8170135
http,172.236.138.74,3128,Singapore,SG,Singapore,transparent,true,27.69,AS63949,"Akamai Technologies, Inc.",2588.91,1784330151.575088
http,68.183.177.73,3128,Singapore,SG,Singapore,elite,true,50.09,AS14061,"DigitalOcean, LLC",1094.55,1784330151.3296397
socks5,47.245.104.45,1111,Singapore,SG,Singapore,elite,true,60.7,AS45102,"Alibaba (US) Technology Co., Ltd.",9818.9,1784330148.6306002
http,8.222.175.80,6128,Singapore,SG,Singapore,transparent,true,12.47,AS45102,"Alibaba (US) Technology Co., Ltd.",389.2,1784330144.8586009
http,109.123.236.178,8080,Singapore,SG,Singapore,transparent,true,31.52,AS141995,Contabo Asia Private Limited,3835.48,1784330143.7626543
socks5,47.245.104.45,1011,Singapore,SG,Singapore,elite,true,55.34,AS45102,"Alibaba (US) Technology Co., Ltd.",2188.49,1784330142.7458296
http,47.245.117.43,80,Singapore,SG,Singapore,elite,true,17.37,AS45102,"Alibaba (US) Technology Co., Ltd.",391.94,1784330075.855738
