protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,45.76.183.4,10080,Singapore,SG,Singapore,elite,true,88.82,AS20473,The Constant Company,7335.89,1784330215.4908106
socks5,178.128.59.180,40001,Singapore,SG,Singapore,elite,true,84.85,AS14061,"DigitalOcean, LLC",4020.08,1784330213.7988544
socks5,140.245.99.105,7890,Singapore,SG,Singapore,elite,true,91.24,AS31898,Oracle Corporation,1823.4,1784330205.9187295
socks5,47.237.67.253,1011,Singapore,SG,Singapore,elite,true,55.73,AS45102,"Alibaba (US) Technology Co., Ltd.",1726.91,1784330199.493015
socks5,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,89.47,AS396982,Google LLC,16862.71,1784330195.4217563
socks5,8.219.87.219,10801,Singapore,SG,Singapore,elite,true,27.93,AS45102,"Alibaba (US) Technology Co., Ltd.",1358.17,1784330193.2613823
socks5,139.59.122.219,9050,Singapore,SG,Singapore,elite,true,18.01,AS14061,DIGITALOCEAN,13937.98,1784330186.692025
socks5,47.236.177.236,1080,Singapore,SG,Singapore,elite,true,78.05,AS45102,"Alibaba (US) Technology Co., Ltd.",1024.62,1784330184.4659162
socks5,45.76.182.157,1081,Singapore,SG,Singapore,elite,true,87.92,AS20473,The Constant Company,9191.55,1784330181.1978235
socks5,47.79.253.110,3080,Singapore,SG,Singapore,elite,true,100.0,AS45102,"Alibaba (US) Technology Co., Ltd.",1151.46,1784330176.4919536
socks5,45.43.63.37,10808,Singapore,SG,Singapore,elite,true,83.63,AS135377,Zenlayer Inc,998.95,1784330176.1613963
socks5,178.128.106.142,1080,Singapore,SG,Singapore,elite,true,99.97,AS14061,"DigitalOcean, LLC",1548.15,1784330172.0615463
socks5,139.162.36.238,1080,Singapore,SG,Singapore,elite,true,12.15,AS63949,"Akamai Technologies, Inc.",8291.66,1784330169.0925148
socks5,8.219.87.219,10802,Singapore,SG,Singapore,elite,true,66.82,AS45102,"Alibaba (US) Technology Co., Ltd.",1706.59,1784330156.4669812
socks5,47.245.104.45,1111,Singapore,SG,Singapore,elite,true,60.7,AS45102,"Alibaba (US) Technology Co., Ltd.",9818.9,1784330148.6306002
socks5,47.245.104.45,1011,Singapore,SG,Singapore,elite,true,55.34,AS45102,"Alibaba (US) Technology Co., Ltd.",2188.49,1784330142.7458296
socks5,152.32.217.35,10808,Singapore,SG,Singapore,elite,true,92.7,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1999.21,1784330270.623019
socks5,104.248.151.220,57554,Singapore,SG,Singapore,elite,true,50.3,AS14061,"DigitalOcean, LLC",5877.37,1784330267.6242924
socks5,43.106.60.21,1080,Singapore,SG,Singapore,elite,true,54.7,AS45102,"Alibaba (US) Technology Co., Ltd.",1202.9,1784330251.0753987
socks5,43.160.255.142,7890,Singapore,SG,Singapore,elite,true,92.63,AS132203,Aceville Pte.ltd,792.53,1784330200.7202032
socks5,152.32.219.123,10808,Singapore,SG,Singapore,elite,true,78.01,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,8232.98,1784330184.94322
socks5,43.160.208.165,7890,Singapore,SG,Singapore,elite,true,21.71,AS132203,Shenzhen Tencent Computer Systems Company Limited,846.81,1784330180.31654
socks5,167.71.204.247,9050,Singapore,SG,Singapore,elite,true,26.26,AS14061,"DigitalOcean, LLC",17948.06,1784330176.846647
socks5,43.134.53.69,1080,Singapore,SG,Singapore,elite,true,27.02,AS132203,Shenzhen Tencent Computer Systems Company Limited,8466.64,1784330176.6080277
