protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,185.235.16.12,80,Syria,SY,Damascus,elite,false,90.15,AS29256,Syrian Telecom,326.27,1784330213.6472042
http,139.28.49.23,8080,Syria,SY,Aleppo,transparent,false,23.23,AS216472,High Speed For Internet Services L.L.C,3555.86,1784330193.4054837
http,89.43.132.231,8080,Syria,SY,Ad Dānā,transparent,false,41.57,AS216472,High Speed For Internet Services L.L.C,234.67,1784330185.9839418
http,89.43.135.182,8085,Syria,SY,Shuyūkh Taḩtānī,transparent,true,20.47,AS216472,High Speed For Internet Services L.L.C,1310.69,1784330160.2614753
http,78.155.67.86,8080,Syria,SY,Damascus,transparent,false,26.89,AS29256,ISP-TARASSUL,7404.67,1784330152.3843446
http,89.43.132.226,8080,Syria,SY,Arīḩā,transparent,false,23.8,AS216472,High Speed For Internet Services L.L.C,7497.59,1784330146.6694348
http,78.155.65.203,8080,Syria,SY,Babīlā,transparent,true,27.29,AS29256,ISP-TARASSUL,3165.1,1784330108.5529172
http,78.155.64.222,8080,Syria,SY,Douma,transparent,false,17.5,AS29256,ISP-TARASSUL,2548.55,1784330049.4259317
http,89.43.135.9,8080,Syria,SY,Manbij,transparent,true,22.81,AS216472,High Speed For Internet Services L.L.C,244.54,1784330033.5083225
http,91.144.30.93,8080,Syria,SY,Damascus,transparent,false,22.01,AS29256,STE Public Data Network Backbone and LIR,5014.73,1784330255.302729
http,89.43.132.81,8085,Syria,SY,Ad Dānā,transparent,true,25.68,AS216472,High Speed For Internet Services L.L.C,3323.59,1784330235.2260852
http,131.222.210.41,8080,Syria,SY,Damascus,transparent,true,30.79,AS216472,High Speed For Internet Services L.L.C,2171.7,1784330222.9175782
http,131.222.210.185,8080,Syria,SY,Damascus,transparent,false,26.7,AS216472,High Speed For Internet Services L.L.C,258.95,1784330205.4963374
http,205.209.64.196,8080,Syria,SY,Al-Qamishli,elite,false,37.98,AS214707,RCell LLC,2708.29,1784330149.685179
http,205.209.64.21,8080,Syria,SY,Al-Qamishli,transparent,false,29.11,AS214707,RCell LLC,5317.12,1784330133.3941123
http,213.178.250.33,8080,Syria,SY,Damascus,anonymous,false,24.83,AS29256,SCS,11131.02,1784330138.994233
