protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,1.0.171.213,8080,Thailand,TH,Phuket,transparent,true,7.91,AS23969,TOT Public Company Limited,3819.11,1784330212.602757
http,49.48.85.50,8080,Thailand,TH,Nakhon Ratchasima,transparent,true,52.22,AS45758,Triple T Broadband Public Company Limited,1542.67,1784330203.3553603
http,81.31.234.70,80,Thailand,TH,Bangkok,transparent,true,9.1,AS149766,Y.U.T Corporate Company Limited,6049.24,1784330196.8438327
http,118.172.184.25,8180,Thailand,TH,Chiang Mai,transparent,true,5.06,AS23969,TOT Public Company Limited,3782.81,1784330189.4059968
http,49.0.79.138,8080,Thailand,TH,Bangkok,transparent,false,34.13,AS133481,AIS-Fibre,1578.46,1784330187.5277946
http,47.81.56.193,8888,Thailand,TH,Bangkok,elite,true,79.62,AS45102,Alibaba.com LLC,581.54,1784330184.4255757
http,101.109.119.24,8080,Thailand,TH,Bang Phli,transparent,false,5.67,AS23969,TOT Public Company Limited,2944.8,1784330176.4606276
http,124.122.240.103,8080,Thailand,TH,Changwat Sara Buri,transparent,true,56.56,AS17552,"True Internet Co., Ltd.",559.67,1784330176.0149066
http,110.171.40.132,8080,Thailand,TH,Bangkok,transparent,false,7.42,AS17552,True Internet Corporation CO. Ltd.,1860.29,1784330172.772157
http,171.103.19.126,8080,Thailand,TH,Bangkok,transparent,true,33.1,AS7470,"True Internet Co., Ltd.",2757.91,1784330154.5918467
http,58.136.170.114,8080,Thailand,TH,Bangkok,transparent,true,37.54,AS133481,AIS-Fibre,1597.86,1784330149.6922097
http,101.51.131.47,8080,Thailand,TH,Nonthaburi,transparent,false,25.95,AS23969,TOT Public Company Limited,7686.94,1784330148.9509223
http,58.136.170.61,8080,Thailand,TH,Bangkok,transparent,true,80.3,AS133481,AIS-Fibre,545.3,1784330114.9614763
http,180.180.218.250,8080,Thailand,TH,Rayong,transparent,false,5.34,AS23969,TOT Public Company Limited,7319.82,1784330089.6386752
http,124.122.240.172,8080,Thailand,TH,Changwat Sara Buri,transparent,true,41.63,AS17552,"True Internet Co., Ltd.",1585.56,1784330083.3590786
http,8.213.195.191,8999,Thailand,TH,Bangkok,elite,false,1.74,AS45102,Alibaba Cloud (Singapore) Private Limited,5408.06,1784330015.3118649
http,202.28.194.139,31280,Thailand,TH,Chiang Mai,elite,true,99.77,AS4621,Office of Info.Tech. Admin. for Educational Development,574.08,1784330250.8238783
http,182.53.143.200,8180,Thailand,TH,Ko Kut,transparent,false,5.35,AS23969,TOT Public Company Limited,5073.31,1784330241.2858584
http,203.146.80.98,8080,Thailand,TH,Nong Saeng,transparent,false,27.31,AS45458,Advanced Wireless Network Company Limited,10620.24,1784330230.5769408
http,161.82.141.220,8080,Thailand,TH,Pattaya,transparent,false,4.21,AS132280,Symphony Communication Public Company Limited,7700.09,1784330227.3718405
http,61.19.145.66,8080,Thailand,TH,Khlong San,transparent,false,5.74,AS9931,National Telecom Public Company Limited,7134.03,1784330210.6385374
http,202.44.242.124,8080,Thailand,TH,Bangkok,transparent,false,52.17,AS4618,Internet Thailand Company Ltd.,10083.79,1784330202.801647
http,45.136.254.27,8080,Thailand,TH,Nonthaburi,transparent,true,21.08,AS56309,"Siamdata Communication Co., ltd.",18545.09,1784330172.7909877
http,203.150.172.151,8080,Thailand,TH,Vadhana,transparent,false,5.8,AS4618,Internet Thailand Company Ltd.,15021.12,1784330157.4808722
http,203.150.128.186,8080,Thailand,TH,Bangkok,transparent,true,62.47,AS4618,Internet Thailand Company Ltd,1823.19,1784330149.50886
