protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,1.0.171.213,8080,Thailand,TH,Phuket,transparent,true,7.91,AS23969,TOT Public Company Limited,3819.11,1784330212.602757
http,49.48.85.50,8080,Thailand,TH,Nakhon Ratchasima,transparent,true,52.22,AS45758,Triple T Broadband Public Company Limited,1542.67,1784330203.3553603
http,81.31.234.70,80,Thailand,TH,Bangkok,transparent,true,9.1,AS149766,Y.U.T Corporate Company Limited,6049.24,1784330196.8438327
http,118.172.184.25,8180,Thailand,TH,Chiang Mai,transparent,true,5.06,AS23969,TOT Public Company Limited,3782.81,1784330189.4059968
http,47.81.56.193,8888,Thailand,TH,Bangkok,elite,true,79.62,AS45102,Alibaba.com LLC,581.54,1784330184.4255757
http,124.122.240.103,8080,Thailand,TH,Changwat Sara Buri,transparent,true,56.56,AS17552,"True Internet Co., Ltd.",559.67,1784330176.0149066
http,171.103.19.126,8080,Thailand,TH,Bangkok,transparent,true,33.1,AS7470,"True Internet Co., Ltd.",2757.91,1784330154.5918467
http,58.136.170.114,8080,Thailand,TH,Bangkok,transparent,true,37.54,AS133481,AIS-Fibre,1597.86,1784330149.6922097
http,58.136.170.61,8080,Thailand,TH,Bangkok,transparent,true,80.3,AS133481,AIS-Fibre,545.3,1784330114.9614763
http,124.122.240.172,8080,Thailand,TH,Changwat Sara Buri,transparent,true,41.63,AS17552,"True Internet Co., Ltd.",1585.56,1784330083.3590786
http,202.28.194.139,31280,Thailand,TH,Chiang Mai,elite,true,99.77,AS4621,Office of Info.Tech. Admin. for Educational Development,574.08,1784330250.8238783
http,45.136.254.27,8080,Thailand,TH,Nonthaburi,transparent,true,21.08,AS56309,"Siamdata Communication Co., ltd.",18545.09,1784330172.7909877
http,203.150.128.186,8080,Thailand,TH,Bangkok,transparent,true,62.47,AS4618,Internet Thailand Company Ltd,1823.19,1784330149.50886
