protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,78.135.93.101,3128,Turkey,TR,Osmangazi,elite,false,14.36,AS214036,"Ultahost, Inc.",552.96,1784330216.7398856
http,109.224.242.26,8080,Türkiye,TR,Reyhanlı,transparent,false,12.47,AS216472,High Speed For Internet Services L.L.C,3015.85,1784330204.741732
http,188.132.150.44,8080,Turkey,TR,Istanbul,transparent,true,22.77,AS216472,High Speed For Internet Services L.L.C,13016.99,1784330196.7159176
http,5.188.190.218,80,Türkiye,TR,Istanbul,elite,false,94.0,AS202422,G-Core Labs S.A.,3264.75,1784330193.8968022
http,195.62.50.39,8080,Turkey,TR,Istanbul,transparent,false,11.37,AS216472,High Speed For Internet Services L.L.C,3394.89,1784330193.5419087
http,188.132.249.99,8080,Turkey,TR,Kilis,transparent,true,26.22,AS216472,High Speed For Internet Services L.L.C,1245.38,1784330187.5558932
http,188.132.150.46,8080,Turkey,TR,Istanbul,transparent,true,21.61,AS216472,High Speed For Internet Services L.L.C,219.48,1784330180.9718878
http,62.248.100.249,3310,Turkey,TR,Umraniye,elite,true,47.35,AS9121,Uydunet,5288.24,1784330176.4793031
http,46.197.136.14,8080,Türkiye,TR,Denizli,transparent,false,29.73,AS47524,Turksat Internet Services,2168.17,1784330169.6783774
http,176.88.166.170,8080,Türkiye,TR,Istanbul,transparent,true,41.29,AS34984,Superonline Iletisim Hizmetleri A.S.,4108.5,1784330166.8839614
http,195.62.50.4,8080,Turkey,TR,Istanbul,transparent,true,23.66,AS216472,High Speed For Internet Services L.L.C,1573.77,1784330162.6278913
http,176.88.166.171,8080,Türkiye,TR,Istanbul,transparent,true,24.94,AS34984,Superonline Iletisim Hizmetleri A.S.,242.05,1784330151.9832897
http,176.88.166.188,8080,Türkiye,TR,Istanbul,transparent,false,22.86,AS34984,Superonline Iletisim Hizmetleri A.S.,305.04,1784330150.2638009
http,191.44.125.6,8080,Türkiye,TR,Antakya,transparent,true,32.48,AS216472,High Speed For Internet Services L.L.C,280.87,1784330150.173724
http,176.88.166.197,8080,Türkiye,TR,Kilis,transparent,true,27.42,AS34984,Superonline Iletisim Hizmetleri A.S.,7353.72,1784330145.7313569
http,185.248.15.159,8080,Türkiye,TR,Istanbul,transparent,false,27.95,AS204457,Atlantis Telekomunikasyon Bilisim Hizmetleri San. Tic. Ltd,7621.97,1784330144.8613284
http,109.224.242.209,8080,Turkey,TR,Antakya,transparent,true,13.97,AS216472,High Speed For Internet Services L.L.C,7437.8,1784330140.5779676
http,188.132.249.144,8080,Turkey,TR,Kilis,transparent,true,30.02,AS216472,High Speed For Internet Services L.L.C,5214.6,1784330136.398413
http,78.187.12.21,3310,Türkiye,TR,Antalya,elite,true,97.49,AS9121,Turk Telekomunikasyon A.S,4339.89,1784330135.972824
http,195.62.50.59,8080,Turkey,TR,Istanbul,transparent,true,24.96,AS216472,High Speed For Internet Services L.L.C,2631.76,1784330107.5133426
http,176.88.166.165,8080,Türkiye,TR,Istanbul,transparent,false,22.21,AS34984,Superonline Iletisim Hizmetleri A.S.,281.96,1784330078.2400372
http,81.8.59.178,8080,Turkey,TR,Turgutlu,transparent,false,27.84,AS15924,Vodafone Net DSL,1223.13,1784330068.3638897
http,109.224.242.228,8080,Turkey,TR,Antakya,transparent,false,35.1,AS216472,High Speed For Internet Services L.L.C,336.45,1784330062.2656062
http,131.222.251.5,8080,Türkiye,TR,Antakya,transparent,true,25.59,AS216472,High Speed For Internet Services L.L.C,4545.8,1784330054.8502145
http,31.145.149.75,9090,Türkiye,TR,Köseköy,transparent,false,7.43,AS15924,Vodafone Net Iletisim Hizmetler AS,8350.3,1784330049.7530844
http,188.132.150.47,8080,Turkey,TR,Istanbul,transparent,true,23.12,AS216472,High Speed For Internet Services L.L.C,242.09,1784330032.3365076
http,195.142.250.46,8080,Türkiye,TR,Bursa,transparent,true,29.11,AS34984,Superonline Iletisim Hizmetleri A.S.,3339.43,1784330264.902555
http,131.222.252.181,8080,Türkiye,TR,Antakya,transparent,true,45.07,AS216472,High Speed For Internet Services L.L.C,235.14,1784330250.4320905
http,195.62.50.12,8080,Turkey,TR,Istanbul,transparent,false,24.79,AS216472,High Speed For Internet Services L.L.C,7481.77,1784330241.390452
http,131.222.251.50,8080,Türkiye,TR,Antakya,transparent,false,27.99,AS216472,High Speed For Internet Services L.L.C,7387.53,1784330231.9505043
