protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,188.132.150.44,8080,Turkey,TR,Istanbul,transparent,true,22.77,AS216472,High Speed For Internet Services L.L.C,13016.99,1784330196.7159176
http,188.132.249.99,8080,Turkey,TR,Kilis,transparent,true,26.22,AS216472,High Speed For Internet Services L.L.C,1245.38,1784330187.5558932
http,188.132.150.46,8080,Turkey,TR,Istanbul,transparent,true,21.61,AS216472,High Speed For Internet Services L.L.C,219.48,1784330180.9718878
http,62.248.100.249,3310,Turkey,TR,Umraniye,elite,true,47.35,AS9121,Uydunet,5288.24,1784330176.4793031
http,176.88.166.170,8080,Türkiye,TR,Istanbul,transparent,true,41.29,AS34984,Superonline Iletisim Hizmetleri A.S.,4108.5,1784330166.8839614
http,195.62.50.4,8080,Turkey,TR,Istanbul,transparent,true,23.66,AS216472,High Speed For Internet Services L.L.C,1573.77,1784330162.6278913
http,176.88.166.171,8080,Türkiye,TR,Istanbul,transparent,true,24.94,AS34984,Superonline Iletisim Hizmetleri A.S.,242.05,1784330151.9832897
http,191.44.125.6,8080,Türkiye,TR,Antakya,transparent,true,32.48,AS216472,High Speed For Internet Services L.L.C,280.87,1784330150.173724
http,176.88.166.197,8080,Türkiye,TR,Kilis,transparent,true,27.42,AS34984,Superonline Iletisim Hizmetleri A.S.,7353.72,1784330145.7313569
http,109.224.242.209,8080,Turkey,TR,Antakya,transparent,true,13.97,AS216472,High Speed For Internet Services L.L.C,7437.8,1784330140.5779676
http,188.132.249.144,8080,Turkey,TR,Kilis,transparent,true,30.02,AS216472,High Speed For Internet Services L.L.C,5214.6,1784330136.398413
http,78.187.12.21,3310,Türkiye,TR,Antalya,elite,true,97.49,AS9121,Turk Telekomunikasyon A.S,4339.89,1784330135.972824
http,195.62.50.59,8080,Turkey,TR,Istanbul,transparent,true,24.96,AS216472,High Speed For Internet Services L.L.C,2631.76,1784330107.5133426
http,131.222.251.5,8080,Türkiye,TR,Antakya,transparent,true,25.59,AS216472,High Speed For Internet Services L.L.C,4545.8,1784330054.8502145
http,188.132.150.47,8080,Turkey,TR,Istanbul,transparent,true,23.12,AS216472,High Speed For Internet Services L.L.C,242.09,1784330032.3365076
http,195.142.250.46,8080,Türkiye,TR,Bursa,transparent,true,29.11,AS34984,Superonline Iletisim Hizmetleri A.S.,3339.43,1784330264.902555
http,131.222.252.181,8080,Türkiye,TR,Antakya,transparent,true,45.07,AS216472,High Speed For Internet Services L.L.C,235.14,1784330250.4320905
http,64.49.15.225,3128,Türkiye,TR,Istanbul,transparent,true,23.64,AS213535,YottaSrc Cloud & Hosting Services,3609.23,1784330225.7016776
http,131.222.247.50,8080,Türkiye,TR,Antakya,transparent,true,19.53,AS216472,High Speed For Internet Services L.L.C,10007.88,1784330210.372065
http,131.222.251.144,8080,Türkiye,TR,Antakya,transparent,true,30.08,AS216472,High Speed For Internet Services L.L.C,4872.57,1784330188.9518154
http,95.3.69.222,8080,Türkiye,TR,Istanbul,transparent,true,98.45,AS9121,Turk Telekomunikasyon Anonim Sirketi,225.62,1784330153.7502568
http,131.222.251.43,8080,Türkiye,TR,Antakya,transparent,true,29.59,AS216472,High Speed For Internet Services L.L.C,260.11,1784330152.5958824
http,195.62.50.35,8080,Turkey,TR,Istanbul,transparent,true,22.51,AS216472,High Speed For Internet Services L.L.C,8963.5,1784330141.9308023
http,212.252.73.120,8080,Türkiye,TR,Kilis,transparent,true,30.9,AS34984,GUNEYDOGUTELEKOM,1279.28,1784330271.0088882
