protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,81.162.249.129,4153,Ukraine,UA,Oleksandriya,elite,true,46.72,AS44032,"PP ""TRC""City TV center""",222.8,1784330218.9789872
socks4,188.190.180.166,5678,Ukraine,UA,Khmelnytskyi,elite,true,62.42,AS28773,Global Technology Ukraine Ltd,1204.22,1784330209.672722
http,82.207.117.120,8080,Ukraine,UA,Kyiv,elite,true,24.46,AS6849,"JSC ""Ukrtelecom""",2304.13,1784330200.3913865
socks4,46.219.1.20,5678,Ukraine,UA,Kyiv,elite,true,47.07,AS31148,o3 core,150.43,1784330188.4741588
socks4,193.106.57.96,5678,Ukraine,UA,Kyiv,elite,true,16.95,AS42510,Magic Line,7509.65,1784330154.8100803
http,176.111.37.5,39811,Ukraine,UA,Dobropol'ye,transparent,true,94.2,AS214743,Cogento Backbone Limited,133.72,1784330152.0684812
http,178.251.111.21,8080,Ukraine,UA,Konotop,transparent,false,1.51,AS35297,Dataline LLC,1932.67,1784330149.6692312
http,176.111.37.216,39811,Ukraine,UA,Dobropol'ye,transparent,true,93.95,AS214743,Cogento Backbone Limited,123.88,1784330133.8263204
socks4,195.78.113.38,4153,Ukraine,UA,Obolon,elite,true,52.2,AS49971,PrJSC Valex,10453.09,1784330237.5173123
http,94.179.153.218,8081,Ukraine,UA,Kyiv,transparent,true,33.61,AS6849,UKRTELECOM,194.76,1784330149.3222253
