protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,117.7.80.193,1093,Vietnam,VN,Nam Định,elite,true,86.62,AS7552,VIETTEL,1931.14,1784330221.1861527
socks4,103.179.172.167,18888,Vietnam,VN,Dich Vong,elite,true,41.24,AS135905,Vietnam Posts and Telecommunications Group,2402.56,1784330220.6715899
socks4,117.7.80.193,1057,Vietnam,VN,Nam Định,elite,true,33.71,AS7552,VIETTEL,2306.41,1784330220.5899663
http,113.176.92.71,3128,Vietnam,VN,Bien Hoa,transparent,true,62.38,AS45899,VNPT,736.82,1784330219.3123224
socks4,117.7.81.125,1038,Vietnam,VN,Nam Định,elite,true,74.47,AS7552,VIETTEL,936.24,1784330219.1997128
socks5,58.186.168.168,1080,Vietnam,VN,Hanoi,elite,true,45.4,AS18403,FPT Telecom Company,1250.27,1784330218.977122
socks4,58.186.168.168,1049,Vietnam,VN,Hanoi,elite,true,84.18,AS18403,FPT Telecom Company,1009.15,1784330218.4538898
socks4,58.186.168.168,1056,Vietnam,VN,Hanoi,elite,true,84.2,AS18403,FPT Telecom Company,1612.21,1784330216.8705878
http,117.7.80.75,2026,Vietnam,VN,Nam Định,elite,false,44.15,AS7552,VIETTEL,1781.86,1784330215.6878724
socks4,117.7.80.75,1106,Vietnam,VN,Nam Định,elite,true,28.53,AS7552,VIETTEL,5000.56,1784330215.438633
http,118.71.44.153,2120,Vietnam,VN,Hanoi,elite,false,83.02,AS18403,Vietnam Internet Network Information Center,646.05,1784330215.2922764
socks4,118.71.44.153,1095,Vietnam,VN,Hanoi,elite,true,85.29,AS18403,Vietnam Internet Network Information Center,952.42,1784330213.5425606
socks5,58.186.168.168,1032,Vietnam,VN,Hanoi,elite,true,36.97,AS18403,FPT Telecom Company,4207.0,1784330213.507576
socks4,113.166.93.239,5678,Vietnam,VN,Duong Dong,elite,true,65.99,AS45899,VietNam Post and Telecom Corporation,1382.25,1784330213.1101673
socks4,58.186.168.168,1097,Vietnam,VN,Hanoi,elite,true,51.12,AS18403,FPT Telecom Company,964.57,1784330213.0973425
http,117.7.80.246,2026,Vietnam,VN,Nam Định,elite,true,80.29,AS7552,VIETTEL,1070.0,1784330212.8884263
socks4,117.7.80.160,1041,Vietnam,VN,Nam Định,elite,true,66.75,AS7552,VIETTEL,1491.12,1784330212.7070901
socks4,116.104.162.93,1080,Vietnam,VN,Hanoi,elite,true,27.43,AS7552,Viettel Group,893.19,1784330212.6971729
socks5,117.7.80.184,1106,Vietnam,VN,Nam Định,elite,true,33.0,AS7552,VIETTEL,8816.13,1784330212.6478097
socks4,118.71.44.153,1054,Vietnam,VN,Hanoi,elite,true,73.21,AS18403,Vietnam Internet Network Information Center,9458.17,1784330212.5643375
http,117.7.80.246,2088,Vietnam,VN,Nam Định,elite,true,85.23,AS7552,VIETTEL,670.65,1784330212.4593692
socks4,117.7.81.125,1097,Vietnam,VN,Nam Định,elite,true,71.34,AS7552,VIETTEL,1072.98,1784330212.4348383
socks4,117.7.80.126,1057,Vietnam,VN,Nam Định,elite,true,35.92,AS7552,VIETTEL,3815.6,1784330211.956715
socks5,117.7.80.199,1057,Vietnam,VN,Nam Định,elite,true,35.94,AS7552,VIETTEL,3113.53,1784330211.8329418
http,103.15.222.192,10183,Vietnam,VN,Tây Mỗ,elite,false,20.63,AS149137,TAN Thanh AN International Trade Development Company Limited,6459.23,1784330211.7740903
