protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,117.7.80.193,1093,Vietnam,VN,Nam Định,elite,true,86.62,AS7552,VIETTEL,1931.14,1784330221.1861527
socks4,103.179.172.167,18888,Vietnam,VN,Dich Vong,elite,true,41.24,AS135905,Vietnam Posts and Telecommunications Group,2402.56,1784330220.6715899
socks4,117.7.80.193,1057,Vietnam,VN,Nam Định,elite,true,33.71,AS7552,VIETTEL,2306.41,1784330220.5899663
socks4,117.7.81.125,1038,Vietnam,VN,Nam Định,elite,true,74.47,AS7552,VIETTEL,936.24,1784330219.1997128
socks4,58.186.168.168,1049,Vietnam,VN,Hanoi,elite,true,84.18,AS18403,FPT Telecom Company,1009.15,1784330218.4538898
socks4,58.186.168.168,1056,Vietnam,VN,Hanoi,elite,true,84.2,AS18403,FPT Telecom Company,1612.21,1784330216.8705878
socks4,117.7.80.75,1106,Vietnam,VN,Nam Định,elite,true,28.53,AS7552,VIETTEL,5000.56,1784330215.438633
socks4,118.71.44.153,1095,Vietnam,VN,Hanoi,elite,true,85.29,AS18403,Vietnam Internet Network Information Center,952.42,1784330213.5425606
socks4,113.166.93.239,5678,Vietnam,VN,Duong Dong,elite,true,65.99,AS45899,VietNam Post and Telecom Corporation,1382.25,1784330213.1101673
socks4,58.186.168.168,1097,Vietnam,VN,Hanoi,elite,true,51.12,AS18403,FPT Telecom Company,964.57,1784330213.0973425
socks4,117.7.80.160,1041,Vietnam,VN,Nam Định,elite,true,66.75,AS7552,VIETTEL,1491.12,1784330212.7070901
socks4,116.104.162.93,1080,Vietnam,VN,Hanoi,elite,true,27.43,AS7552,Viettel Group,893.19,1784330212.6971729
socks4,118.71.44.153,1054,Vietnam,VN,Hanoi,elite,true,73.21,AS18403,Vietnam Internet Network Information Center,9458.17,1784330212.5643375
socks4,117.7.81.125,1097,Vietnam,VN,Nam Định,elite,true,71.34,AS7552,VIETTEL,1072.98,1784330212.4348383
socks4,117.7.80.126,1057,Vietnam,VN,Nam Định,elite,true,35.92,AS7552,VIETTEL,3815.6,1784330211.956715
socks4,117.7.80.126,1097,Vietnam,VN,Nam Định,elite,true,38.13,AS7552,VIETTEL,1078.24,1784330211.673277
socks4,117.7.81.125,1106,Vietnam,VN,Nam Định,elite,true,76.33,AS7552,VIETTEL,8317.06,1784330210.255732
socks4,117.7.80.246,1057,Vietnam,VN,Nam Định,elite,true,33.95,AS7552,VIETTEL,2961.08,1784330209.3168747
socks4,117.7.80.246,1106,Vietnam,VN,Nam Định,elite,true,49.05,AS7552,VIETTEL,1905.94,1784330208.5559192
socks4,58.186.168.168,1041,Vietnam,VN,Hanoi,elite,true,62.72,AS18403,FPT Telecom Company,1519.39,1784330207.9305758
socks4,117.7.81.125,1057,Vietnam,VN,Nam Định,elite,true,37.65,AS7552,VIETTEL,4993.85,1784330207.3841121
socks4,103.166.184.104,9191,Vietnam,VN,Thanh Khê,elite,true,28.57,AS135905,CLOUDFLY,4224.59,1784330204.3703232
socks4,117.7.80.126,1108,Vietnam,VN,Nam Định,elite,true,63.54,AS7552,VIETTEL,929.19,1784330203.49641
socks4,117.7.80.184,1097,Vietnam,VN,Nam Định,elite,true,32.37,AS7552,VIETTEL,4144.67,1784330203.337654
socks4,117.7.80.184,1039,Vietnam,VN,Nam Định,elite,true,74.82,AS7552,VIETTEL,2527.96,1784330202.117902
