protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,102.203.80.41,8080,South Africa,ZA,Johannesburg,elite,true,19.2,AS329206,Rackzar  (Pty) Ltd,900.74,1784330205.2718372
http,102.217.139.31,8180,South Africa,ZA,Cape Town,transparent,false,21.92,AS329181,Bluedog Technology,1932.79,1784330203.4279208
socks4,102.214.147.147,4153,South Africa,ZA,Jeffreys Bay,elite,true,42.29,AS329124,TrueTechnologies,1844.8,1784330197.541726
socks4,197.100.98.169,1080,South Africa,ZA,Bloemfontein,elite,true,47.07,AS3741,Dimension Data,8084.38,1784330178.6902661
http,196.250.239.229,8787,South Africa,ZA,Pretoria,transparent,false,6.18,AS37662,West Indian Ocean Cable Company,8611.68,1784330177.27234
http,102.203.80.41,3128,South Africa,ZA,Johannesburg,elite,true,19.04,AS329206,Rackzar  (Pty) Ltd,892.78,1784330151.6355608
http,102.221.118.74,8080,South Africa,ZA,Johannesburg,transparent,false,10.66,AS328714,Lucert Technologies Pty Ltd.,3792.16,1784330150.3857405
http,196.251.223.54,8080,South Africa,ZA,Brits,transparent,false,7.23,AS37403,Info-Gro (PTY) Ltd,5107.83,1784330253.9120595
socks4,165.165.178.142,4153,South Africa,ZA,East London,elite,true,33.98,AS5713,Telkom SA Ltd.,1964.73,1784330244.162372
http,154.126.213.152,8070,South Africa,ZA,Potchefstroom,transparent,false,28.94,AS327750,JENNY Network,2593.4,1784330128.1679087
http,197.100.98.169,8080,South Africa,ZA,Bloemfontein,transparent,true,31.78,AS3741,Dimension Data,8237.7,1784330083.8718398
